Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-8.138816066975751,-7.0953426799089,-15.419176203771368,-49.332031615901215,41.516826413040285,-43.701185678148946,-27.924467368724503,11.07051736123854,-31.846723651747478,-36.2820745907422,-37.65791039561059,-20.38710913956645,-34.974528453052415,-23.51367938386876,-43.40333985199136,-62.81868556683268,-53.46761766613177
2020-08-31,-0.27636621784634663,-19.436984320230433,-17.586385853350382,-35.46870622694688,35.924455724810535,-49.1803092553664,-32.667338045003916,-26.30649036811953,-16.282253169641326,-34.544657602108856,-29.7610030390163,-70.11668350794105,-22.811489564579013,-9.14804454698579,-21.911135079570908,-26.737301846054017,-42.82822303866626
2020-09-07,-23.454580188223073,-36.051596710959075,-28.096327260856846,-46.83518787333967,-30.451429180115632,-46.01168593845997,9.489197903088442,-49.66323982829286,-36.35512548911798,-40.70412505629874,-43.14048299422962,-29.67196169044184,-39.00646020970159,13.987002462884845,-54.53229792838179,-57.074980900056914,-55.557847625232526
2020-09-14,-22.454398788837427,-30.4117634789286,-24.448039529089073,-15.650612902017713,-22.61109185797643,-41.14859697923742,-13.829690843837428,-38.24306092791748,-28.59866101013411,-15.23739482780937,-46.64719617321358,0.7862788698007162,-25.822649755681304,22.765410735730885,-36.06705888292348,-26.417410097433148,-39.90418028634409
2020-09-21,-19.46651374552677,-26.828324401173585,-25.447619459041015,-54.935633280502515,-45.20667497626366,-44.45697702110032,-18.991923277429212,-29.20097890776143,-31.78167760372813,-17.265370494531073,-38.893442191559615,-47.479572245079716,-27.59014658573149,38.33711038372529,-45.552736381709266,-47.26577568523591,-58.21174581378943
2020-09-28,-27.867586456964354,-35.397234491173926,-25.86062276340384,-55.02793313787768,-53.02612665395168,-43.93768001910024,-39.844575766486045,-34.66431390548082,-30.224101082390597,-32.77781821640184,-44.752046405032196,-1.2410042055672532,-24.799143693899893,10.868363294625883,-41.398671815432174,-45.19251134237399,-57.45906779205755
2020-10-05,-29.372120427863436,-82.40661248885901,-33.21350554114455,-61.22701328872409,-41.85876808934251,-58.61497928992407,-9.321391977823357,-31.908465941516774,-45.328739695894406,-32.553676484888975,-41.572332160789436,-44.13401397440856,-21.379999484829572,-31.028622338468626,-55.62248636696051,-58.38285485758491,-58.53959465131051
2020-10-12,-15.136711608133657,-23.640719763129336,-27.15554017850853,-41.45489456807688,-53.411675575638576,-31.71332680404707,-20.16110813209353,-21.713688854374436,-52.176451840732206,-34.40347138308667,-40.77174829581449,12.01155224906123,-23.699192911367216,-17.468735761899357,-24.387126832129212,-15.333935975988933,-69.42257401141896
2020-10-19,-22.06371189350368,-26.57603168219752,-22.736031849946148,-41.76448878132164,-35.971127242494646,-37.35344737513486,-12.409063743082804,-10.792035479257201,-38.22719613639317,-43.54244529311345,-24.578097906687702,-73.92127352807687,-12.314727068937847,-28.767340116022055,-2.737767161842075,13.148327115828096,-61.23644279067637
2020-10-26,-22.463637081874488,-43.96586951937886,-31.228345368105913,-43.555988957394916,-60.366025563747925,-45.11523099383261,-23.765283845412142,-20.55159603357214,-34.689735770129616,-32.697553617171,-47.004817715356815,-30.322725960836905,-12.450990892300595,-43.31128528227913,-51.231009807302996,-1.4838054000395395,-61.60684048448282
