,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.5985392910396757e-05,5.503582775794932e-05,3.09301228196008e-05,3.736605204493193e-05,8.365977047695911e-05,6.927245300167682e-05,9.501223953866187e-06,4.175478235807486e-05,3.638679242945482e-05,0.00017731675678051527,2.0307523599034715e-05,1.7493409968029776e-05,4.834459480524517e-05,3.1777524606344115e-05,4.5014945330824796e-05,1.7363467894947863e-05,3.411297949495734e-05
2020-08-25,1.555445756942609e-05,4.1031470267770215e-05,3.0351330531078884e-05,3.942089981429173e-05,7.258263533032358e-05,4.393256909528408e-05,9.80299110711207e-06,4.4255557284536107e-05,2.8893578658457162e-05,0.0001592870110961115,2.0376035791691523e-05,1.9113188710205426e-05,4.40188431539115e-05,2.7936718805844173e-05,5.133578628584494e-05,1.4220478676939165e-05,3.645842404398233e-05
2020-08-26,1.546928884539623e-05,4.453534172927152e-05,3.097833489190138e-05,3.1910456220753495e-05,5.4848891304456226e-05,4.0902960450835544e-05,8.242204193320767e-06,4.378410243785102e-05,2.8367976035496682e-05,0.0001663807011138066,2.2037524770493792e-05,2.0196016155112205e-05,4.521261780095097e-05,3.12853631995622e-05,4.748537740363006e-05,2.0913571339281344e-05,2.305448154499944e-05
2020-08-27,1.6746861577368893e-05,4.7083797532206105e-05,3.0407549473727425e-05,3.036723860829982e-05,7.364999558100026e-05,4.09135410280806e-05,9.78539501756822e-06,4.779152262453683e-05,2.8605791235224026e-05,0.00017849800566072102,1.9757715525118916e-05,1.9713644631355893e-05,5.35119948586308e-05,2.8768913700699133e-05,4.566387361965661e-05,1.3710432204828183e-05,3.3016534106079734e-05
2020-08-28,1.569673750538317e-05,4.4676619076823913e-05,3.353916514387005e-05,1.7597417005225667e-05,8.798895738584807e-05,3.7617690403525395e-05,8.146467086779886e-06,4.065904036353226e-05,2.8483037574755236e-05,0.0001785234462522623,1.9984662564523893e-05,1.4856384106601695e-05,4.0690048854339504e-05,2.854323293758063e-05,3.365202646713789e-05,1.4415864040553884e-05,3.543850400408771e-05
2020-08-29,1.3913603467430981e-05,4.592457539214651e-05,3.075566185827801e-05,4.841652040842793e-05,6.392478511437619e-05,3.867500738200082e-05,7.208471692171202e-06,3.6634852815598e-05,2.5817633841107842e-05,0.0001645205551217683,1.725393303403511e-05,1.857822413359931e-05,3.4684429655890546e-05,3.378368476335763e-05,3.693632348832111e-05,1.759205711940531e-05,3.0912712285823834e-05
2020-08-30,1.4537935299909627e-05,4.4173008319907235e-05,3.2082949483759156e-05,5.804139703257395e-05,0.00011687419953347715,4.544147195253826e-05,7.435534394965067e-06,3.636996162279644e-05,2.5418822125907783e-05,0.0001686901898203647,2.4425306337890778e-05,1.899558669202522e-05,3.160538358430992e-05,3.120961304799323e-05,4.262166151058635e-05,1.769965021066271e-05,3.062130009523022e-05
2020-08-31,1.6357794650037056e-05,4.587814619187431e-05,3.1353482976377346e-05,2.9920314923444427e-05,0.0001038035817699057,4.1377944920872614e-05,8.197691245008318e-06,4.486090638926458e-05,2.376244271275169e-05,0.00016978401023878868,2.039615623552417e-05,2.7237234574597858e-05,4.789973377516482e-05,2.972656694415094e-05,3.671206725650721e-05,1.3865913392860021e-05,3.170290497976929e-05
2020-09-01,1.6486048755473086e-05,4.572262599785535e-05,3.215279934400588e-05,3.0280751864026748e-05,0.00010787163275701914,4.690479486614373e-05,9.224910320210163e-06,4.73965991009587e-05,2.764170099753807e-05,0.0001714778432511361,2.5106868382895705e-05,2.699443735950735e-05,4.8659260202930724e-05,2.7882251575613848e-05,5.097103383870697e-05,1.2885091079876935e-05,3.160492762471574e-05
2020-09-02,1.5758051952347925e-05,4.611219635591459e-05,3.298843102192381e-05,5.546665026464731e-05,8.845767067674774e-05,4.656458294172191e-05,7.20604539902115e-06,5.901938051619989e-05,2.696540674110747e-05,0.00016749697509938275,1.963444945003742e-05,2.310076553928235e-05,4.6581773458790024e-05,3.106592203885037e-05,3.769092355447154e-05,1.144851546940901e-05,3.253077399433352e-05
2020-09-03,1.603389410701866e-05,5.6477534231823596e-05,3.3283076451057656e-05,4.74052333316501e-05,0.00010103433904598326,4.836652024934639e-05,8.491063002062123e-06,4.554555055480705e-05,3.083783849918107e-05,0.00016772207495355698,2.089812948628546e-05,1.9091064170814527e-05,4.969668577918374e-05,2.786426544916094e-05,5.1180094880022046e-05,1.852635021956919e-05,3.730616796782045e-05
2020-09-04,1.6341401096491624e-05,4.658751729826281e-05,3.5737051647214114e-05,4.0794498351966006e-05,0.00010939273358767144,3.927319470135923e-05,8.249060843010512e-06,4.032468535407717e-05,2.8606789375438425e-05,0.0001740622560909748,2.5074503780213615e-05,2.47684252919855e-05,4.1675162362732434e-05,2.436601771839477e-05,4.8682039608130746e-05,1.696141744834859e-05,3.8246411154839e-05
2020-09-05,1.5115418616569174e-05,5.39147825416526e-05,3.636484402728773e-05,3.500726400728151e-05,8.253889645495439e-05,4.210081006933781e-05,8.039861946752461e-06,3.974214974775678e-05,2.741557533857518e-05,0.00017484394193191768,2.2920652290768295e-05,1.4567763181517407e-05,3.605351582760043e-05,3.0354482226804814e-05,4.023900692685762e-05,1.4938565150817264e-05,3.1174168270931535e-05
2020-09-06,1.4340459246726276e-05,5.596423778719534e-05,4.988916369850577e-05,7.485385740504077e-05,0.00012609757430299566,4.153996520382884e-05,7.560075999469735e-06,3.368349299568917e-05,2.960625423412974e-05,0.00016126306816515584,2.0257922925092137e-05,1.38347631231622e-05,3.657953740677465e-05,3.375546765026177e-05,3.5013502643070556e-05,2.7946829092017242e-05,3.3270715075002586e-05
