,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.627117768103144e-06,1.9382797950743077e-05,9.139468606082915e-06,6.725889368087747e-06,1.9684651876931558e-05,1.0991319673135794e-05,2.607672878642622e-06,6.773305816430033e-06,1.0415891401621997e-05,8.674988100807988e-06,6.7691745330115715e-06,4.4750583639145936e-06,7.260230668632225e-06,7.708409434212186e-06,1.6603873277763244e-05,3.3148438708536827e-06,1.0996947337190194e-05
2020-08-25,5.832402691498173e-06,1.8558403513337765e-05,8.651979892243523e-06,8.600923595845468e-06,1.4516527066064715e-05,1.3441526776334905e-05,2.7969753020292057e-06,6.726185815577759e-06,1.3747751135878811e-05,1.0181355852966282e-05,6.476104398909708e-06,8.336603586366197e-06,7.63679735028874e-06,8.739979067750132e-06,1.4927427217869806e-05,2.656572939647976e-06,1.3700936424171702e-05
2020-08-26,5.894069847274876e-06,1.7470455597977897e-05,1.5630406054880334e-05,7.597727671607975e-06,1.9945051383438628e-05,1.3233310734093853e-05,2.014172085827583e-06,6.464402220973041e-06,1.0536676813184482e-05,1.0789610683872499e-05,9.083567557730417e-06,5.7399203809266275e-06,6.209082908834659e-06,1.1347022922121005e-05,2.6098833382147817e-05,2.8518506371747286e-06,1.2310645485193874e-05
2020-08-27,5.774344787977772e-06,1.5646749789666053e-05,1.1313326884259654e-05,7.591809652074955e-06,1.963999882160007e-05,1.1558534012417389e-05,2.611271142328598e-06,6.41405357896411e-06,1.038462337278721e-05,9.374763074884537e-06,6.507501542003452e-06,4.404112098494402e-06,6.5022785214099825e-06,7.936252055365278e-06,2.2652157779829657e-05,3.782188194435361e-06,1.0048510380111223e-05
2020-08-28,5.34528382238406e-06,1.6021959944792023e-05,1.0234730910665214e-05,1.6067206830858217e-05,5.499309836615505e-06,1.203477834748801e-05,2.9861647842215665e-06,5.840525135093031e-06,1.0432458396205069e-05,1.1783524325132223e-05,6.582249971648743e-06,5.402321493309707e-06,9.696737700254626e-06,7.642723573450552e-06,1.7730637600965126e-05,1.3729394324337032e-06,1.6445318851570112e-05
2020-08-29,5.477050939533239e-06,2.1092394561213868e-05,9.364552374158836e-06,1.1239549380527914e-05,9.834582325288644e-06,1.2697077895222911e-05,3.0117587207016667e-06,6.6749943689437035e-06,1.0160786127090744e-05,1.3054472322551954e-05,7.136854118623613e-06,3.819821784478362e-06,8.3622734512832e-06,1.0952701452960693e-05,2.052017971573395e-05,2.4495269406766886e-06,9.56292538338435e-06
2020-08-30,6.270330058198569e-06,2.248090601995279e-05,1.1925877723554787e-05,1.2721402089331276e-05,9.739516627789762e-06,1.5473468559238185e-05,3.395002842717169e-06,7.414937415936594e-06,9.887528055860859e-06,9.328995533331815e-06,6.9128225484596545e-06,4.332326789409261e-06,5.8460825127047245e-06,1.3092813278670331e-05,1.9288635136177764e-05,2.4582847514809323e-06,1.2572984145061413e-05
2020-08-31,6.186680250338123e-06,1.82931848739752e-05,1.0597672594819135e-05,1.2938514561489482e-05,1.6390039226827218e-05,1.4020062129001355e-05,2.3167388301110467e-06,6.549637524150418e-06,8.831626552377937e-06,1.1448685788185345e-05,6.7718463390673135e-06,8.866589127475473e-05,6.512307275335467e-06,1.1050189806464485e-05,2.071869142198922e-05,2.4184732661965155e-06,9.936731411569478e-06
2020-09-01,5.792279202523303e-06,1.5786965328249733e-05,1.054111235978636e-05,1.1971460039266389e-05,1.797860545950319e-05,1.4671299472769146e-05,2.8675674309157693e-06,5.9035905609812785e-06,8.83287437891254e-06,1.102929714047911e-05,4.57244291741478e-06,9.725936989822502e-06,7.00071061534172e-06,8.379911675730938e-06,1.9247802988043192e-05,1.7717000234830784e-06,1.3229969703369379e-05
2020-09-02,5.9640147579867214e-06,1.6292006283477708e-05,8.75379280712488e-06,8.237621326432769e-06,9.31133375544713e-06,9.96248522185743e-06,2.255327185953184e-06,5.533066923393739e-06,9.514209548277541e-06,1.0554768212492432e-05,5.609842700010692e-06,5.825410440340766e-06,6.845031596043572e-06,8.375616235964562e-06,1.558374723886804e-05,4.293193301028379e-06,1.2729433302130507e-05
