,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.567625097932829e-06,9.479178559852453e-06,5.222553489190238e-06,3.736605204493193e-06,4.921162969232889e-06,7.497165579515464e-06,6.19645040469534e-07,2.787368648736639e-06,3.211948890368017e-06,5.667658892527886e-06,2.2307506983788134e-06,1.2204704628857983e-06,2.9895067459073867e-06,2.5170316519876526e-06,4.0956220751816e-05,1.2627976650871172e-06,1.1445802330544896e-05
2020-08-25,3.7236051347144918e-06,6.66942626260576e-06,4.580459942952453e-06,1.4334872659742446e-06,9.67768471070981e-06,1.3052429948598894e-05,1.221979500886546e-06,2.85519724416362e-06,3.914613882758712e-06,8.133035740535194e-06,2.053398955751859e-06,2.439981537473033e-06,3.1748483366368918e-06,4.6821316434375714e-06,8.301105867498331e-05,2.0314969538484524e-06,1.0914305287052034e-05
2020-08-26,6.7191550017749484e-06,1.8472858788025805e-05,6.685294156003034e-06,5.3184093701255825e-06,0.0,6.751111465414724e-05,8.215701929033562e-07,5.921175143580349e-06,4.1479225463667415e-06,1.8146163422876477e-05,1.1058256157237028e-06,2.125896437380232e-06,4.7224010855925575e-06,4.214608513930659e-06,7.612159736459781e-05,3.485595223213557e-06,1.0520006141892947e-05
2020-08-27,4.474801787624435e-06,1.320643101513098e-05,5.82373788978767e-06,9.110171582489947e-06,9.819999410800036e-06,1.0898046354564967e-05,7.971248750266247e-07,4.012195217479677e-06,4.4711572855056046e-06,8.05348774218269e-06,2.195301725013213e-06,2.0971962373782864e-06,2.7239274886987764e-06,1.6533858448677664e-06,4.386608331967013e-05,2.6790499710583807e-06,9.570009885820212e-06
2020-08-28,3.6412361644947726e-06,8.935323815364783e-06,3.84403038898224e-06,3.825525435918623e-06,1.099861967323101e-05,7.206454100292222e-06,7.596384100212757e-07,3.453772075079052e-06,4.5611678569454725e-06,8.730797816030611e-06,1.8239969800954347e-06,2.3152806399898743e-06,2.0843454869706203e-06,3.275452960050236e-06,8.141619306565619e-05,2.059409148650555e-06,9.264968367081753e-06
2020-08-29,3.6026999335690544e-06,1.0172218653635057e-05,4.8011156842134136e-06,4.322903607895351e-06,9.834582325288644e-06,6.603939939756744e-06,6.665367660569263e-07,3.321973941753378e-06,3.6024605359685363e-06,6.3277136585295495e-06,1.803820271740034e-06,2.2571674181008506e-06,2.755749205536509e-06,3.085268014918505e-06,2.8728251602027532e-05,8.907370693369777e-07,9.340531769817273e-06
2020-08-30,3.716045859363873e-06,9.597111926646513e-06,4.957423681163951e-06,4.770525783499228e-06,4.869758313894881e-06,8.399882932157871e-06,8.36796475317612e-07,2.8495420648020798e-06,3.5875101795601346e-06,6.201038207449971e-06,2.1506559039652256e-06,1.832907487826995e-06,2.9230412563523623e-06,2.588114252760414e-06,2.551077550268672e-05,2.7041132266290253e-06,7.097652339954023e-06
2020-08-31,4.1761111248162414e-06,1.1179168534095956e-05,5.5186037014495955e-06,4.851942960558556e-06,5.463346408942405e-06,8.084561373657716e-06,6.873840484944863e-07,3.06928620378597e-06,3.854687832253354e-06,9.216192059489204e-06,1.6123443664445985e-06,2.124890640571464e-06,3.684594905781909e-06,4.35782133212684e-06,3.162326585461512e-05,2.4184732661965155e-06,9.463553725304265e-06
2020-09-01,5.207026623367902e-06,1.265935898963422e-05,5.439021445917163e-06,5.633628253772418e-06,1.1985736973002128e-05,7.444058353178434e-06,6.492605503960233e-07,3.301534057799957e-06,3.6370659207286935e-06,7.332326031938626e-06,4.073630962787714e-06,1.7863965899673982e-06,2.938569887921216e-06,4.418498883567222e-06,3.42183164231879e-05,2.577018215975387e-06,1.0044976997002677e-05
2020-09-02,3.877253654760266e-06,1.1200754319890926e-05,5.519632903014703e-06,6.590097061146216e-06,2.3278334388617825e-05,8.539273047306369e-06,6.325917716697955e-07,2.7665334616968695e-06,2.6456625481841293e-06,7.616224789696243e-06,2.6399259764756197e-06,2.611390887049309e-06,3.911446626310613e-06,3.8070982890748006e-06,2.9355430845309563e-05,1.9080859115681683e-06,6.836177143736753e-06
2020-09-03,3.7074333884061987e-06,1.082729930869157e-05,4.646114733015663e-06,2.5763713767201143e-06,8.419528253831938e-06,5.511958156717966e-06,6.445361354700621e-07,4.14050459589155e-06,3.961283319406999e-06,8.827477629134577e-06,1.9668827751798078e-06,1.6422420792098516e-06,3.1973970629989536e-06,3.463355027579326e-06,2.505319329791289e-05,1.4373892411734717e-06,7.2846363487460054e-06
2020-09-04,3.884903432264341e-06,1.194939567065832e-05,6.2720330542459115e-06,6.3741403674946885e-06,0.0,7.3613524367765126e-06,1.271259376491346e-06,3.610734720100033e-06,4.101331810098699e-06,1.748540480064758e-05,2.448352220963619e-06,1.6109544905356425e-06,3.213271864416286e-06,4.299885479716723e-06,2.9279777445469942e-05,1.38460550598764e-06,7.968002323924792e-06
2020-09-05,6.1889558114205276e-06,1.3718774183626616e-05,9.137594736448577e-06,8.751816001820377e-06,1.0317362056869299e-05,8.442776594030143e-06,9.077263488268908e-07,1.0814641751059022e-05,6.124247196051698e-06,2.596500356728146e-05,2.7733173590253455e-06,4.308775025519233e-06,1.1768209914053553e-05,8.073000592235324e-06,2.586793302440847e-05,5.205863613163592e-06,6.3251935622179926e-06
2020-09-06,4.4916484196697006e-06,1.7629326491103816e-05,7.15782296797922e-06,3.278271127228063e-06,0.0,6.0955383723009705e-06,8.908369808292364e-07,6.955017535221004e-06,3.65724317009838e-06,1.4407604401670625e-05,2.6905053884887994e-06,3.3598710441965343e-06,1.1093794131562803e-05,2.632307110341514e-06,2.5137899333486554e-05,3.6452385772196406e-06,6.446201045781752e-06
2020-09-07,3.85417113240723e-06,1.7444584149078485e-05,5.34293971632079e-06,3.7145325980416055e-06,2.067439889185222e-05,7.047708877940142e-06,1.1028334416910954e-06,3.5846488066609074e-06,3.8124264405934096e-06,9.441835945153638e-06,2.4952262699353486e-06,1.8008636942277517e-06,5.810699558043474e-06,4.160379870418035e-06,2.7728117020769373e-05,1.8367347875885096e-06,9.133036487371794e-06
2020-09-08,4.4916198104311025e-06,1.5928924873924534e-05,6.006871861409453e-06,5.3353441652676205e-06,6.238342098203982e-06,7.4501147335664414e-06,1.3391227197004776e-06,3.1387539933994665e-06,5.6509672420612415e-06,9.916639252189314e-06,1.0837793813399072e-05,4.869175954295188e-06,3.294694730482144e-06,3.55350049926682e-06,2.6767634182804205e-05,1.992403120164591e-06,7.204813863633833e-06
2020-09-09,3.6476505125519316e-06,1.7422683071243133e-05,5.692866627726909e-06,4.39784294599185e-06,0.0,7.1883112830674575e-06,1.0897687860509137e-06,2.2393413280453263e-06,3.370977002305327e-06,8.36737376007946e-06,5.4028367348692945e-06,2.197246849697329e-06,2.59980499729317e-06,4.312250024256406e-06,2.9830729650126798e-05,2.0179391687580796e-06,7.386504725516398e-06
2020-09-10,3.5823523556734537e-06,1.359680928208847e-05,5.500037828504454e-06,5.884211393462732e-06,0.0,7.354820706416107e-06,7.459689844458581e-07,2.7035710720786236e-06,3.321196101257386e-06,8.927570102440934e-06,3.1693294722773877e-06,1.4156666161745573e-06,1.980258265282958e-06,3.2219297426000328e-06,2.823252868302922e-05,1.670521014243166e-06,7.3953142840495395e-06
2020-09-11,3.519831701032637e-06,1.0693733694840941e-05,4.559231474899984e-06,3.985227331599949e-06,4.020148986721448e-06,7.1161914325143175e-06,9.49024807229336e-07,2.745766117001444e-06,3.068017238032067e-06,8.88496307552024e-06,2.3715491302384455e-06,1.6563363422830094e-06,2.3300457630308043e-06,3.18697978530592e-06,3.0806732722911496e-05,1.5072455807140893e-06,9.731424275037855e-06
2020-09-12,3.4020369332238207e-06,1.2182464797876566e-05,4.2314774548491e-06,2.8918993561186083e-06,4.633727045674647e-06,6.487805934247572e-06,6.504492954417549e-07,2.4294043078261117e-06,2.7743851049980647e-06,7.120107474785919e-06,1.6934019897634656e-06,2.1268122434200417e-06,3.6853892742223455e-06,3.486035969869874e-06,3.274722483977251e-05,3.079964457210164e-06,7.298311170795078e-06
2020-09-13,3.335951707929088e-06,1.5067849423428129e-05,5.590298537073515e-06,1.015654985208856e-05,2.0296806973982876e-05,5.382787152013744e-06,1.0164440832002173e-06,3.3683951627273233e-06,2.7346416542667757e-06,6.683117208102797e-06,1.4871066289891244e-06,1.2811113311368985e-06,2.992368804966659e-06,4.003656262087962e-06,2.7933033475467002e-05,3.858338218552192e-06,6.1596497623145145e-06
2020-09-14,3.3605117751556786e-06,9.736259403826163e-06,5.713749189184545e-06,3.8381969685920345e-06,8.115455885734381e-06,6.73826778086732e-06,7.604500282431141e-07,2.5408815810638312e-06,4.293754489397335e-06,9.411706076888086e-06,1.6540658356009788e-06,9.395229102661668e-07,2.2143925465590936e-06,4.746011819100401e-06,1.832246430922235e-05,1.4320232182516515e-06,9.215481559484249e-06
2020-09-15,3.590141387671202e-06,7.15452518993577e-06,5.19170471043774e-06,4.572171519611083e-06,5.705938741041676e-06,7.209543870998291e-06,8.694027685103688e-07,2.379030589971831e-06,4.209545698260521e-06,5.439373813914321e-06,1.9378122148539604e-06,1.3649627706404307e-06,2.8826228205039943e-06,4.305292603830204e-06,2.244885977060719e-05,2.9494055861120873e-06,9.995508836143396e-06
2020-09-16,3.342697299847546e-06,1.0138208108214423e-05,5.0566381599359266e-06,5.293870919138158e-06,1.162344681691909e-05,6.926537792930899e-06,1.0454025479321195e-06,2.4639692102407487e-06,3.818910611970179e-06,6.333369992110336e-06,1.4004079609507295e-06,1.7608709815701373e-06,2.6206531226654347e-06,3.229692500976982e-06,2.4049596541877144e-05,1.6090102232121374e-06,1.2128230432784673e-05
2020-09-17,3.770555053056311e-06,1.1207148314741554e-05,4.499109626204974e-06,6.418090948016214e-06,8.600868114288336e-06,7.774132205123758e-06,1.174873097944929e-06,2.3597205147022387e-06,2.854191351457702e-06,7.37676074473384e-06,1.7675474275154911e-06,1.8050530655517054e-06,3.1972617229599362e-06,3.877518872611388e-06,3.2272956244887193e-05,1.7282939633205743e-06,8.078960166013654e-06
2020-09-18,3.751232064232182e-06,1.383989120952613e-05,4.861227367026008e-06,3.6966448723046837e-06,0.0,7.687859737332224e-06,1.2866096365248825e-06,2.5400788943042038e-06,2.7178707036106184e-06,6.231524292479844e-06,1.314821522839436e-06,2.332526991710782e-06,2.2201459745978298e-06,5.234329480757787e-06,2.6093281306229662e-05,2.7753316766235772e-06,9.060886666656095e-06
2020-09-19,3.5924431332638586e-06,8.038179566679602e-06,5.421039115530139e-06,2.7048025798407006e-06,4.4669379586986914e-06,6.234284896939037e-06,1.1967948831062606e-06,2.341587047960576e-06,3.5398874518069608e-06,6.574831178059841e-06,1.1559117745384175e-06,5.940021229635875e-07,2.350614068542731e-06,2.7169322574494685e-06,2.7531912067202645e-05,3.2134109779116555e-06,6.9626246309808945e-06
2020-09-20,3.51063435987285e-06,8.268279252616664e-06,5.564919988316942e-06,5.71198311745499e-06,1.0155480405000559e-05,6.6233276791152396e-06,1.1338507665701347e-06,3.0921721722690144e-06,3.751604264646233e-06,6.993565268010905e-06,1.5667245258034045e-06,1.5886831742763598e-06,3.392739281190415e-06,3.0054773321640023e-06,3.506378421109673e-05,5.337215732348377e-06,8.90769498835699e-06
2020-09-21,3.4698166015182497e-06,9.795816273964022e-06,4.821251323247302e-06,3.6486806978709947e-06,2.930171092690102e-06,6.977865512806825e-06,8.278098154548057e-07,1.7876070461160556e-06,4.607892863993176e-06,8.169412410335243e-06,1.3513415761459913e-06,1.3435806308648494e-06,2.7216369145016732e-06,2.8762445813065903e-06,8.548273320623464e-05,3.860735547336478e-06,8.831147775218757e-06
2020-09-22,3.887591193945882e-06,1.0622498861145555e-05,5.359081483603354e-06,8.031402784888916e-06,1.7005453081954947e-05,8.0663760213959e-06,7.823977816206259e-07,2.233864605567796e-06,1.5311745097655737e-05,3.068678929441841e-05,2.0116743092855907e-06,2.297458455728837e-06,3.574125789611662e-06,3.984994350504163e-06,4.4437093122866096e-05,3.091119638308091e-06,1.034466825453493e-05
