,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,9.750157227873243e-06,2.4193127369175662e-05,1.5082374300678702e-05,1.644106289977005e-05,4.921162969232889e-05,1.6724446292765267e-05,5.757535167696086e-06,1.577650655184938e-05,1.2801910577323953e-05,1.474747977137358e-05,1.4999875385650642e-05,1.6272939505143976e-05,1.2214270418993037e-05,1.1798585868692122e-05,2.3245422588868543e-05,4.735491244076689e-06,2.46870246345086e-05
2020-08-25,9.643182528363171e-06,2.145815406229679e-05,1.2954836202289767e-05,1.5051616292729568e-05,4.3549581198194145e-05,1.584685262052115e-05,5.322399603861401e-06,1.3809271286675969e-05,1.1277816186042956e-05,1.5723869098368042e-05,1.9902174494210324e-05,1.9926515889363104e-05,1.4758754429771496e-05,9.8324764512189e-06,2.4757684166223092e-05,6.094490861545357e-06,3.227847733830283e-05
2020-08-26,1.0544165153918874e-05,2.548968111836119e-05,1.5818724200119856e-05,1.519545534321595e-05,3.9890102766877255e-05,2.076992887944677e-05,5.512470971738648e-06,1.3825129119644026e-05,1.2491444909748118e-05,1.753311736129281e-05,1.390180774052655e-05,2.2109322948754417e-05,1.5741336951975193e-05,1.0860721939744391e-05,1.7761706051739486e-05,5.386828981330043e-06,2.618810039577606e-05
2020-08-27,9.462691750145657e-06,3.402091468028307e-05,1.5036700289205869e-05,2.049788606060238e-05,6.382999617020023e-05,1.9484385906646454e-05,1.1489593026245831e-05,1.4056330183687304e-05,1.2836548335806413e-05,1.4911535897635138e-05,1.4191057579549698e-05,1.866504651266675e-05,1.4937666873509418e-05,1.1408362329587588e-05,1.6899228819872916e-05,3.782188194435361e-06,2.8949279904606143e-05
2020-08-28,9.194227288462354e-06,2.5419455681641192e-05,1.393461016006062e-05,2.5248467877062915e-05,3.299585901969303e-05,1.8268361144240783e-05,5.919940712579596e-06,1.3562373270432375e-05,1.1791104140827126e-05,1.733948657169716e-05,1.6891798120014243e-05,1.4084623893271736e-05,1.2234201771349293e-05,1.4817525295465353e-05,1.7730637600965126e-05,4.462053155409536e-06,2.9647898774661608e-05
2020-08-29,9.407269048881298e-06,2.5879320986453896e-05,1.3405095276714679e-05,2.6802002368951178e-05,4.42556204637989e-05,1.9118588554875875e-05,5.5050999566923904e-06,1.515068489323036e-05,1.3578505097112176e-05,1.6018806649070302e-05,1.4195281268910703e-05,1.6147428452567624e-05,1.0737919318125019e-05,1.2803862261911795e-05,2.1546188701520647e-05,5.56710668335611e-06,4.1142818509909414e-05
2020-08-30,1.0300688147637118e-05,2.4321448033282257e-05,1.6555924369170176e-05,2.3852628917496143e-05,3.895806651115905e-05,1.80629061548658e-05,4.757785673948709e-06,1.556524052601566e-05,1.351878835956197e-05,1.8164103067840183e-05,1.2443080587227378e-05,1.6662795343881772e-05,2.2653569736730807e-05,1.0047972981305138e-05,2.3333026374408586e-05,6.6373688289985165e-06,2.8796189493527752e-05
2020-08-31,9.938655089040216e-06,4.18129939976576e-05,1.3723253452277312e-05,2.2642400482606592e-05,3.824342486259684e-05,1.6953700433366603e-05,4.175221627892436e-06,1.2743018613932822e-05,1.2393553283447493e-05,1.837514069003748e-05,1.5639740354512604e-05,1.7578640753818477e-05,1.5081132637618977e-05,1.136146275875926e-05,2.1082177236410084e-05,4.514483430233496e-06,2.9337016548443223e-05
2020-09-01,9.488837772335723e-06,2.859525795305612e-05,1.5595070340505846e-05,1.1971460039266389e-05,4.195007940550745e-05,1.6586518369460685e-05,5.3022944949008566e-06,1.5108715179762513e-05,1.600309005120625e-05,1.8238390802133053e-05,1.870544829851501e-05,2.203222460959791e-05,1.3050707443414812e-05,9.751169949941454e-06,1.4257631842994959e-05,3.8655273239630805e-06,3.0869929307861884e-05
2020-09-02,8.875175309401406e-06,3.040204743970394e-05,1.401469291781077e-05,1.7573592163056575e-05,6.983500316585348e-05,1.700556085489217e-05,5.5283020045925615e-06,1.2937612364994184e-05,1.5059925274278889e-05,1.4632746840046325e-05,1.4024606750026729e-05,3.0934938200430274e-05,1.4223442277493137e-05,1.0203023414720465e-05,1.775822359777986e-05,5.088229097515115e-06,2.380875487991076e-05
2020-09-03,9.046310107216987e-06,2.50198402944089e-05,1.2840171625788741e-05,1.4942953984976663e-05,2.9468348888411782e-05,1.9748141475393505e-05,6.165128252322333e-06,1.3573177317657731e-05,1.3388134763059098e-05,1.6296881776863834e-05,1.6062875997301766e-05,2.4428350928246542e-05,1.68091731311945e-05,9.602938940106313e-06,1.6463527024342758e-05,5.4301371333220045e-06,3.222899717930051e-05
2020-09-04,9.43539830185068e-06,1.8453497111649558e-05,1.5386786125883856e-05,1.4660522845237784e-05,4.5580305661529765e-05,2.178049638510164e-05,5.96079396532609e-06,1.5800575135157745e-05,1.4969861106860252e-05,1.6231734267770962e-05,1.5112243019051304e-05,1.973419250906162e-05,1.470315307657149e-05,1.36959315279866e-05,1.0230283685766606e-05,4.15381651796292e-06,2.5042293018049347e-05
2020-09-05,9.609744550783183e-06,2.428223030501911e-05,1.4007886347246041e-05,1.969158600409585e-05,5.674549131278115e-05,3.3620342508370034e-05,4.538631744134454e-06,2.0401854837120547e-05,1.995164906838717e-05,2.02811221893691e-05,1.3214041534179586e-05,2.2569773943195983e-05,1.551264034125241e-05,1.3885561018644757e-05,1.8842074672099996e-05,6.563914990510616e-06,2.755977194966411e-05
