,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.144677555996318e-06,2.2212403490997538e-05,2.6653031600005348e-05,2.615623643145235e-05,0.00019684651876931557,1.631736037894542e-05,1.8847536647614991e-06,4.09743191364286e-06,6.28624282829169e-06,7.807489290727189e-06,3.7691994558814433e-06,4.068234876285994e-06,5.9790134918147735e-06,3.775547477981479e-06,6.272574349377226e-06,1.5784970813588967e-06,9.425954860448738e-06
2020-08-25,5.325959183766659e-06,1.9428328678025475e-05,2.424405060714228e-05,2.5802770787536402e-05,0.000203231378924906,1.4750307015083303e-05,1.5749958011426595e-06,4.0082576696912355e-06,6.431151378817885e-06,9.398174633507335e-06,3.159075316541321e-06,4.676631280156647e-06,4.376142301850851e-06,5.3064158625625805e-06,3.6408359067975137e-06,1.7189589609486904e-06,1.0217647502772117e-05
2020-08-26,5.17053363486712e-06,2.2339271092496325e-05,2.3869324909109425e-05,2.6592046850627916e-05,0.00015457414822164935,1.5356301760953827e-05,1.6961449143811225e-06,3.3408465259650593e-06,5.864304289690911e-06,9.502213954546803e-06,3.712414567072431e-06,2.9762550123323254e-06,3.8478823660383806e-06,2.1073042569653295e-06,3.987321766717028e-06,1.7427976116067786e-06,1.1415325813543412e-05
2020-08-27,5.353780710193521e-06,2.5982217540638125e-05,2.668417606878121e-05,2.5812152817054847e-05,0.00015220999086740055,1.6805741516467185e-05,2.336400495767693e-06,4.285133667648362e-06,8.509621930478408e-06,9.186009455927132e-06,3.920181651809309e-06,3.5652336035430872e-06,4.217694176049718e-06,5.1254961190900755e-06,2.876464479978369e-06,1.7335029224495405e-06,1.2441012851566276e-05
2020-08-28,4.959541690871809e-06,2.449511183867242e-05,2.9022429436815912e-05,2.7543783138614088e-05,0.00014848136558861863,1.4124650036572755e-05,1.650248959701392e-06,3.5660898661385334e-06,6.11390585079925e-06,9.280288587668901e-06,6.1857288890193005e-06,1.736460479992406e-06,4.1686909739412406e-06,2.4955832076573226e-06,6.151445698294023e-06,6.864697162168516e-07,1.2507707295560366e-05
2020-08-29,4.620768479966443e-06,1.750219974228385e-05,2.8521479312158892e-05,2.1614518039476757e-05,0.00016227060836726263,1.6309177641277704e-05,2.0736699388437703e-06,4.377554446609592e-06,5.9117301103073415e-06,8.950009408911164e-06,4.235056290172254e-06,3.993450047409197e-06,4.1811367256416e-06,2.6224778126807293e-06,4.446038938409023e-06,2.2268426733424442e-07,1.0230106224085584e-05
2020-08-30,4.8738288840693195e-06,2.1560635013288057e-05,2.8294729500982927e-05,1.8287015503413707e-05,0.00016557178267242597,1.989445957616338e-05,1.4105997726782603e-06,5.392681757044796e-06,1.6931298042558194e-05,8.835107534508366e-06,5.299830620485735e-06,2.499419301582266e-06,4.475906923789555e-06,5.176228505520828e-06,2.7999631649290305e-06,2.212456276332839e-06,1.297856427877307e-05
2020-08-31,6.084724412329915e-06,2.2358337068191912e-05,3.076743656560394e-05,2.830300060325824e-05,0.00013658366022356014,1.6953700433366603e-05,1.2729334231379378e-06,4.5491206234684915e-06,1.1368889429304196e-05,9.903113206780323e-06,6.046291374167244e-06,3.0907500226494027e-06,2.913400623176393e-06,2.6458200945055812e-06,5.088801401892089e-06,1.128620857558374e-06,1.2302619842895545e-05
2020-09-01,5.361946423732567e-06,2.3531514357202432e-05,2.8542829357777674e-05,2.675973420541899e-05,0.0001618074491355287,1.6514245958264777e-05,1.1362059631930407e-06,3.665262386201647e-06,2.145868893229929e-05,9.119195401066526e-06,6.15201410706716e-06,2.778839139949286e-06,4.062140727420504e-06,3.809050761695881e-06,7.128815921497479e-06,3.2212727699692337e-07,1.4699966337077089e-05
2020-09-02,6.359039493576915e-06,2.09468652216142e-05,2.5442057912333394e-05,2.0319465938534164e-05,0.00016294834072032478,1.67136198960099e-05,1.6777433944285882e-06,4.122677315469845e-06,9.972112681617103e-06,8.036016707238556e-06,7.177298748543091e-06,5.021905552017902e-06,4.1781361690136085e-06,3.1979625628228324e-06,5.436190897279549e-06,7.950357964867368e-07,1.5086735765488008e-05
2020-09-03,7.872361467349135e-06,1.828935694035738e-05,2.437098364500034e-05,2.2156793839792982e-05,9.261481079215132e-05,1.77769776312692e-05,1.1489557197509804e-06,3.893719553752318e-06,8.774994694888922e-06,8.086710275640766e-06,1.0653948365557293e-05,3.4897644183209348e-06,4.019584879198685e-06,1.731677513789663e-06,2.8632220911900447e-06,7.985495784297065e-07,1.346553991737898e-05
