Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-22.55081717535229,-3.024120126342056,-17.817393775279566,-29.94058692569058,86.30666372895202,-45.12352660961938,-25.856987394747055,-37.5351567625315,-20.206072517210306,-33.947179500557276,-46.55152873195366,-70.95946659828284,-25.06370340641435,9.543967662086272,-68.12519980786104,-22.75970183478384,-59.47097997375905
2020-08-31,16.600705468523238,-12.886825083927123,-12.276483636871083,-26.561160799908777,36.60972282958541,-40.18683456646907,-45.57792522626228,-21.66150286299391,27.02480865934538,-38.53337350177929,29.28360377063268,-39.22483249010459,-31.7134374492684,-31.56099848295373,-60.95556753978546,-20.694375212607785,-46.4126773120866
2020-09-07,15.555442653140172,-46.257688893778315,-17.3843837074501,-19.01540938069466,-51.2970124606257,-32.54663986756414,-24.352338450130496,-17.470364221524015,-21.453677093112677,-20.744969514992828,47.5669565939332,-34.01623445315346,-35.94666326921618,-0.30644746565754444,-57.88897392024624,-35.409994844896964,-83.87745461889617
2020-09-14,-0.9686098503375873,-35.746871739155615,-17.933115151772625,-24.104297425747813,-50.4385044551697,-49.191183528312855,-23.643037338442586,-35.56960912310476,-16.11821451010631,-24.91505551278853,7.59857343386261,-14.802965703585723,-33.06445638289755,25.665381068070992,-49.393287266540916,-22.107572688854237,-55.659335573457994
2020-09-21,-11.281830202564313,-18.749577138620587,-11.304477588538264,-41.891425855761334,-29.266798605722176,-47.56113254802844,1.9936427457991401,-46.25431720598661,2.1528847488116343,-25.3461270683898,1.3519537614519184,-27.703179454349048,-14.865927992964423,-8.144158705206406,-37.00684907330158,-39.72126083462769,-55.37941871317676
2020-09-28,-14.531947046506478,-24.853313622869035,-17.478825496916738,-34.266926043944544,-54.47231303242954,-39.76533963539477,-15.764282587685052,-22.389077768015696,-16.197160487324357,-34.398281429187804,-10.032441726600517,-11.354162633765918,-31.51555848839215,-7.316525791017769,-47.62715583962053,-4.025634615930596,-59.86506445144602
2020-10-05,-11.447111690245126,-47.80406749744797,-20.358470690403895,-32.682242312422716,-54.05373801781281,-79.88462827365271,-23.658393817745495,1.2503372172235627,-29.593473378338885,-28.57477195585686,-20.622938100019873,-29.146158029617663,-45.050106619045415,-16.19156346900309,-68.25576984574202,-45.77880518588206,-51.204224236002396
2020-10-12,-11.974688303708813,-7.966227522311742,-21.580385286154268,-12.814282528199639,-62.73328194311867,-47.73935953076697,-16.979852566768706,-6.758175870119887,-28.20525984803951,-28.781118263778684,-29.44018369525946,-37.19130713452535,-15.280582523710207,-5.093306464003689,-38.03945115410588,-46.66906741397997,-53.237738216657874
2020-10-19,-21.80296114136012,-4.148303665759023,-14.311493376270102,-10.219773711959412,-54.25359087542627,-43.44092241076856,-23.097586618629318,-16.779006526588404,-42.94805214311982,-23.430103300261397,-29.63849699144171,-25.454206405729153,-16.090784129339863,3.80273029892213,-52.68183964330606,-17.35094952020121,-50.55385896238447
2020-10-26,-19.762404154428136,-35.940369383091664,-25.55751518536329,-14.546474343999972,-58.86435518280862,-36.75603683497568,-40.92116401063542,-13.903794301077877,-30.35089091253247,-23.703350853904425,-32.3409961429875,-26.211334014426658,-24.436867139188024,-24.831043204364466,-56.954041222392085,26.009086116228495,-54.106473716870426
2020-11-02,-30.674001155224097,-41.4715351432276,-30.619054834697046,-22.246022267619658,-35.075323997265464,-40.65547811648978,-47.24959785268415,-12.795452041662369,-54.01075692148225,-40.07008274272901,-46.97373115189583,-51.3435740732193,9.897671690124966,-46.08188334379141,-47.727059943393044,-10.578430172146447,-59.63752515845574
2020-11-09,-18.604187348739533,-31.000421148431766,-30.528033340191772,-27.12445642517085,-35.33465917375739,-45.52361624988346,-36.17583514945115,-10.68971847512563,-22.976769014095733,27.90308070677481,-45.44450969597005,-9.447137292784669,15.08491861334733,-23.018048693169256,-40.27110541236295,21.92920401778766,-52.20892051097481
2020-11-16,-19.4360220568089,-36.04965870750208,-31.88379429450301,-32.64623979461677,-22.233340076943307,-30.91563177531548,-21.272631284037015,-14.1130447693122,-2.7945680131282735,-25.56535653326072,-34.47104170506543,-48.80241540967006,-1.4788515990637574,-9.545883964202307,-34.5241299835497,-3.3522722107523273,-66.04722419543418
2020-11-23,-5.584973109877889,-16.076585519756183,-22.76745408768097,-52.8500957572293,-45.009094700335424,-29.915108998402783,-33.85055392181919,-25.984248142171985,-16.929722591635088,-33.30963578817301,-38.91770266829967,-59.66955897899587,-24.20246173344993,-24.266892146809283,-53.25869089801893,60.05311493722998,-38.23760491121821
2020-11-30,2.7640120596671647,-35.84321906552662,-19.0513906023954,-19.450710172442765,-45.78670490294531,-31.78857984873681,-32.78498671187838,-23.770115693291405,-22.968061626678693,-25.782721457013814,-19.23304518920993,-13.4026772160038,-22.327435033013032,-24.600540466506914,-71.37351353545955,-24.15954659070666,-43.10860786924707
2020-12-07,14.322068255094834,-17.96826674564237,-26.62016653285798,-13.688828723653446,-25.88200644959099,-1.4078462082693477,-10.430653506786014,2.9189067548228476,189.7489339275352,-40.01841860262253,-32.566651000397606,-19.421418237261744,-7.425326057308334,27.345940053390414,-31.19021309698846,-22.377534816984124,-31.367483965172728
2020-12-14,26.999109398270594,-22.180663794242438,-18.542973142699726,-15.614626709541024,-48.34279443571293,-42.09345848183277,2.9173760445727837,-19.63623227338025,-24.769803975454685,-40.47771115281361,-43.00913216115022,-20.597118204450872,-0.8997756309163218,37.816100821077804,-47.873674346668594,-47.90002845644546,-30.44381585721253
2020-12-21,21.086099398121338,-28.704064881887316,-31.083554283545702,-32.089139657748824,-58.18112650657334,-43.193766073898296,-3.727215870456735,-8.249922374173268,-40.17561128045758,-36.19859613317723,-55.54006385052204,-43.3534030232411,0.9107334572270753,-14.954682085961124,-45.030818022209154,-20.420447124004284,-40.83462357177849
2020-12-28,20.46008454331849,-31.310763941404407,-36.75238618686425,-31.894325756663722,-31.91579588258393,-39.46389842331808,-22.77678251523515,0.27508337103063774,-18.77409702152183,-33.905225485409964,-39.396285285098976,-7.002629652365256,21.125966701489673,-19.10268337534905,-54.24994582804907,10.774595373813312,-32.842417345800555
2021-01-04,10.12231792742815,-19.104032674164994,-22.391189519107336,-11.64932548472093,-45.07367561520786,-31.49253588970664,-27.694532280134755,-6.580222859835693,-29.683062882194122,-34.848507419289646,-31.622145993848537,-31.06198080354069,9.700485689042026,-25.312203548547572,-55.87890195114329,1.7134676429518603,-20.74269799003797
2021-01-11,41.689830924777716,-17.915025125422545,-20.235859762307197,-12.33585500426716,-42.20833308718971,-29.73359663947338,-30.787686744978437,-6.739927039341131,-26.034563223232666,-19.511132447168954,-45.03014349717899,-29.790788282510505,-0.4302676139889994,-18.722675857695748,-28.56706133945427,-57.50895542936363,-36.01201224984044
2021-01-18,-2.7290784903970855,-32.232282859292695,-14.842725550592261,-30.844918325184256,-43.87651354678251,-33.77565923828705,-22.976318824313267,8.062962032125775,-27.27710643586221,-22.368580816634854,-41.707727426440066,-54.692887251786274,-30.91357502118103,-37.91927125461099,-40.641686438363145,-19.135439372628483,-36.99882936015808
2021-01-25,41.95086756545461,-8.65389902020155,-3.532146166549033,-19.424662468944543,-23.733531871784518,6.509927839935559,-23.746857645906893,34.46112987154317,4.242181313364735,3.1171656435034834,-16.592429885768677,-60.31057406404506,-11.458557495494547,10.779005484515313,-38.75123854531128,61.63954883628564,-30.83443666203326
2021-02-01,38.074545945906515,-22.053870676403708,-12.95381612312716,-45.182218556890696,-32.343864392205504,-23.29318613473751,-31.149541232170673,0.008022882665104092,0.02877142128789867,-1.7754443810873766,-38.95486082411339,-46.88097584756662,-15.954707581628401,-4.26984687223031,-39.27830097523104,34.80351775795161,-20.6684286295856
2021-02-08,10.462398798625806,-28.319354469320203,-7.862112374658981,-33.67388573434206,-15.8556965872385,-33.70922289064692,-10.920972645120097,6.11218768656725,-18.560405754925313,-31.20196397027818,-40.94477869986979,-25.88047566721735,-6.118857950405299,52.42407575748098,-28.526066069524315,126.07674015361661,-14.624263462352738
2021-02-15,-7.52723029374216,-32.23595463569673,-22.54058381602454,-38.97253996691358,-32.60261932932228,-23.864469141549883,-13.736126492863344,22.55142926468192,-1.6091647974768253,-22.217791454902493,-20.745629852059366,-22.634714760800613,39.54655550004955,-17.390297680669608,24.816041932187627,83.89460934848421,-26.00106816865475
2021-02-22,-1.6892662928466695,-30.557758217818265,-1.8125881615468464,-24.65515221561304,-13.304556664065014,-27.203961481942297,-24.982363959177267,-1.4447905230359992,-21.235848948697665,-19.57860396789822,-14.198132626204663,17.225705428490045,11.863004198037363,-44.16969767413125,-42.95464728500797,-8.236904951521362,-35.26206653568881
2021-03-01,-2.3213633910753706,-25.801210696391486,-9.101972677085456,-14.487979940197315,-27.0595171544739,-45.06363816559889,-42.30712351150866,-9.86710996377096,-13.472205416921767,-20.115388479232653,-27.84823442131853,-7.507284376337642,-3.7992502906463166,-0.09577208812432403,-36.52437729833555,6.404227854025546,-35.59330632503443
2021-03-08,13.3336481274849,-11.228600361260055,-7.179368348955595,-37.335855800133345,-0.9955039311993819,-22.495053596546335,-40.99476570272205,7.63051214256516,-10.845745397985219,-7.442221315923092,-29.997781120846167,-36.86346034893925,25.015913892686115,-13.84585586088052,-19.94171585901322,-20.077511495315058,-19.289514825175193
2021-03-15,29.274157775059685,-1.8637029892465184,9.445887886205773,-15.9180120406898,-27.467050188782792,-31.261950413922957,-29.165696610259772,54.490266627439496,23.06207885395284,-5.70430530561098,-21.513152268176704,12.623881295592575,24.539342600774017,-25.858171472864132,18.279124895973275,97.0724305888539,16.3986261519661
2021-03-22,16.9348363635359,9.608355149858072,10.468360503404606,0.5528408098959714,-10.100628867265494,-20.31790864805416,-5.210503078631867,24.17010064637335,-5.58138469037619,15.41849039329306,-26.495182746186185,-11.431154684618361,29.835727030641547,-10.194783417245468,20.318578838846935,2.7658736758936486,40.20801809265602
2021-03-29,16.07239586575997,8.759570810848194,14.162025419868973,-18.992780411105226,-13.959253066514643,-20.614946564139768,-17.230481151292075,-9.0703803655388,-4.374410991108779,57.88815417804807,-13.634409190878849,-14.839524521582215,3.3981795322298947,-6.5122056790271055,21.60396667711606,73.20840539284444,17.508429881078193
2021-04-05,9.708856051809821,-14.917819689733236,7.971428224879595,1.117463397872398,-27.131273675270073,-7.732819670831759,1.0067264239742135,-1.6872971152242289,-8.541299186863894,16.731372695076875,2.7283479334622163,-9.249305104108085,-5.8566878286329445,-19.637397056408435,-37.94288864396147,13.975336512297275,13.247727238196095
2021-04-12,19.103058992008748,-20.090518412601245,3.6880206387659653,-1.3822773786923204,-6.321210940577771,-8.401600666033392,9.918521689756199,-12.770605883116481,-63.13454296226122,-3.735485985521425,-0.2111276886150537,25.067688885776327,-13.75184442672397,56.05427520723525,-34.295234498718486,23.662406646351176,10.910177361969398
2021-04-19,5.561058300075117,-4.2619833976498045,17.06489602147463,0.32213342350246865,-13.904638817270577,-7.346609436719421,-11.391416691975763,0.2747870420396259,-52.78749996436346,9.591273883949626,-4.900145617442986,29.73925564681348,1.5612460800312533,28.24701800725824,-8.698831286224017,60.376223023128084,-41.38462240787534
2021-04-26,25.856477875974893,-6.518240528425623,12.050401708068236,16.821550966232103,-5.923052240402759,1.288242380051452,0.2799546565095845,5.261439428130932,-22.00639379463687,3.332489220544921,-24.508015137487515,-29.351960683234612,13.832759015469499,-3.468338179109609,8.23861394914227,19.35882597637326,-3.529235220712257
2021-05-03,35.52978448311301,64.45773691644392,18.755893183582174,36.080258110030904,-21.841380847222304,-19.401362033182167,-4.520096236476179,-0.06405141434747685,-26.898189880923763,-0.9657752052274482,-24.272437742095086,-5.28879556541445,-13.20179082609193,7.523683437527717,-9.433460305537933,55.63103969305736,-17.24700323223122
2021-05-10,6.099881793518613,-7.217276809280227,6.624357966068706,24.511108296122153,-24.03388893281978,-12.16522410783144,-1.255414514260167,-3.6831814252531014,20.287858526338876,-16.09716699303123,-21.58861311093505,-34.00351085069971,-6.092755141135564,-15.516912255100301,-25.261598406557873,170.21517313510302,-17.467178016832506
2021-05-17,11.021610922594881,20.68671218725642,8.428188330912034,30.121502279040623,-14.015364440688671,-4.045222440969553,-39.259111834257055,10.275941325856873,1.1319267901788166,2.597440053141775,-35.066573893610965,-36.8021425848124,-8.876334383757245,5.142770689438869,58.427813223893786,-31.93871598680287,8.473413351948068
2021-05-24,32.560776021876016,22.828905165828516,29.028585853396383,26.58402116859793,11.476542410055224,35.26262807919738,-15.190658365498976,28.80606494012765,19.33043813713833,10.551431947683088,-8.964603383312431,4.635877041792802,30.433956495819416,38.211627320310804,22.1955308710996,35.465256295075264,83.93808652777597
