,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,6.38929222084334e-06,1.3582106593221425e-05,2.791364795946506e-05,1.046249457258094e-05,2.4605814846164446e-05,1.1025243499287447e-05,1.445838427762246e-06,3.5957055568702645e-06,7.433367431994553e-06,5.898991908549432e-06,4.384578958882495e-06,1.1797881141229384e-05,1.9389086609170763e-05,6.607208086467588e-06,1.2545148698754452e-05,7.892485406794483e-07,8.079389880384633e-06
2020-08-25,5.6829603449544475e-06,1.2033964778179957e-05,2.5076861505860907e-05,1.3618129026755323e-05,2.903305413212943e-05,6.8268807048227275e-06,1.5478407011229584e-06,3.4866350962382666e-06,6.570959017487839e-06,1.4458730205395901e-05,4.027821028590185e-06,1.1996575892575747e-05,4.633562437253842e-06,6.5549843008125995e-06,1.7476012352628066e-05,1.0938829751491665e-06,6.734358581372532e-06
2020-08-26,5.7544400518979405e-06,1.2315239192017204e-05,2.3869324909109425e-05,1.1396591507411964e-05,9.972525691719314e-06,7.536618145352916e-06,1.404620007221867e-06,3.3408465259650593e-06,6.102690642930378e-06,1.0850915290030865e-05,4.2653273749342825e-06,1.1054661474377208e-05,4.63494921363714e-06,5.997712115978245e-06,1.7761706051739486e-05,2.6934144906650214e-06,9.8485163881551e-06
2020-08-27,6.766876011548605e-06,1.2201593872675363e-05,2.5061167148676447e-05,1.6701981234564902e-05,2.9459998232400105e-05,7.1552829600679066e-06,1.3743532328045253e-06,3.7392567673109914e-06,2.8942329955638426e-05,7.109719647395656e-06,3.214548954483633e-06,1.1744298929318405e-05,6.238672635406875e-06,7.605574886391725e-06,1.5460996579883732e-05,2.206276446753961e-06,9.809260132965718e-06
2020-08-28,5.463973709003215e-06,9.397495736849167e-06,2.4793996008935448e-05,1.6067206830858217e-05,1.099861967323101e-05,5.476905116222088e-06,1.859804383155537e-06,3.6503282094331444e-06,1.0626550645436792e-05,7.814979863300128e-06,2.854951794931985e-06,1.1383463146616883e-05,4.531185841240479e-06,7.174801722014803e-06,1.5921388866172765e-05,1.3729394324337032e-06,7.875223112019489e-06
2020-08-29,4.885150621860339e-06,1.092017590757881e-05,2.7665834932794127e-05,1.2968710823686053e-05,4.917291162644322e-06,6.239081379549189e-06,1.9749237512797816e-06,3.8187177087445375e-06,5.7731739358470135e-06,5.472617218187719e-06,3.2939326701339753e-06,1.0938580564642584e-05,4.751291733683636e-06,6.17053602983701e-06,1.2654110824702603e-05,6.680528020027333e-07,1.0230106224085584e-05
2020-08-30,5.013081137899872e-06,1.840542013329468e-05,2.8014120613369874e-05,2.1467366025746526e-05,4.869758313894881e-06,1.3199816036248084e-05,1.6496844799118638e-06,4.93307819820575e-06,8.793774952336426e-06,7.5180728709791685e-06,2.99555643766585e-06,8.498025625379703e-06,2.74035117783034e-06,6.241922609598646e-06,1.9288635136177764e-05,2.212456276332839e-06,7.097652339954023e-06
2020-08-31,5.729918096061347e-06,1.1033984527159645e-05,2.759301850724798e-05,1.1321200241303296e-05,5.463346408942405e-05,6.5495180748619465e-06,1.9857761400951827e-06,5.782315973203926e-06,5.123319270716483e-06,7.556132620202328e-06,3.7890092611448063e-06,1.2942515719844373e-05,5.4840482318614466e-06,6.536731998190259e-06,2.28996063085144e-05,1.4510839597179092e-06,1.0409909097834692e-05
2020-09-01,5.63305607437073e-06,1.0723221732396044e-05,2.3440738443908478e-05,1.4084070634431046e-05,2.3971473946004256e-05,6.938151474807084e-06,1.8666240823885668e-06,4.19686532771181e-06,4.572311443201786e-06,6.100002329091798e-06,4.489307591643603e-06,1.1909310599782655e-05,4.062140727420504e-06,7.922825584327432e-06,1.9604243784118066e-05,1.1274454694892317e-06,6.859984290635974e-06
2020-09-02,6.1787021142857394e-06,1.1782611687157985e-05,2.2294142272332824e-05,7.688446571337252e-06,1.3967000633170696e-05,7.699942790519845e-06,1.292687533412191e-06,3.0106393553760053e-06,5.443959474148112e-06,5.637205749853912e-06,2.887419036770209e-06,8.637677549470792e-06,4.355929197482273e-06,8.375616235964562e-06,2.0295112683176983e-05,1.5900715929734737e-06,3.5359536950362517e-06
2020-09-03,6.137334433426792e-06,1.1558873586305865e-05,2.2428062938466517e-05,8.75966268084839e-06,2.1048820634579844e-05,8.103673581399923e-06,1.597328683556241e-06,3.0985233068592392e-06,4.011426146234936e-06,5.9261388279504856e-06,3.6059517544963147e-06,1.272737611387635e-05,5.024481098998356e-06,6.769284826632319e-06,2.2905776729520358e-05,9.582594941156478e-07,7.726129460791217e-06
2020-09-04,5.980182022299727e-06,1.0739330286287857e-05,2.7299136674955225e-05,1.8485007065734598e-05,2.734818339691786e-05,7.0198463958951274e-06,1.6102618768890384e-06,3.957365253229636e-06,5.89566447701688e-06,6.796213941383776e-06,7.260630724236939e-06,1.4297221103503826e-05,3.8948749871712554e-06,1.1625616297011882e-05,1.7991188550830928e-05,2.07690825898146e-06,5.236115812864864e-06
