,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.5351921424970763e-06,9.620658836865177e-06,4.997443425001003e-06,8.967852490783663e-06,9.842325938465779e-06,6.7169175780274295e-06,9.294675607043009e-07,2.870989708198738e-06,3.991993620885964e-06,7.576156274705643e-06,1.9230609468782875e-06,3.0511761572144958e-06,2.733263310543896e-06,3.303604043233794e-06,8.85539908147373e-06,9.470982488153379e-07,6.283969906965825e-06
2020-08-25,4.649317448027013e-06,8.554264119429127e-06,6.616219917597988e-06,1.2184641760781079e-05,1.935536942141962e-05,9.798165571170444e-06,5.159469003743195e-07,1.8119520972576818e-06,4.287434252545256e-06,8.79572754161584e-06,1.2636301266165285e-06,3.253308716630711e-06,3.0890416248358947e-06,4.994273753000076e-06,1.2742925673791297e-05,1.8752279573985713e-06,6.269920058519254e-06
2020-08-26,3.4357392074567117e-06,1.0596833723363642e-05,4.896271776227574e-06,9.11727320592957e-06,4.986262845859657e-06,7.784300431819913e-06,7.950679286161512e-07,1.6296812321780776e-06,3.6711498398878057e-06,1.2138312019356561e-05,1.5007633356250254e-06,3.1888446560703483e-06,1.9239411830191903e-06,2.917805894259687e-06,1.0149546315279708e-05,6.337445860388285e-07,4.252768440339703e-06
2020-08-27,3.162641864937571e-06,7.751600813229054e-06,4.439406752051257e-06,4.555085791244973e-06,1.4729999116200052e-05,6.1645514732892735e-06,7.421507457144436e-07,2.210801446366353e-06,2.7403867233744024e-06,8.05348774218269e-06,1.803283559832282e-06,2.516635484853944e-06,2.5481902313633715e-06,1.9840630138413195e-06,5.752928959956738e-06,7.879558738407002e-07,6.459756672928643e-06
2020-08-28,3.068981354009564e-06,7.394750743750165e-06,5.76604558347336e-06,9.181261046204697e-06,5.499309836615505e-06,5.332776034216244e-06,5.238885586353626e-07,2.2463558211896273e-06,3.3480912992472083e-06,8.730797816030611e-06,2.0619096296731e-06,3.858801066649791e-06,1.3593557523721438e-06,4.367270613400315e-06,1.3388440637463462e-05,3.432348581084258e-07,4.169235765186788e-06
2020-08-29,2.4820353321083626e-06,8.526712694958799e-06,3.2799701208982725e-06,6.052065051053491e-06,9.834582325288644e-06,5.071533986885013e-06,6.912233129479235e-07,2.4837188349557966e-06,4.1566852338098495e-06,7.0687972401591364e-06,1.0979775567113252e-06,2.60442394396252e-06,2.375645866841818e-06,3.085268014918505e-06,8.892077876818046e-06,6.680528020027333e-07,3.5582978170732467e-06
2020-08-30,3.0675282200958737e-06,5.390158753322014e-06,3.6011473910341907e-06,3.180350522332819e-06,9.739516627789762e-06,6.063073394640268e-06,6.9334565097745e-07,1.9303349471239893e-06,3.4125096829962256e-06,7.792455092547752e-06,2.5347016011018733e-06,4.332326789409261e-06,2.831696217091351e-06,4.1105344014430105e-06,4.666605274881717e-06,1.7207993260366526e-06,3.4474311365490973e-06
2020-08-31,3.2177262475390765e-06,9.1465924369876e-06,4.297673679004994e-06,4.851942960558556e-06,1.092669281788481e-05,5.628492095584485e-06,4.327973638668988e-07,3.288520932627825e-06,3.6595137647974877e-06,6.811968043970281e-06,1.6929615847668284e-06,2.8975781462338147e-06,1.7137650724567019e-06,2.0232741899160327e-06,4.725315587471226e-06,9.673893064786062e-07,7.334254137110806e-06
2020-09-01,3.1973725464151662e-06,6.702013582747528e-06,7.412471705055248e-06,5.633628253772418e-06,1.797860545950319e-05,4.9867963725175916e-06,3.2463027519801164e-07,1.5668297223457421e-06,3.2733593286558243e-06,8.87273066049716e-06,1.3301652123388454e-06,2.381862119956531e-06,2.160713152883247e-06,2.742516548421034e-06,1.0693223882246218e-05,9.663818309907701e-07,7.594982607489829e-06
2020-09-02,4.6758906201926134e-06,8.87332485082268e-06,5.347144374795493e-06,8.786796081528288e-06,1.862266751089426e-05,7.04307563303474e-06,5.225758113793963e-07,2.4410589367913557e-06,4.3246407037625186e-06,6.896581502480851e-06,1.979944482356715e-06,1.8078859987264448e-06,1.8668267989209741e-06,3.3502464943858244e-06,7.610667256191368e-06,6.360286371893894e-07,8.014828375415504e-06
2020-09-03,4.009552523666308e-06,7.90100219823439e-06,5.152963612981008e-06,9.790211231536434e-06,4.209764126915969e-06,6.643552215381919e-06,6.445361354700621e-07,2.358168180441545e-06,3.409712224299695e-06,7.963249050058466e-06,2.45860346897476e-06,1.847522339111083e-06,1.735729834199432e-06,2.8336541134739937e-06,8.947569034968889e-06,1.597099156859413e-06,4.1941845644295185e-06
2020-09-04,3.548241333231171e-06,1.4672042785491861e-05,6.136665434370101e-06,1.0836038624740971e-05,1.8232122264611905e-05,5.502041769755641e-06,7.627556258948077e-07,1.993125565495218e-06,4.613998286361036e-06,9.3695376667621e-06,1.4352409571166043e-06,3.42327829238824e-06,3.4080156137748484e-06,3.025845337578435e-06,8.46644167097926e-06,1.73075688248455e-06,5.691430231374851e-06
2020-09-05,3.3901286610329005e-06,8.231264510175969e-06,6.029884851463528e-06,5.105226001061887e-06,1.0317362056869299e-05,5.8797908422709926e-06,6.483759634477792e-07,3.3837222656687737e-06,3.157814960464157e-06,1.0528098461360392e-05,1.141954206657495e-06,2.6673369205595254e-06,2.4606257093021068e-06,5.328180390875313e-06,1.053878752846271e-05,1.584393273571528e-06,8.584191263010132e-06
2020-09-06,3.62203246992543e-06,9.465410196565808e-06,5.303688102779784e-06,6.0101637332514495e-06,1.6813009907066087e-05,4.9022319184642725e-06,9.389903311443302e-07,3.3683492995689167e-06,3.0912412509164876e-06,8.848764908112666e-06,8.704576256875527e-07,4.545707883324723e-06,2.1987700080574924e-06,2.7871487050674856e-06,7.48151765877576e-06,1.21507952573988e-06,3.327071507500259e-06
2020-09-07,3.7494601089562498e-06,1.3449641214175016e-05,5.00900598405074e-06,4.6431657475520065e-06,0.00021018972206716423,4.9748533256048065e-06,1.050317563515329e-06,1.9009501247444206e-06,3.0862499757184744e-06,8.299193378542688e-06,2.414735099937434e-06,2.4011515923036687e-06,3.6096769981785216e-06,3.5440272970227705e-06,1.5554797353114528e-05,7.653061614952123e-07,5.568924687421826e-06
