,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.99057263986934e-06,4.527368864407141e-06,2.2961226547301904e-06,1.4946420817972773e-06,2.4605814846164446e-05,3.087068179800485e-06,3.614596069405615e-07,1.1985685189567548e-06,1.5142044768877794e-06,4.048327780377061e-06,9.23069254501578e-07,8.136469752571989e-07,1.2812171768174513e-06,1.573144782492283e-06,2.9517996938245767e-06,7.892485406794483e-07,5.161832423579071e-06
2020-08-25,1.888785213260974e-06,5.364538515574198e-06,2.2670963354007095e-06,7.167436329871223e-07,0.0,3.5018714496240934e-06,2.4439590017730924e-07,1.2628757041492933e-06,1.724294210262766e-06,2.95199075026833e-06,1.2636301266165285e-06,1.016658973947097e-06,1.9735543714229327e-06,1.5607105478125237e-07,2.5485851347582594e-06,0.0,5.805481535665976e-06
2020-08-26,2.297544814838663e-06,5.7280182288452115e-06,2.777692642282951e-06,3.7988638358039875e-06,4.986262845859657e-06,8.456580923658905e-06,2.6502264287205036e-07,1.0049700931764812e-06,3.051345321465189e-06,3.98479940029382e-06,3.9493771990132246e-07,1.4881275061661627e-06,1.3992299512866838e-06,1.296802619670972e-06,1.0874513909228257e-06,1.5843614650970714e-07,5.595747947815398e-06
2020-08-27,2.5612352337060913e-06,8.899986118892617e-06,3.150546727262182e-06,7.591809652074955e-06,1.4729999116200052e-05,3.3024382892621108e-06,3.0235771121699557e-07,1.337398405826559e-06,2.6923097633152025e-06,4.278415363034554e-06,1.0976508625066065e-06,1.887476613640458e-06,9.665549153447272e-07,6.613543379471065e-07,3.236022539975665e-06,3.151823495362801e-07,5.024255190055612e-06
2020-08-28,1.7252422804998514e-06,9.089381122526244e-06,2.2583678535270663e-06,0.0,0.0,2.702420287609583e-06,4.453052748400581e-07,1.2074162538894247e-06,1.843876367701361e-06,3.174835569465677e-06,2.379126495776654e-07,9.647002666624477e-07,9.062371682480959e-07,7.798697523929134e-07,7.236994939169439e-07,5.148522871626388e-07,6.717102066134271e-06
2020-08-29,1.5665628407742767e-06,3.889377720507522e-06,1.9489677529975242e-06,2.5937421647372108e-06,0.0,2.2621230732868406e-06,2.9623856269196724e-07,9.313945631084238e-07,1.5703033105503876e-06,2.394270032957127e-06,2.3528090500956965e-07,5.20884788792504e-07,1.0452841814104e-06,1.0798438052214767e-06,1.36801198104893e-06,0.0,3.7806914306403244e-06
2020-08-30,1.885873380448047e-06,4.338420459990889e-06,1.3095081421942511e-06,3.975438152916023e-06,1.9479033255579525e-05,2.3368095375176036e-06,4.781694144672069e-07,1.5626521000527534e-06,1.75000496563909e-06,2.469439994117245e-06,7.680913942732949e-07,3.3325590687763543e-07,6.394152748270793e-07,9.134520892095579e-07,9.333210549763434e-07,9.83313900592373e-07,4.258591403972414e-06
2020-08-31,1.7617968807818518e-06,7.549568360688178e-06,1.318604424240169e-06,2.425971480279278e-06,1.092669281788481e-05,2.626629644606093e-06,2.5458668462758756e-07,1.0139606208935793e-06,1.4638055059189952e-06,4.007040025864871e-06,7.255549649000693e-07,1.159031258493526e-06,7.711942826055158e-07,6.225459045895485e-07,2.180914886525181e-06,4.836946532393031e-07,2.602477274458673e-06
2020-09-01,1.686904492859684e-06,6.106279042058859e-06,2.791710122683145e-06,2.816814126886209e-06,5.992868486501064e-06,1.9152188966915387e-06,5.410504586633526e-07,1.0072476786508343e-06,1.298952114545962e-06,3.265657812544094e-06,9.144885834829561e-07,5.954655299891327e-07,6.91428208922639e-07,4.570860914035057e-07,2.1386447764492438e-06,1.6106363849846169e-07,4.164990462171841e-06
2020-09-02,1.7346738388960658e-06,7.70961011628856e-06,2.0698623386305134e-06,2.196699020382072e-06,4.655666877723565e-06,2.4085129107787192e-06,2.2003192058079847e-07,1.0849150830183801e-06,9.666843926057394e-07,2.698662327057724e-06,6.599814941189049e-07,6.026286662421483e-07,6.222755996403247e-07,7.614196578149601e-07,1.0872381794559098e-06,6.360286371893894e-07,4.007414187707752e-06
2020-09-03,3.0470872784805313e-06,8.778891331371544e-06,3.5479421597574153e-06,4.122194202752183e-06,8.419528253831938e-06,4.708891405408063e-06,7.566293764213773e-07,2.5501121021053917e-06,2.5572841682247714e-06,6.358253117488542e-06,5.736741427607773e-07,3.079203898518472e-06,2.1925008431992827e-06,1.731677513789663e-06,3.5790276139875558e-06,4.791297470578239e-07,2.0308683154079773e-05
2020-09-04,2.5028169204439596e-06,8.016683171454316e-06,5.0086019354050085e-06,4.461898257246282e-06,1.367409169845893e-05,4.932865034953333e-06,5.932543756959615e-07,2.1086690765384193e-06,1.8455993145444146e-06,5.938439366257669e-06,7.598334478852611e-07,1.6109544905356425e-06,9.737187467928139e-07,2.229570248742005e-06,2.116610417744815e-06,6.9230275299382e-07,1.0244574416474732e-05
2020-09-05,2.0498452369036144e-06,6.722199349977041e-06,2.968558696105121e-06,2.9172720006067925e-06,1.547604308530395e-05,2.2237670493204393e-06,4.408956551444898e-07,1.8909036190501972e-06,2.0095186112044634e-06,2.8419406889561796e-06,5.709771033287475e-07,1.4362583418397443e-06,1.7117396238623351e-06,1.7760601302917711e-06,1.91614318699322e-06,4.52683792449008e-07,6.77699310237642e-06
2020-09-06,2.89188322910241e-06,8.992139686737517e-06,4.7000162862032226e-06,4.371028169637418e-06,4.203252476766522e-06,5.031238021581753e-06,4.333801528358447e-07,3.5554798162116343e-06,3.65724317009838e-06,5.899176605408444e-06,1.1869876713921173e-06,2.1740342050683456e-06,2.098825916782152e-06,2.0129407314376283e-06,5.386692714318547e-06,4.86031810295952e-07,1.0605040430157075e-05
2020-09-07,2.239204963028652e-06,5.992414402355205e-06,3.172370456565469e-06,2.785899448531204e-06,6.891466297284073e-06,4.214806289748516e-06,4.72642903581898e-07,4.779531742214543e-06,2.223915423679489e-06,1.7259916664070664e-05,1.1268763799708026e-06,6.002878980759172e-07,1.7608180478919618e-06,7.704407167440805e-07,5.0722165281895195e-06,4.591836968971274e-07,7.350980587396811e-06
2020-09-08,1.845070591273743e-06,4.870828267233122e-06,1.6045753602395113e-06,2.2230600688615087e-06,6.238342098203982e-06,3.5630983508361244e-06,2.1005846583536905e-07,1.5427773865861783e-06,1.7240239043576667e-06,6.282591327473975e-06,5.661534081626381e-07,1.947670381718075e-06,1.182710928891026e-06,9.270001302435183e-07,1.6729771364252628e-06,1.532617784741993e-07,3.2749153925608333e-06
2020-09-09,1.7493399774315563e-06,6.85932404379651e-06,2.1451381495782556e-06,1.3193528837975549e-06,3.221971266460246e-06,2.3961037610224856e-06,3.154593854357908e-07,1.2382240284485922e-06,1.2172972508324792e-06,4.844269018993372e-06,4.093058132476738e-07,5.992491408265444e-07,1.6465431649523409e-06,9.240535766263728e-07,1.904089126603838e-06,3.104521798089353e-07,3.258752084786646e-06
2020-09-10,1.84800550427808e-06,7.691124442393478e-06,2.1412361011734896e-06,2.2631582282548966e-06,0.0,2.595819072852744e-06,3.7298449222292905e-07,1.1510253079146614e-06,1.8029350263968666e-06,6.255815546235983e-06,1.3002377322163641e-06,1.2134285281496206e-06,9.90129132641479e-07,1.4498683841700147e-06,1.742748684137606e-06,0.0,5.6025108212496514e-06
2020-09-11,2.321048440536014e-06,8.614396587510759e-06,2.279615737449992e-06,3.415909141371385e-06,0.0,2.4603853357097374e-06,2.791249433027459e-07,9.243173067133574e-07,1.4585655721791794e-06,4.085785939837775e-06,4.0888778107559404e-07,5.521121140943365e-07,1.118421966254786e-06,1.115442924857072e-06,1.416401504501678e-06,0.0,3.243808091679285e-06
2020-09-12,1.8998937599720092e-06,9.656831851975327e-06,2.2997160080701634e-06,0.0,9.267454091349295e-06,8.246548506784565e-06,2.168164318139183e-07,1.6622240000915503e-06,1.3141824181569779e-06,4.077879735559208e-06,6.451055199098917e-07,0.0,9.960511551952284e-07,6.338247217945226e-07,2.0049321330472963e-06,1.539982228605082e-06,3.7668702817006855e-06
2020-09-13,1.936616195829026e-06,4.777610792794285e-06,2.0595836715534004e-06,2.6727762768654106e-06,1.0148403486991438e-05,2.455896638106271e-06,3.5575542912007607e-07,1.4086016135041534e-06,1.1109481720458777e-06,8.42653908847744e-06,1.5653753989359204e-07,1.647143140033155e-06,1.8702305031041619e-06,6.159471172443019e-07,1.6240135741550582e-06,2.41146138659512e-07,3.5197998641797227e-06
2020-09-14,1.706796989082714e-06,5.468310076121544e-06,2.0261521947462926e-06,8.529326596871188e-07,0.0,2.8076115753613834e-06,2.7883167702247513e-07,2.1396897524748053e-06,1.2927432871303805e-06,3.1146653204090072e-06,4.253312148688231e-06,7.516183282129335e-07,1.0220273291811203e-06,7.654857772742582e-07,3.111361863830211e-06,0.0,5.843963915770498e-06
2020-09-15,1.6731572275095298e-06,3.7797491569471993e-06,3.0014542857218182e-06,1.662607825313121e-06,0.0,2.499791593461719e-06,2.1076430751766513e-07,8.458775431010955e-07,1.4662462544502938e-06,2.4174994728508094e-06,8.881639318080651e-07,1.9499468152006154e-07,1.1021793137221155e-06,9.22562700820758e-07,3.7990378073335243e-06,1.5523187295326775e-07,2.0445358983020584e-06
2020-09-16,2.477024409374207e-06,1.2030673621747782e-05,2.8895075199633868e-06,3.66498755940334e-06,0.0,3.7715179605487615e-06,3.301271203996167e-07,2.0719741086115386e-06,1.8163111447175244e-06,4.420164473660339e-06,5.159397750871109e-07,3.9130466257114165e-07,7.861959367996304e-07,1.0765641669923273e-06,4.182538529022112e-06,8.776419399338931e-07,8.085486955189782e-06
2020-09-17,2.2836356027550085e-06,8.8338698480904e-06,3.0266737485378916e-06,1.3753052031463316e-06,0.0,3.094915190665382e-06,4.2983162119936433e-07,9.176690890508706e-07,1.6649449550169928e-06,4.585553976456171e-06,3.213722595482711e-07,8.02245806911869e-07,1.33219238456664e-06,4.846898590764235e-07,3.507930026618173e-06,3.1423526605828626e-07,6.508051244844333e-06
2020-09-18,1.9925713043265633e-06,6.5479055184854815e-06,2.8646518412831834e-06,2.112368498459819e-06,1.1211474570507095e-05,2.9451004963909515e-06,2.9241128102838243e-07,1.0378816987479542e-06,1.310401946383691e-06,4.064037582052072e-06,9.039397969521122e-07,7.775089972369274e-07,1.7576155632232818e-06,8.178639813684042e-07,7.248133696174907e-07,1.6325480450726926e-07,3.397832499996036e-06
2020-09-19,1.5504228259349284e-06,6.400772617911535e-06,1.926484974940463e-06,3.3810032248008757e-06,8.933875917397383e-06,2.901491084109992e-06,4.4531902627209693e-07,1.518867274352806e-06,1.2412592363478953e-06,3.4189122125911174e-06,2.4769538025823234e-07,5.940021229635875e-07,1.0773647814154183e-06,9.589172673351067e-07,3.0973401075602974e-06,8.569095941097748e-07,2.160814540649243e-06
