,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.343281030233154e-06,1.556283047139955e-05,3.556739014189903e-06,4.483926245391831e-06,4.921162969232889e-06,5.495659836567897e-06,9.294675607043009e-07,3.3169686919966005e-06,4.542613430663338e-06,5.783325400538659e-06,9.23069254501578e-07,6.102352314428991e-07,2.733263310543896e-06,1.7304592607415113e-06,3.320774655552649e-06,7.892485406794483e-07,5.161832423579071e-06
2020-08-25,2.4201357787497757e-06,1.3628827580107422e-05,4.0715199492910695e-06,1.4334872659742446e-06,9.67768471070981e-06,5.90719729381034e-06,1.140514200827443e-06,2.0041288348456178e-06,4.473844437438528e-06,5.964226209725809e-06,1.1846532437029954e-06,2.0333179478941944e-07,2.4883946422289153e-06,1.8728526573750285e-06,3.276752316117762e-06,4.688069893496428e-07,5.805481535665976e-06
2020-08-26,2.314469638520716e-06,1.8186457876583547e-05,2.9189312512125922e-06,3.7988638358039875e-06,4.986262845859657e-06,5.024412096901944e-06,1.5106290643706872e-06,2.417360494397482e-06,4.433986170254103e-06,6.1304606158366474e-06,1.8957010555263478e-06,1.4881275061661627e-06,2.5361042867071144e-06,1.7831036020475866e-06,3.987321766717028e-06,1.267489172077657e-06,6.714897537378477e-06
2020-08-27,2.8009567580431144e-06,1.4354816320794544e-05,2.7209267189991573e-06,2.2775428956224867e-06,4.909999705400018e-06,6.1278577145196945e-06,1.5117885560849778e-06,4.585365962833917e-06,4.7596190458608045e-06,5.662608568722204e-06,1.803283559832282e-06,2.0971962373782864e-06,4.393431433385123e-06,1.4880472603809896e-06,3.236022539975665e-06,7.879558738407002e-07,6.699006920074149e-06
2020-08-28,2.4416205247368907e-06,1.0938068808463785e-05,2.8349724118744022e-06,3.825525435918623e-06,0.0,6.305647337755694e-06,1.1525548289977974e-06,3.4256926273141816e-06,5.191967666948569e-06,5.678071306928999e-06,1.1102590313624385e-06,1.5435204266599163e-06,2.5374640710946683e-06,1.403765554307244e-06,1.4473989878338878e-06,1.0297045743252775e-06,5.327356811072008e-06
2020-08-29,2.1584631584471772e-06,1.2116907513888818e-05,2.4243257415335057e-06,3.458322886316281e-06,4.917291162644322e-06,4.8161329947397244e-06,1.0615215163128826e-06,2.6699977475774815e-06,4.341426799756954e-06,6.099687941105061e-06,9.411236200382786e-07,8.681413146541733e-07,3.1358525442312003e-06,2.1596876104429533e-06,1.7100149763111625e-06,6.680528020027333e-07,3.335904203506169e-06
2020-08-30,2.5224551122448563e-06,1.130618665330959e-05,2.9463933199370652e-06,4.770525783499228e-06,1.9479033255579525e-05,5.242032205782732e-06,6.9334565097745e-07,3.002743251081761e-06,3.6312603037011116e-06,6.475420429018554e-06,1.3825645096919308e-06,6.665118137552709e-07,2.9230412563523623e-06,2.8925982824969334e-06,2.4888561466035825e-06,1.7207993260366526e-06,4.461381470828243e-06
2020-08-31,2.3245931065871657e-06,7.259200346815556e-06,2.0999996386047133e-06,2.425971480279278e-06,0.0,5.662604168891058e-06,1.2474747546751789e-06,2.9322644982598105e-06,5.02573223698855e-06,6.754724615029354e-06,1.1286410565112188e-06,1.159031258493526e-06,2.8277123695535584e-06,2.17891066606342e-06,1.8174290721043176e-06,3.224631021595354e-07,5.441543392049952e-06
2020-09-01,2.276460399802992e-06,7.297748123436197e-06,2.887975988982564e-06,4.2252211903293135e-06,0.0,6.3599721852398275e-06,1.3255736237252141e-06,3.0777012403219937e-06,6.6506348264753255e-06,4.744446255960288e-06,1.496435863881201e-06,5.954655299891327e-07,3.543569570728525e-06,1.371258274210517e-06,2.4950855725241175e-06,6.442545539938467e-07,5.144988217976981e-06
2020-09-02,2.327210942281356e-06,8.29146748355562e-06,2.4148393950689324e-06,1.647524265286554e-06,1.3967000633170696e-05,7.189046112475875e-06,4.950718213067965e-07,2.685164830470491e-06,4.579031333395608e-06,5.5772354759192965e-06,1.7324514220621253e-06,2.008762220807161e-06,3.466964055138952e-06,1.979691110318896e-06,1.449650905941213e-06,9.540429557840842e-07,4.478874680379252e-06
2020-09-03,2.2572615391576742e-06,7.315742776142953e-06,2.9988558731282917e-06,4.122194202752183e-06,4.209764126915969e-06,7.446618966691821e-06,1.205002340226638e-06,2.495270981630007e-06,4.111711799890809e-06,6.296522504697391e-06,1.4751620813848558e-06,1.6422420792098516e-06,2.8319802557990733e-06,4.0930559416846576e-06,3.5790276139875558e-06,3.194198313718826e-07,9.271355352949462e-06
2020-09-04,3.7785890852012345e-06,8.924232209732162e-06,4.015906056315727e-06,5.099312293995751e-06,0.0,6.412724545439333e-06,1.412510418323718e-06,3.0330171648840276e-06,4.716531581613504e-06,6.33433532400818e-06,1.4352409571166043e-06,1.2082158679017318e-06,2.239553117623472e-06,2.548080284276577e-06,2.116610417744815e-06,1.5576811942360949e-06,5.4637730221198576e-06
2020-09-05,2.4528062663803933e-06,6.4478238663045095e-06,3.154093614611691e-06,6.5638620013652835e-06,1.547604308530395e-05,5.6913360075828195e-06,1.1152066571301801e-06,3.2510272748582336e-06,5.454407658983544e-06,5.296344011236517e-06,9.7881789142071e-07,1.2310785787197808e-06,3.209511794741878e-06,1.7760601302917711e-06,2.5548575826576266e-06,2.26341896224504e-06,3.614396321267424e-06
2020-09-06,2.2437732288213025e-06,8.518869176909227e-06,3.7513891458686273e-06,6.556542254456126e-06,2.101626238383261e-05,7.353347877696409e-06,9.149136559867832e-07,4.304001882782505e-06,4.832785617630002e-06,6.920187940959906e-06,1.1078551599659762e-06,1.5811157855042514e-06,1.7989936429561304e-06,3.5613566786973424e-06,5.386692714318547e-06,1.4580954308878561e-06,5.406491199687921e-06
2020-09-07,2.6338849744977308e-06,7.324062047323029e-06,3.589787621903031e-06,4.178849172796806e-06,6.891466297284073e-06,7.77320832125751e-06,9.715437462516791e-07,2.6884866049956807e-06,4.311672760194928e-06,4.330013936630967e-06,2.1732615899436907e-06,1.8008636942277517e-06,2.905349779021737e-06,2.77358658027869e-06,4.395920991097583e-06,1.2244898583923397e-06,6.237195649912445e-06
2020-09-08,1.2239246546639398e-05,9.346724512798693e-06,3.7851521318470523e-06,8.00301624790143e-06,2.1834197343713936e-05,2.3322098296381903e-05,1.6542104184535312e-06,5.213523582256741e-06,1.2116056883402491e-05,7.63766004516444e-06,3.7204366822116217e-06,5.258710030638803e-06,4.984281771755038e-06,4.1715005860958325e-06,6.022717691130946e-06,2.452188455587189e-06,1.0043073870519888e-05
