,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.7380009994134135e-05,4.4141846427969635e-05,3.9709415322980945e-05,3.587140996313465e-05,8.8580933446192e-05,3.2261558670222654e-05,2.1816669133198176e-05,3.107916043341353e-05,3.078882436338485e-05,4.273877470998069e-05,3.630739067706207e-05,3.986870178760275e-05,5.073620020197107e-05,7.598289299437726e-05,6.530856822586876e-05,6.629687741707365e-05,4.0172521905245815e-05
2020-08-25,1.680811280987623e-05,4.567107114610466e-05,4.168681220808243e-05,4.443810524520158e-05,0.000101615689462453,2.7767364524797107e-05,2.411372881749451e-05,2.945794849026504e-05,3.248197471765265e-05,4.554500014699709e-05,3.317029082368387e-05,4.4936326648461695e-05,4.144464179988159e-05,8.006445110278247e-05,6.444279555031599e-05,4.34427810130669e-05,5.526818421954009e-05
2020-08-26,1.7534117334606666e-05,4.897455585662656e-05,3.6863276930636445e-05,3.11506834535927e-05,0.00016953293675922834,2.8801911597733678e-05,2.1917372565518567e-05,3.069232987268713e-05,2.9559907801694022e-05,4.898238032053481e-05,4.067858514983621e-05,4.1880159816390575e-05,4.0665120459269246e-05,7.894285947247042e-05,9.460827101028584e-05,4.9115205418009215e-05,4.857109218703765e-05
2020-08-27,1.746182050960212e-05,4.952411630674118e-05,3.790203184009352e-05,4.251413405161975e-05,0.00011292999322420041,2.8914681910428258e-05,2.2044625854184586e-05,3.035075565875783e-05,3.105771619824323e-05,4.360208597916097e-05,3.9907449215418765e-05,4.697719571727362e-05,4.744905948055933e-05,8.118124498300733e-05,8.881084081933214e-05,5.0586767100572956e-05,5.048180214770162e-05
2020-08-28,1.668864584355753e-05,4.298198869804783e-05,3.911300920789429e-05,2.7543783138614088e-05,0.00010998619673231009,2.6916106064591447e-05,1.8362293980169457e-05,3.043812137711945e-05,2.9938729443993154e-05,4.804991525325938e-05,3.671785225148636e-05,4.24468117331477e-05,3.9874435402916214e-05,7.237191302206236e-05,7.417919812648676e-05,5.131361128720966e-05,4.3313727116107196e-05
2020-08-29,1.4959294028653105e-05,4.622375829372401e-05,3.636488612300259e-05,4.9281101130007e-05,9.342853209024213e-05,2.8021137423940217e-05,2.2193205655006543e-05,3.2816135106853465e-05,2.8311644981393754e-05,4.121564842447626e-05,3.874292235824247e-05,4.826865709477203e-05,4.019592806696357e-05,7.219527154909302e-05,7.387264697664222e-05,5.1440065754210455e-05,3.780691430640325e-05
2020-08-30,1.5870778300859198e-05,4.4173008319907235e-05,4.513126275776615e-05,3.3393680484494596e-05,9.252540796400275e-05,2.6715417145133683e-05,2.0991637295110384e-05,3.064023725593634e-05,3.0800087395247984e-05,4.187072701136574e-05,3.46409218817256e-05,4.23235001734597e-05,4.539848451272263e-05,7.140150497321377e-05,7.435457737978202e-05,5.211563673139576e-05,3.9138482903175045e-05
2020-08-31,1.6455672254524936e-05,4.413593810863858e-05,3.765348189219149e-05,2.9111657763351334e-05,0.0001038035817699057,2.8927038163973598e-05,2.0290558764818727e-05,3.181644002317421e-05,2.8397826814828506e-05,4.144424255323095e-05,3.9583054196214896e-05,4.6747594092572214e-05,4.327256807953173e-05,6.676804826722908e-05,7.342413451301442e-05,3.9662961565622855e-05,4.5425057881460475e-05
2020-09-01,1.662375524468612e-05,4.572262599785535e-05,4.3175241035289336e-05,5.2815264879116425e-05,9.588589578401703e-05,3.013759546869327e-05,1.9856551832945043e-05,3.225990481901144e-05,3.060331181870286e-05,4.695153307846415e-05,3.8824197135140046e-05,4.96221274990944e-05,4.1485692535358345e-05,9.202666640257248e-05,6.772375125422605e-05,3.8011018685636953e-05,4.0669906865913276e-05
2020-09-02,1.750131328549595e-05,5.396727081401991e-05,4.1655979564939085e-05,4.558150467292799e-05,8.380200379902417e-05,3.240544643593186e-05,1.9665352901908863e-05,3.260169824470233e-05,3.3019903726374995e-05,4.521758654670053e-05,3.827892665889648e-05,5.142431285266332e-05,5.200446082708428e-05,8.680184099090545e-05,7.646908528839899e-05,4.468101176255461e-05,4.8796160991500274e-05
