,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.2397497215316581e-05,4.8810695569389496e-05,2.260105044459913e-05,4.184997829032376e-05,4.4290466723096e-05,7.74141712780737e-05,7.074280878693846e-06,1.4884548584253653e-05,1.4866734863989106e-05,1.9258473583793733e-05,1.5230642699276037e-05,3.1325408547402156e-05,1.742455360471734e-05,1.9821624259402765e-05,3.0993896785158055e-05,4.735491244076689e-06,3.6132826965053495e-05
2020-08-25,1.1432339510594995e-05,5.495027290277354e-05,2.0959074284418803e-05,4.372136161221446e-05,3.387189648748433e-05,7.955261505257158e-05,8.98833810652104e-06,1.663701471118417e-05,1.607787844704471e-05,2.204956356322875e-05,1.5005607753571276e-05,3.0093105628834074e-05,1.870586317261736e-05,1.904066868331279e-05,3.058302161709911e-05,6.5632978508949995e-06,3.831617813539544e-05
2020-08-26,1.1276163778167657e-05,4.8115353122299775e-05,2.2080302529333963e-05,4.178750219384387e-05,9.473899407133348e-05,7.377393818338417e-05,8.321710986182382e-06,1.5807907952127355e-05,1.544743568991752e-05,2.3847491795604556e-05,1.69033344117766e-05,2.572334689230081e-05,1.5304077592198103e-05,2.0262540932358937e-05,3.2261057930710496e-05,6.337445860388285e-06,3.491746719436808e-05
2020-08-27,1.122485523606167e-05,5.584023548789078e-05,2.3581364897992695e-05,4.479167694724224e-05,4.909999705400018e-05,7.327743626284929e-05,7.476481586456617e-06,1.525725936442952e-05,1.4615395857996813e-05,2.195833767204499e-05,1.677837746974384e-05,2.5795513719752924e-05,2.0649127736910078e-05,2.1494015983280964e-05,3.667492211972421e-05,8.667514612247703e-06,3.15810326232067e-05
2020-08-28,1.130945062499657e-05,6.470406900781394e-05,2.2583678535270662e-05,4.5141200143839754e-05,4.9493788529539544e-05,7.570380032356979e-05,7.046301113645625e-06,1.4264359464554134e-05,1.5915564437001223e-05,2.2040685395713643e-05,1.4116150541608147e-05,2.2573986239901275e-05,1.4681042125619152e-05,2.277219676987307e-05,2.8947979756677755e-05,8.75248888176486e-06,4.007098818762858e-05
2020-08-29,1.1040913925658505e-05,6.462350674074036e-05,2.272211185201992e-05,6.916645772632561e-05,7.375936743966483e-05,7.669326935562804e-05,7.109725504607213e-06,1.7386031844690577e-05,1.4871696058741907e-05,2.0408301709491702e-05,1.4508989142256796e-05,2.083539155170016e-05,1.7294701910608437e-05,1.8357344688765104e-05,2.6676233630454135e-05,9.575423495372509e-06,2.891116976372013e-05
2020-08-30,1.2134839262376674e-05,6.060641915320606e-05,2.1560116198269634e-05,5.327087124907472e-05,5.35673414528437e-05,9.088294390507652e-05,5.881483797946645e-06,1.798581926923463e-05,1.5618794318328877e-05,2.2060330614114057e-05,1.505459132775658e-05,2.332791348143448e-05,1.6898832263287096e-05,2.1161640066688093e-05,3.079959481421933e-05,1.1553938331960381e-05,3.589384183348177e-05
2020-08-31,1.1994084783285709e-05,4.674925023349218e-05,1.973022916270475e-05,5.256271540605102e-05,6.009681049836646e-05,7.84236565318105e-05,7.433931191125556e-06,1.345553148266885e-05,1.4247706924278219e-05,1.9920713271442502e-05,1.9589984052301872e-05,2.9362125215169323e-05,1.379580883327645e-05,2.1944743136781585e-05,3.3804180741140306e-05,6.610493594270475e-06,3.643468184242142e-05
2020-09-01,1.1623288355137772e-05,4.721196234957703e-05,1.776105233224277e-05,3.168915892746985e-05,4.794294789200851e-05,7.375399562542322e-05,6.709025687425573e-06,1.5164673384132005e-05,1.6262880474115442e-05,2.261313994723929e-05,2.327789121592979e-05,2.9971765009453014e-05,1.495213501795207e-05,2.11783222350291e-05,3.671340199571202e-05,5.476163708947697e-06,3.6014917525838866e-05
2020-09-02,1.2537741607862655e-05,5.454912818128697e-05,1.7723196274523774e-05,2.8007912509871418e-05,4.190100189951209e-05,7.028478585090626e-05,6.270909736552756e-06,1.6327971999426623e-05,1.740031906690331e-05,1.9670249850554078e-05,2.0624421691215778e-05,2.772091864713882e-05,1.617916559064844e-05,1.9035491445374003e-05,3.551644719555972e-05,4.929221938217768e-06,3.347369497967652e-05
2020-09-03,1.11697760293309e-05,5.3404922265843555e-05,1.8837883372045325e-05,2.9885907969953325e-05,4.630740539607566e-05,6.880821937359844e-05,6.473384664938451e-06,1.9962167853040057e-05,1.850270309950864e-05,2.000071854433289e-05,2.048836224145633e-05,2.4633631188147775e-05,1.562156850779489e-05,1.936330310873896e-05,2.57689988207104e-05,6.707816458809535e-06,3.355347651543615e-05
2020-09-04,1.2097686742889299e-05,5.2184069700976206e-05,1.9808795041827014e-05,3.4420357984471316e-05,4.5580305661529765e-05,8.188555958022533e-05,6.80830021632032e-06,1.4385167124878532e-05,1.3380595030447006e-05,2.2368121612903887e-05,2.051550309290205e-05,2.4164317358034635e-05,1.6261103071439993e-05,1.895134711430704e-05,2.8574240639555003e-05,5.711497712199015e-06,2.4131664181029372e-05
2020-09-05,1.115150848965086e-05,5.6246974152869126e-05,2.226419022078841e-05,4.4488398009253585e-05,6.19041723412158e-05,7.771877382540248e-05,6.354084441788236e-06,1.6819090085235966e-05,1.3205408016486474e-05,1.982899526158062e-05,2.863042332405577e-05,2.421121204815569e-05,1.4442803076338451e-05,2.4380461788550677e-05,3.289379137671694e-05,5.884889301837104e-06,2.8237471259901752e-05
2020-09-06,1.100556411869754e-05,5.702909643430899e-05,2.3413842600076606e-05,4.644217430239756e-05,3.78292722908987e-05,8.54342917895517e-05,7.126695846633891e-06,1.6685804400642318e-05,1.5543283472918113e-05,1.7867698372150576e-05,2.389801845069463e-05,3.08317578173329e-05,1.1593514587939507e-05,2.307139761416974e-05,3.8006109706580864e-05,6.804445344143329e-06,3.2854831136565056e-05
2020-09-07,1.2057877085085942e-05,5.086894003777085e-05,2.2582268644762087e-05,4.736029062503047e-05,4.134879778370444e-05,8.108319968885056e-05,7.693576152749784e-06,1.528907028901584e-05,1.4705073413717438e-05,2.4055632981283154e-05,1.8995916119507817e-05,2.1810460296758326e-05,1.5054994309476273e-05,1.9569194205299647e-05,3.449107239168873e-05,4.132653272074147e-06,4.276934159939962e-05
2020-09-08,1.483570335155403e-05,5.5553771047902096e-05,2.0448050103565053e-05,3.601357311555644e-05,4.0549223638325876e-05,8.223918920869236e-05,8.323566708726499e-06,1.4097793360184044e-05,1.680923306748725e-05,2.2605009972381852e-05,1.900657870260285e-05,2.5709249038678592e-05,1.36011756822468e-05,1.622250227926157e-05,2.3087084482668627e-05,1.1647895164039147e-05,3.7770690860868275e-05
2020-09-09,1.1632472404672612e-05,4.732933590219592e-05,2.0213801794102792e-05,3.166446921114132e-05,6.766139659566516e-05,8.65864768187671e-05,8.001197139689603e-06,1.5649044104222633e-05,1.8025363137327094e-05,2.050950259989402e-05,1.686339950580416e-05,2.6366962196367953e-05,1.4212267318535994e-05,1.5708910802648338e-05,3.1417470588963326e-05,8.226982764936786e-06,3.8018774322510876e-05
2020-09-10,1.1340607809852274e-05,5.644735974685213e-05,2.149633105491817e-05,4.0284216462937163e-05,6.751087407293103e-05,8.51212337639629e-05,7.717909877535994e-06,1.614112234122188e-05,1.7981904605379274e-05,2.261216660983215e-05,2.007241999109012e-05,2.4470808651017348e-05,1.2331608288352967e-05,1.9975964404120203e-05,3.659772236688973e-05,5.770890776476391e-06,3.8769374883047586e-05
2020-09-11,1.1498967090933918e-05,6.104339650805037e-05,2.060421916541339e-05,3.245113684302816e-05,3.6181340880493034e-05,0.00010405537365947797,8.87617319702732e-06,1.2505469443768953e-05,2.0872576291529637e-05,2.0428929699188875e-05,1.6764399024099357e-05,2.318870879196213e-05,1.2302641628802647e-05,1.912187871183552e-05,3.718053949316905e-05,8.03864309714181e-06,3.707209247633468e-05
2020-09-12,1.2029839553675772e-05,6.224942378427172e-05,2.81485239387788e-05,3.9763616146630867e-05,6.950590568511971e-05,0.00010091274049534477,7.516302969549168e-06,1.428873323155621e-05,1.8398553854197692e-05,2.4143637164501345e-05,1.5643808857814873e-05,2.1445356787818754e-05,1.3347085479616062e-05,2.218386526280829e-05,3.1744758773248856e-05,9.679888294089086e-06,3.696241463918798e-05
2020-09-13,1.172394566584694e-05,6.321146587389361e-05,2.6354264531918e-05,4.116075466372733e-05,4.3976415110296235e-05,9.258393901463641e-05,7.775797236481663e-06,1.7607520168801918e-05,1.6493307477296492e-05,1.9468210997516843e-05,1.831489216755027e-05,2.525619481384171e-05,1.4774820974522879e-05,1.6476585386285076e-05,8.802153571920415e-05,8.922407130401944e-06,4.2237598370156676e-05
2020-09-14,1.273564547595451e-05,5.841755642295698e-05,2.4192257205270735e-05,6.055821883778543e-05,4.328243139058337e-05,9.177380336962522e-05,7.198926934034813e-06,1.6689580069303482e-05,1.786755900426633e-05,2.545900348856058e-05,1.8667314430353905e-05,2.668245065155914e-05,2.1121898136409818e-05,1.8830950120946753e-05,3.733634236596253e-05,6.873711447607927e-06,4.2481122310793237e-05
2020-09-15,1.1800382757837312e-05,5.6966219436847074e-05,2.681028760624489e-05,5.4034754322676436e-05,3.9941571187291735e-05,8.441325235892471e-05,5.8223639951755e-06,1.8080632483785916e-05,1.6696287994224315e-05,2.0884509334905603e-05,1.9216637797301776e-05,3.6269010762731446e-05,1.5515293416242088e-05,2.0757660768467053e-05,3.764501099994129e-05,7.140666155850317e-06,4.611564303947976e-05
2020-09-16,1.1690869530748853e-05,5.772019816276744e-05,2.267460762193491e-05,4.764483827224342e-05,4.649378726767636e-05,0.0001520574500825092,6.740095374825507e-06,1.6743790769590544e-05,1.8489116011611723e-05,2.32223566377379e-05,1.5551898934768627e-05,2.4260889079410782e-05,1.4675657486926436e-05,2.1069898696849836e-05,3.311176335475839e-05,6.582314549504198e-06,5.390324636793188e-05
2020-09-17,1.220637313786026e-05,5.616759037741061e-05,2.286365710044164e-05,3.8508545688097286e-05,5.160520868573001e-05,0.00017099406428426237,8.99780860377336e-06,1.3843693686253133e-05,1.898037248719372e-05,2.4655659786452744e-05,1.5666897652978217e-05,2.3866812755628107e-05,1.243379558928864e-05,2.374980309474475e-05,3.718405828215263e-05,8.170116917515442e-06,5.745038340276377e-05
2020-09-18,1.1288349606684833e-05,5.848470156283623e-05,2.3004022361819504e-05,4.0135001470736565e-05,4.8583056472197414e-05,0.0001117990746876721,7.982827972074839e-06,1.39567775805317e-05,1.718082551925284e-05,2.1065261466969907e-05,1.6517445380670415e-05,2.215900642125243e-05,1.332087584758698e-05,2.322733707086268e-05,4.6025648970710654e-05,5.387408548739885e-06,4.190660083328444e-05
2020-09-19,1.1025228984426158e-05,5.507641554947135e-05,2.1101730772022278e-05,4.395304192241139e-05,7.593794529787776e-05,9.006385162433313e-05,8.461061499169842e-06,1.474566978850849e-05,1.4987055964793107e-05,1.8015037427883963e-05,1.651302535054882e-05,2.3166082795579913e-05,1.4691337928392068e-05,1.9018525802146282e-05,3.0285103273922907e-05,9.426005535207523e-06,3.145185609167232e-05
2020-09-20,1.1388352428632408e-05,5.7384326156220126e-05,2.451019906619006e-05,4.413805136215219e-05,3.0466441215001674e-05,8.950161643872478e-05,7.356845671466688e-06,1.671609906988992e-05,1.657967045988819e-05,1.9558275749522023e-05,1.6372271294645577e-05,2.4227418407714488e-05,1.6596913780958515e-05,2.1338889058364415e-05,3.9207685981499075e-05,1.1370590038481325e-05,3.6717084220300765e-05
2020-09-21,1.1959622499214522e-05,5.635949089129985e-05,1.9872962771434e-05,4.0540896643011054e-05,1.7581026556140614e-05,9.37476231645597e-05,7.346812112161401e-06,2.1714167942527383e-05,1.4598838139193333e-05,2.3323360621873133e-05,1.7487949808948123e-05,2.495221171606149e-05,1.723703379184393e-05,2.3161337944205698e-05,2.9811205277804517e-05,4.246809102070127e-06,4.2117781697197156e-05
2020-09-22,1.1513887110580146e-05,5.774281432212455e-05,2.3778443027247475e-05,4.497585559537793e-05,5.101635924586484e-05,9.701161561732137e-05,7.954377446476364e-06,1.8911694672136453e-05,1.594408855301615e-05,1.9683558073312207e-05,1.7300399059856083e-05,2.2783129685977633e-05,1.620824485986684e-05,2.2530544981696614e-05,3.632556025123181e-05,7.599002444174057e-06,3.701092419955831e-05
2020-09-23,1.1521443459067938e-05,5.779943841408202e-05,2.3190720977545037e-05,5.0515908399385823e-05,5.4341763933657286e-05,9.08026064107054e-05,8.114663625763143e-06,1.6360022377490302e-05,2.4175983772902254e-05,2.2899908739622948e-05,1.7783596460253705e-05,2.343653154828313e-05,1.696839282971996e-05,2.500059316693979e-05,3.454450798152602e-05,7.450967730381635e-06,3.387118311391248e-05
2020-09-24,1.1318535987562362e-05,5.8621175173767954e-05,2.0860068375303575e-05,3.516875139209641e-05,4.1485906644856935e-05,9.610657453411926e-05,8.07118612589141e-06,1.4490645577464947e-05,1.796204792511449e-05,2.6568294362426033e-05,1.8087990392055952e-05,2.2359083348190356e-05,1.6252058115593294e-05,2.3908565730088452e-05,3.595383803763952e-05,5.581533310989481e-06,3.0584761110239846e-05
2020-09-25,1.1673642887406345e-05,5.7915625373795884e-05,2.0583712394990498e-05,4.488433411480786e-05,3.305578715011367e-05,8.988261431319824e-05,8.99078287125088e-06,1.3922330921383808e-05,1.5307207639258778e-05,2.291347346210128e-05,1.5878718860330274e-05,2.0967181438319475e-05,1.4721186816455211e-05,2.4159183400144013e-05,3.6868048908395644e-05,5.748684325150892e-06,2.709093413263308e-05
2020-09-26,1.2093303385479093e-05,4.9436458607647476e-05,2.1483264652337254e-05,5.829142533133376e-05,4.319971660985904e-05,8.368567701400056e-05,8.588585255405746e-06,1.5616696838249146e-05,1.6217926692708383e-05,2.339401285007433e-05,1.3273494338737545e-05,2.376551106869095e-05,1.514815402968347e-05,2.0497032702468047e-05,3.487454906695195e-05,1.0132118775991418e-05,1.9745137491616364e-05
2020-09-27,1.1635648929200509e-05,5.329281884864e-05,2.2308489726059354e-05,3.0141143356246123e-05,3.260495832493509e-05,9.264624878985636e-05,6.764376753800963e-06,1.639383597728649e-05,1.5962537760995657e-05,2.3721991234754266e-05,1.5951131481296794e-05,1.962004850594256e-05,1.6613839063628925e-05,2.431197471209371e-05,2.7672032263804328e-05,9.243040151981374e-06,2.420624862949916e-05
2020-09-28,1.2010285651059206e-05,4.822141596946536e-05,2.242559043497515e-05,2.3728990908937566e-05,4.91987084044341e-05,8.206811095662997e-05,6.808131827172427e-06,1.652981704768022e-05,1.9526891688617118e-05,2.4132126334624303e-05,1.9116150992104638e-05,2.083933219182116e-05,1.4468526503001662e-05,1.648479884641113e-05,2.6611093832380047e-05,7.2277755631132145e-06,2.7317432346277455e-05
2020-09-29,1.1487016458685066e-05,5.2175311106564915e-05,2.0463146926199662e-05,4.271281110533089e-05,4.532668541947181e-05,8.150492437902028e-05,7.724003529275458e-06,1.7033806996746443e-05,1.7925409676879167e-05,2.2661074514185565e-05,1.6713731326521925e-05,2.2612968646936607e-05,1.2109209377781067e-05,1.3528772399192498e-05,3.242731417527612e-05,4.25689452129436e-06,2.7346138303263273e-05
2020-09-30,1.069372120327196e-05,4.752062787927418e-05,2.2052470151338778e-05,2.71986528895776e-05,2.4812664383901544e-05,7.799320233061695e-05,8.509461967394198e-06,1.5079943112041848e-05,1.5551812008595428e-05,2.268414730358818e-05,1.3616293033587627e-05,1.7311116898209128e-05,1.2260161681757903e-05,1.2498036022910686e-05,2.6009119989553003e-05,5.843346733651745e-06,2.546790593590755e-05
2020-10-01,1.1193708063320235e-05,3.7571477032069557e-05,2.2005789082640646e-05,3.502672095942617e-05,4.028081482333986e-05,7.987733561735939e-05,7.648073651905277e-06,1.3112658832533025e-05,1.62330959815221e-05,2.222469310684226e-05,1.2657484910988051e-05,2.399143411347684e-05,1.3445538704440544e-05,1.6253300024366518e-05,3.081931578603093e-05,6.811023123287283e-06,2.863617044990308e-05
2020-10-02,1.1194778182779688e-05,4.359466343768812e-05,2.2092190625518457e-05,4.5692592349959016e-05,5.816877842143622e-05,7.407349317027898e-05,6.550241651976715e-06,1.4317401310233658e-05,1.733410997682599e-05,2.0466498907330105e-05,1.4154754686794225e-05,2.4391355561157852e-05,1.2083207342786826e-05,1.809269901185371e-05,3.124424236255432e-05,7.755676450099978e-06,2.580575007268948e-05
2020-10-03,1.0452913837559138e-05,4.5487183038529246e-05,2.2303349286796663e-05,4.025622060954741e-05,3.1626178569310744e-05,7.480608701472775e-05,7.417411297496234e-06,1.412122951218388e-05,1.6218820642006348e-05,2.186944755926445e-05,1.4459794541277977e-05,2.3628192577766743e-05,1.2484204712364427e-05,1.881794300921318e-05,3.7331588264579944e-05,8.336714334146626e-06,2.5520699448279524e-05
2020-10-04,1.207647668731921e-05,4.753219784709286e-05,2.3946406963810627e-05,3.999068934719814e-05,3.509477183612656e-05,7.239438193452043e-05,9.328405119308039e-06,1.682615303876064e-05,2.0243144261562632e-05,1.9818194022242854e-05,1.642387879976097e-05,2.0233316395009938e-05,1.5175028977539411e-05,1.6164753358056273e-05,4.971907226607252e-05,6.824861075549671e-06,2.2529538944638708e-05
2020-10-05,1.1709994876360802e-05,4.14469026592731e-05,2.5311585219171475e-05,3.806465715427116e-05,2.7047568558824404e-05,7.510505678673896e-05,9.207132723226225e-06,1.4507018551167645e-05,1.7818646442502956e-05,2.292410744987644e-05,1.4730059514925036e-05,2.210353609585764e-05,1.3385213593881095e-05,1.553734483855928e-05,3.9365024528229274e-05,4.894131772866607e-06,2.221996561512237e-05
2020-10-06,1.1034594698104932e-05,4.320778115119467e-05,2.2664102437374032e-05,3.793083705484942e-05,3.469141982069492e-05,7.893936542132478e-05,9.251789616033437e-06,1.5085966058522944e-05,1.8479651079664856e-05,2.3104836892581474e-05,1.529049049972205e-05,2.59928891131139e-05,1.7759337715532552e-05,2.0011735829814932e-05,3.9096719174375034e-05,4.995829157765314e-06,3.2305827387671597e-05
2020-10-07,1.2129491364301969e-05,4.762811370351848e-05,2.3556754307561043e-05,3.116435154347444e-05,3.9093710066386006e-05,7.949905560778795e-05,9.115629424762651e-06,1.375156968001796e-05,1.9398818362608713e-05,2.0084644927180063e-05,1.598375931655221e-05,2.0950395145757936e-05,1.8236425082496712e-05,1.9516476846566703e-05,4.537536624402754e-05,6.244006263009761e-06,2.8484756454307685e-05
2020-10-08,1.2951303147939841e-05,3.323664033213256e-05,2.147981586530579e-05,4.4452949157981263e-05,2.6939853104328256e-05,9.058634686687926e-05,9.392843570512062e-06,1.5193609843947087e-05,2.146150708090548e-05,2.3867446802095383e-05,1.4552803233722896e-05,1.6091690452196616e-05,1.73075382468749e-05,1.6878323501377643e-05,4.975437823808265e-05,6.004740393427798e-06,2.8646201002207805e-05
2020-10-09,1.1959987603959259e-05,4.022124223518334e-05,2.1842611811873985e-05,3.294095531405687e-05,4.056784160151021e-05,8.771103223061684e-05,8.970848762935422e-06,1.4348669759380481e-05,2.1949535380639364e-05,2.372114849054646e-05,1.457019764864018e-05,1.9464074072118165e-05,1.9793330384901744e-05,2.3994814779050186e-05,4.239761696550738e-05,5.800057664783835e-06,2.309558354703622e-05
