Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-25.288985781906536,-6.1946117590824805,8.58831139168721,-37.55410986684947,0.4322558373213825,-9.82771737149919,-17.481119866355066,-11.545305861464982,-20.485670804299605,-28.670491430220522,2.896363592773765,7.718699833655607,-20.83720211409268,-15.865047322255643,-62.59867195101811,-29.806185176171972,-41.09149002942929
2020-08-31,-8.48532835314214,-21.78153887390728,-2.043691494228128,-48.35741846736881,10.799772691881104,-8.17052499254195,-19.971896479998673,-19.81135599488525,-28.705909844740095,-20.82597219408875,-34.32762513245488,-31.259288993342793,-22.632447494328943,-12.769845473828912,-45.62701257392345,-8.93133995706158,-32.55515007582841
2020-09-07,-3.8782052626557206,-31.824770663683065,-8.79908209675725,-40.96119113720215,-11.88219030444355,4.280593938771471,-32.04459642576628,-25.48476925871228,-37.27818938313453,-38.71106258050049,-37.82598097754046,-37.5227469483688,-70.85568875439215,-49.87318566391208,-69.76644281453575,-30.843024783425033,-56.09380103558978
2020-09-14,-20.853378305256008,-33.49600796741855,-8.821120797986481,-33.47149862713395,-8.87626080668168,-14.53684109153286,-32.884605214804516,-17.718794674288063,56.35181979164061,-36.31105687926861,-44.08640236815351,-12.957304612444842,-14.136771557002149,-20.882860676670102,-77.0948911745907,-16.89997086293126,-39.67854605995851
2020-09-21,-22.45048245297918,-24.977585111304812,-19.317371017647734,-44.13758680994043,-17.821226816631196,-29.41940985397078,-31.533198056502542,-20.23382784434975,131.40797646904642,-36.19380651367118,-53.57860681774934,-9.476234556220142,-20.956709671924358,-1.277607589796037,-71.33044448981761,-45.87976978960382,-46.5141432744966
2020-09-28,-15.596357192238209,-28.727996897041518,-19.563518768504153,-46.28568833771144,-22.15676976768678,-25.45659340531111,-22.87201311890642,-26.589472654501744,9.628754484905455,-31.34556550127423,-27.50149947435887,-44.90030284142291,-19.538389873769624,-1.554896580352072,-61.71379891941569,-59.804689077668584,-46.19702824621255
2020-10-05,-28.795803825205613,-28.341391356624936,-31.219044505496964,-35.155687431602765,1.8790721002630129,-35.67293345657407,-9.130339061565762,-16.95871552342335,-35.23859247361355,-34.760375483708906,-36.86840975000554,-54.673947673336144,37.52417640954935,-27.66788682802509,-69.72796602680906,-61.74764531590784,-54.629833514316275
2020-10-12,-13.02234056900592,-22.31499497186342,-22.811639141122775,-37.140482280942244,-23.81043991046241,-16.205141616693698,-27.104135538631226,-28.023512772913584,30.852428468451155,-31.083411400930526,-49.53759604593072,-9.727498441724702,-13.126526814310658,1.7945910116337949,-70.3038550924864,39.17762454682334,-52.898760442589676
2020-10-19,-16.585379585620576,-34.4914458636188,-20.09759036436185,-17.65997903900951,-3.757409350355423,-19.33189844568225,-17.474411783962097,-23.293359762509922,20.075225487685188,-38.48003625922004,-34.07166449329117,-33.89298513156426,2.0173925726585384,2.814132867503849,-64.6594625646021,-26.867544669037933,-56.211582844428776
2020-10-26,-11.928343272675479,-43.41694086482434,-29.683339959736987,-29.196906291499893,-18.178156060952112,-19.261670903711238,-10.779240444843808,-23.250937698203167,35.30500473284479,-39.74765637592738,-34.281089618444796,-19.40020467831215,-32.49725933284861,-0.31156550536655114,-71.06243106060832,-26.238583736841857,-50.05656508018767
2020-11-02,-43.998987266631396,-37.12309468819286,-33.28083942698983,-38.20299530971264,-13.00530956751742,-14.427487946126327,-31.535560572919753,-16.83075074225372,9.479625319267026,-68.20078634999203,-33.30963440702727,-29.938688230092325,-11.775511742834988,-28.838140674253367,-68.30953009068203,-3.6090557795293243,-52.0451547917513
2020-11-09,-17.305355586149375,-35.92890756433755,-34.44716197370688,-19.469378260107504,-16.155194256356907,-29.949914847592506,-27.386577688661482,-6.723792007145035,19.439638054438912,-32.99949141579509,-21.956385517962996,-35.04824938560242,-18.117253002059254,-18.010936710943316,-57.64953141509099,-20.37276472307743,-48.183393608677484
2020-11-16,-13.399176477489483,-37.65740453494727,-37.80432008295034,-34.20094312028087,-13.167210512641159,-30.440958347038148,-11.083232765197316,-11.936836093465308,24.56453166492112,-35.9575341643496,-29.612933917467032,-58.292510943642185,1.6462190664677356,-11.344011758874561,-57.29931360368865,-15.522726821250199,-39.649175210607204
2020-11-23,0.4698685071392372,-31.501481355245808,-29.096688637174438,-24.369439454549134,-8.822282865429043,-22.301879109194733,-26.71978937284486,-23.118552138125093,28.1237894741019,-46.17161063236782,-18.81242912572262,-35.200490445868674,-25.619488022030936,14.18671039167878,-70.5258981541164,9.183520267257661,-39.01911924710819
2020-11-30,-11.44751098679051,-34.65714261945454,-23.96854957410787,-18.721529342360277,-4.226405587775739,-31.01360901608723,-3.2537565044825745,-34.47568535215858,51.7317264470686,-42.98368935247851,-22.40660462031667,-14.664469058912822,-14.03600785248803,6.025756676265903,-71.38974975607042,-3.303421903151005,-45.20010490200791
2020-12-07,-6.075040205263404,-28.069262055613397,-22.1370342551505,-5.459965863581284,12.797802615281828,-18.969598657047793,-12.470024415384895,-15.12479758952454,-1.2139477077827254,-31.420606304360057,-37.81752240434707,-39.24918161483441,-29.35108186638078,19.784237810004225,-66.52180739198405,-32.486075683111636,-52.622766203837415
2020-12-14,-7.585347338142945,-38.28956373898906,-33.716210806267775,-7.146024912916782,-0.10548881507380647,-23.471521964734123,-33.68070230171236,-19.840892720782822,-15.910486850829098,-32.48801107454015,-18.161779998871975,-43.21510527696009,1.8172055464494186,3.580735585378947,-63.204946597648416,-33.88829368526223,-41.6566677179485
