Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-20.918308496080673,9.809331696243916,-12.976843455891007,-41.379975466730166,-42.93379921915713,-31.077305641951213,-33.827887147263326,-58.74147802107162,-36.77576027604263,-47.462231336255876,-55.876004022414946,29.170372535571666,-19.00336000292494,-35.615797910261584,-35.47471954658219,-17.23178297417105,-65.68236802877219
2020-08-31,-13.41077749535895,-10.798499728737044,-8.598518174650804,-30.564201739307684,-80.77785218051945,-38.59766624594002,-24.323587889640798,-36.107350832206244,-28.673227527489974,-42.46318546187542,-47.142950789222816,-44.48882337678845,-23.60958963474148,-10.45074949932424,-3.635017757768366,-12.962247860601483,-59.275841420506005
2020-09-07,-23.912443823629904,-26.44291115328834,-13.640631700755746,-14.43601507243033,-73.78313099966915,-43.44721801541815,-4.550647951519471,-7.705463846645467,-20.761295757618413,-42.52585165993954,-40.43385101515674,-25.936589692315128,-38.5150848633224,-2.152458415956382,-45.034029116952965,22.788915180449408,-53.3297021061667
2020-09-14,-22.484923528989476,-21.655243025091053,-14.521519282684315,-28.837792107840155,-57.295811626658235,-48.265626127323294,-34.61537470783248,-41.92909516033889,-25.271117930773734,-76.6979207838565,-56.710576186045834,-2.3916668603281455,-31.628480730289922,-9.867588751176658,-44.693304982176095,-18.61085381575326,-53.044794155229525
2020-09-21,-21.02494599401876,-21.346284835459194,-17.41506559204208,3.477733159945906,-51.70757794518153,-46.51400602552551,-36.27210790677513,-39.62507193559111,-27.63730169363876,-42.633270551385415,-68.31511817340127,-39.2280075461159,-31.966582003884948,-10.333318233030608,-33.04523360431414,-38.66373909488432,-47.912805770398904
2020-09-28,-24.27963711184433,-21.921732120801174,-16.436133675585207,-36.016670073596714,-74.8220338826058,-52.358970025305375,-31.65080837366504,-30.770133051460636,-42.54647324499295,-42.607362934664096,-62.79978172437316,-24.936644450634105,-30.79072728270864,-24.278207345602766,-55.072315058498,22.750551830748634,-61.780581216027066
2020-10-05,-7.665936679039154,-5.418684352127423,-14.81990763746901,-23.259699028591562,-18.797942932471145,-40.06676779100029,-27.81627145641693,-27.79394246409368,-35.677072095911285,-28.595889102218585,-58.21002652036364,-29.096013767784413,-11.306565985388307,6.9878593178873905,-50.650485757882294,-10.106966492383417,-50.18602127600267
2020-10-12,-18.465017128952688,-2.4773427846015883,6.043641067651873,16.10542436815492,-59.1196696891392,-25.63176273483654,-25.269428705450416,-17.1099181859663,82.14658042808398,-27.946634396970428,-68.89420780171515,-14.061066805915058,-36.704252462481136,-27.706730007958093,-40.939198570369584,6.2294522051263845,-40.33185489173113
2020-10-19,-11.154959469568182,-21.209774874010957,-33.76629375111443,-56.47238735756508,-51.738154901999565,-30.562530758180053,-22.377911627092416,-26.87389942226873,-26.773490394657696,-23.939433226379837,-61.004945671404464,-3.500880604493417,-12.181447485009645,-13.20884887808118,-39.252346211329495,10.617143973912002,211.62940028980412
2020-10-26,-8.367015402619405,-24.17995701654505,88.24090716264865,-28.525610922279466,-31.142507588614432,-29.35380028429867,-25.518500949681023,-15.680840277980312,-24.434655035850362,-44.26787794224707,-55.68102012478955,-29.491196540924104,-12.298085936274184,1.161104549667824,-40.68388930056122,-5.493185412828627,-25.10561732896466
2020-11-02,-18.650749539365417,-58.758694846651004,-32.187717460523835,-66.8800367019375,-42.98347031032166,-37.117842792301815,-30.07697034164719,-27.244852234383167,-30.168770219141027,-42.38033257491123,-47.646084518524354,-42.12668298243316,-11.974493349999182,-28.088495737001416,-43.5452247388645,5.412756733716706,-21.113241648768366
2020-11-09,-9.446274861953718,-21.859340969812212,-25.116207080566443,-39.83328882314736,-34.5537666163387,15.796170087715588,-33.01264060821535,-17.299010419412063,-10.61905067744302,-42.561597134777216,-22.227323027646907,1.8118690880682076,39.709337372802665,-23.493051743485182,12.354687730610125,-6.520943586362781,-17.79174911341905
2020-11-16,-2.963244710554336,-46.442411557595605,-26.465758069432642,-29.09632745442029,-52.16961412300907,-34.667095111377776,-38.930955520964474,-21.500597241605913,5.573134246414124,-53.13099662555629,-38.684650662780896,-46.11576342412571,10.533689237042276,-10.152438886970527,-33.733647906084684,-10.951696286235645,-13.908550396443209
2020-11-23,3.1682607306904087,-30.238319149344562,-14.186386389083715,11.166147268669624,1.0943915609995303,-31.070071424457623,-35.7805072072298,-11.435144046457246,-26.02333716352494,-59.905078061866405,-39.04085246130713,-48.599711065536496,-15.539885931558494,-34.11362899927901,-63.95258979690326,-12.017585940937913,-27.473503286761456
2020-11-30,17.87108066488905,-18.626886539891828,-30.68871499289999,-28.125066807464925,-35.004789071318186,-30.97900047915868,-40.16807278115594,-25.59259577838475,-17.08379790289016,-48.016619147134286,-25.382631618484687,-26.800683037624452,-45.8785729521687,-47.55175586901876,-64.2058986449525,-58.45068909901019,57.046373042527996
