,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Amsterdam,English,1.6419039225878262e-05,2.4808517026076727e-05,8.389477800198465e-06,40.62004109410069,2022-03-21
Amsterdam,Polish,2.7592725057353017e-05,4.170836033265161e-05,1.4115635275298593e-05,27.301245512958406,2022-03-14
Amsterdam,Russian,1.9817254745661154e-05,2.45381544469552e-05,4.7208997012940454e-06,3.4337056979174108,2022-03-14
Amsterdam,Ukrainian,0.00013347770116332806,0.00017631149952899823,4.2833798365670165e-05,538.5630832449895,2022-03-14
Amsterdam,Lithuanian,4.874418828423939e-05,7.79212454936015e-05,2.9177057209362107e-05,96.6989245359184,2022-03-14
Amsterdam,German,1.9591196694396637e-05,3.987358136432901e-05,2.028238466993237e-05,103.60726263605483,2022-03-21
Amsterdam,Japanese,6.6891020517396545e-06,8.77501822811284e-06,2.085916176373185e-06,12.672249716067864,2022-03-07
Amsterdam,Spanish; Castilian,3.035266537042983e-05,4.276201930246832e-05,1.2409353932038485e-05,48.345659457387534,2022-03-21
Amsterdam,French,2.2494278970165712e-05,2.8045594679803563e-05,5.55131570963785e-06,58.54930959582396,2022-03-21
Amsterdam,Italian,2.6229601529596345e-05,4.0248578322914824e-05,1.4018976793318478e-05,34.320422049761,2022-03-07
Amsterdam,Chinese,1.2170398997584684e-05,1.7162800573973436e-05,4.992401576388752e-06,25.138121593744756,2022-03-21
Amsterdam,Persian,2.1409778578169338e-05,3.0148254103012046e-05,8.738475524842708e-06,38.50490253708367,2022-03-21
Amsterdam,Portuguese,3.613372767068572e-05,0.00012216342205509734,8.602969438441162e-05,65.89715882989881,2022-03-21
Amsterdam,Arabic,2.303798642188899e-05,3.114435851549149e-05,8.106372093602498e-06,54.231920710771234,2022-03-21
Amsterdam,Turkish,2.5382529547347245e-05,3.93941854746642e-05,1.4011655927316956e-05,57.060602589155486,2022-03-21
Amsterdam,Indonesian,1.4066282708236926e-05,1.832240888586771e-05,4.256126177630786e-06,54.77393060346498,2022-02-28
Amsterdam,Dutch; Flemish,0.000173334180478624,0.00022909876071596676,5.576458023734277e-05,71.99197880554054,2022-03-21
Andorra la Vella,English,1.3163693908432725e-06,1.7577764126274842e-06,4.4140702178421177e-07,27.870280534388026,2022-03-14
Andorra la Vella,Polish,6.104193722072248e-06,8.522199144080743e-06,2.418005422008495e-06,77.71436826602212,2022-03-14
Andorra la Vella,Russian,2.6102272341847183e-06,4.075653854049953e-06,1.465426619865235e-06,39.12281327227618,2022-03-07
Andorra la Vella,Ukrainian,2.456235806768437e-06,3.5703179982831235e-06,1.1140821915146864e-06,24.131607840979342,2022-03-14
Andorra la Vella,Lithuanian,8.642865785722928e-06,2.078504442732505e-05,1.2142178641602123e-05,114.5839563779806,2022-03-14
Andorra la Vella,German,2.597848215837639e-06,3.742174271855658e-06,1.1443260560180192e-06,43.009704136116,2022-03-07
Andorra la Vella,Japanese,6.861850578396569e-07,8.411492127054098e-07,1.549641548657529e-07,100.5808702140841,2022-03-07
Andorra la Vella,Spanish; Castilian,6.914827650190253e-06,9.28271430022606e-06,2.367886650035806e-06,25.31119289815118,2022-03-14
Andorra la Vella,French,4.057279967162933e-06,4.464149648598864e-06,4.0686968143593133e-07,32.2247794405905,2022-03-07
Andorra la Vella,Italian,3.7692177145189605e-06,5.048810629151547e-06,1.2795929146325866e-06,89.87858121056934,2022-03-14
Andorra la Vella,Chinese,1.0626675077588697e-06,1.5992484723590991e-06,5.365809646002294e-07,141.82147617174903,2022-02-28
Andorra la Vella,Persian,1.2278377369560347e-06,1.693299889013938e-06,4.6546215205790334e-07,69.04811070668673,2022-02-28
Andorra la Vella,Portuguese,3.091371444987242e-06,4.464141269041563e-06,1.372769824054321e-06,63.77239544151572,2022-03-07
Andorra la Vella,Arabic,1.4080300265308616e-06,2.506193219997996e-06,1.0981631934671346e-06,170.6001550027163,2022-03-14
Andorra la Vella,Turkish,2.630677161621669e-06,3.7162217697188444e-06,1.0855446080971755e-06,116.27725186413214,2022-03-14
Andorra la Vella,Indonesian,1.3247920041690506e-06,2.0317210548255284e-06,7.069290506564777e-07,746.4881656392231,2022-03-21
Andorra la Vella,Dutch; Flemish,3.520684083000063e-06,5.463240998849337e-06,1.942556915849274e-06,62.95993331553274,2022-03-07
Ankara,English,6.125550564908972e-06,7.650185266688771e-06,1.524634701779799e-06,46.66778676721268,2022-02-28
Ankara,Polish,1.2833288773302871e-05,1.922667684669154e-05,6.393388073388669e-06,102.54416226237369,2022-03-14
Ankara,Russian,1.4604013637947128e-05,2.0560853359900223e-05,5.956839721953095e-06,54.82839625545357,2022-03-14
Ankara,Ukrainian,1.4291253920732911e-05,1.4070927111036189e-05,-2.2032680969672227e-07,163.4252116047263,2022-03-14
Ankara,Lithuanian,2.171155491312428e-05,3.8541210043765105e-05,1.6829655130640825e-05,207.0449820692718,2022-03-07
Ankara,German,7.195753851967705e-06,8.966744852374768e-06,1.7709910004070629e-06,36.41176139220772,2022-03-14
Ankara,Japanese,2.37349927031851e-06,2.9043730758461465e-06,5.308738055276363e-07,110.92741927642966,2022-02-28
Ankara,Spanish; Castilian,8.576317980224175e-06,9.681215322304259e-06,1.1048973420800837e-06,41.81715889709772,2022-03-07
Ankara,French,6.5578197294570565e-06,6.725103474717795e-06,1.6728374526073864e-07,37.95458729179928,2022-03-07
Ankara,Italian,8.117173582054613e-06,1.0380823338706919e-05,2.2636497566523063e-06,68.31227605989713,2022-03-07
Ankara,Chinese,3.8129592378984567e-06,6.3131292821630054e-06,2.5001700442645487e-06,120.1517116889494,2022-03-07
Ankara,Persian,1.734830512005775e-05,2.1743304427114354e-05,4.394999307056604e-06,42.753326759351815,2022-03-14
Ankara,Portuguese,6.631984039459393e-06,1.0307395917461838e-05,3.675411878002445e-06,90.08030817723774,2022-02-28
Ankara,Arabic,2.495680735442569e-05,2.5768849777462564e-05,8.120424230368733e-07,16.48423884852339,2022-03-07
Ankara,Turkish,0.00020966181221376257,0.00024885606093848477,3.9194248724722206e-05,36.796198706605395,2022-03-21
Ankara,Indonesian,8.351353769208482e-06,1.1796741430591991e-05,3.4453876613835087e-06,52.330394834024794,2022-02-28
Ankara,Dutch; Flemish,1.1815668276966562e-05,1.4331313264154765e-05,2.515644987188203e-06,65.15911028122514,2022-03-07
Athens,English,1.132599419211425e-05,1.3772189302608189e-05,2.4461951104939386e-06,14.132442736445894,2022-03-21
Athens,Polish,3.2035588657792704e-05,4.142227076729338e-05,9.386682109500672e-06,8.260007893591581,2022-03-14
Athens,Russian,1.9066251952608367e-05,1.772479451875425e-05,-1.3414574338541174e-06,-17.99078921543006,2022-03-21
Athens,Ukrainian,2.8976672842258012e-05,2.768544659237707e-05,-1.2912262498809433e-06,-10.720067379413578,2022-03-21
Athens,Lithuanian,8.155141925927033e-05,0.00010834610237909212,2.6794683119821792e-05,-0.45587183574117285,2022-03-21
Athens,German,1.857767292107668e-05,2.2827519144683554e-05,4.249846223606873e-06,15.2303023903958,2022-03-21
Athens,Japanese,4.512371881630882e-06,4.58366517976959e-06,7.12932981387081e-08,12.28400257771849,2022-03-07
Athens,Spanish; Castilian,2.2276220720092277e-05,2.501668473595656e-05,2.7404640158642835e-06,-3.4005865383847644,2022-03-21
Athens,French,1.9549731060380793e-05,2.1273698639633055e-05,1.7239675792522618e-06,3.679483025402641,2022-03-07
Athens,Italian,2.3317605138898545e-05,2.75324847995541e-05,4.2148796606555565e-06,9.564276641539937,2022-03-21
Athens,Chinese,1.1092061283627642e-05,1.3151078261333754e-05,2.0590169777061114e-06,24.798366648207626,2022-03-07
