,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,7.629367015000445e-07,4.3536069963783706e-05,2.8638206017526448e-06,1.4985838382728322e-05,
2022-01-02,8.582564399030342e-07,5.419772063371527e-05,2.793134240172986e-06,9.293401994364068e-06,
2022-01-03,8.712524412362312e-07,4.9429271086880114e-05,2.5015289814171105e-06,1.4760590851182196e-05,
2022-01-04,8.748771760351166e-07,5.000996483057186e-05,3.4151494477160025e-06,1.2117136357164712e-05,
2022-01-05,9.32476174998471e-07,5.088308355854011e-05,3.025365209053219e-06,1.1499632011775625e-05,
2022-01-06,8.355625695064961e-07,4.479815232509521e-05,3.124467660685676e-06,8.305609037333194e-06,
2022-01-07,8.524023543185066e-07,4.4532418173108926e-05,3.4017907455539286e-06,5.750289997579651e-06,
2022-01-08,7.619077442677538e-07,4.895677276953903e-05,2.40850822389649e-06,1.2321195073780855e-05,
2022-01-09,7.946315033448381e-07,4.892312707147015e-05,2.976734274541931e-06,1.036458667508995e-05,
2022-01-10,9.15400034806508e-07,5.667624301025672e-05,3.886940002659686e-06,8.410860439433815e-06,
2022-01-11,8.542529370581548e-07,6.290372872298316e-05,3.076103319050883e-06,1.461168829534768e-05,
2022-01-12,8.284519514289273e-07,5.252865684458951e-05,3.126586510481804e-06,1.4869470164609054e-05,
2022-01-13,7.999480714560423e-07,5.0138646303628346e-05,3.12448865790308e-06,9.641823042364074e-06,
2022-01-14,9.601636612428949e-07,4.779675751164257e-05,2.9656847345658656e-06,1.019010096537311e-05,
2022-01-15,7.330360234713417e-07,4.577009204570451e-05,3.413031478328377e-06,1.4767551107184411e-05,
2022-01-16,7.643822730751652e-07,5.135412096472882e-05,2.973091015062054e-06,1.1213653744799668e-05,
2022-01-17,8.219057294939086e-07,5.660895962962735e-05,3.146574267109906e-06,1.0308062164486891e-05,
2022-01-18,9.820071755798463e-07,4.874637879937209e-05,3.615130399132148e-06,9.228610019981786e-06,
2022-01-19,1.1485546228378448e-06,5.043794801067455e-05,2.760127369868866e-06,8.041705748138163e-06,
2022-01-20,8.890778065243419e-07,5.186086257374808e-05,2.869706352206096e-06,9.491563518682056e-06,
2022-01-21,9.73088071435727e-07,4.875275627627428e-05,3.075735516171203e-06,7.27520161937429e-06,
2022-01-22,9.23517202897187e-07,4.822931493142668e-05,2.9022441774740416e-06,9.034802057525588e-06,
2022-01-23,9.550147960243387e-07,5.057504596464016e-05,2.538778306612108e-06,1.0315597096847123e-05,
2022-01-24,8.534079305863221e-07,4.786654190484131e-05,2.6790054350627194e-06,1.037961843806786e-05,
2022-01-25,9.384733530150924e-07,6.720427841766066e-05,3.7088763915338008e-06,6.430776266148394e-06,
2022-01-26,1.0974672194232144e-06,5.6026885762296e-05,3.0483635948742204e-06,1.1247297133907508e-05,
2022-01-27,1.978438980086789e-06,6.411592511788737e-05,4.434026486855986e-06,1.144254094410386e-05,
2022-01-28,1.6070193020819008e-06,5.9532997216633175e-05,3.6101566955551406e-06,1.1393496819885146e-05,
2022-01-29,1.6087633483246658e-06,4.901350585476634e-05,3.370877173678447e-06,1.2274697919684196e-05,
2022-01-30,1.4705682803903129e-06,4.502183099396769e-05,3.228195389925579e-06,1.2047712264072558e-05,
2022-01-31,1.4180460462993188e-06,4.396065723417853e-05,4.061627916596024e-06,1.119010973341322e-05,
2022-02-01,1.3065062110412629e-06,5.025519675559382e-05,3.393105484771605e-06,1.0226282056198532e-05,
2022-02-02,1.2956733278104403e-06,5.04432307344664e-05,3.1734837369333334e-06,8.398473344178769e-06,
2022-02-03,1.033909238414822e-06,5.6787441623007176e-05,3.015534388331746e-06,1.0955381236311643e-05,
2022-02-04,9.138548796566024e-07,4.984795246715787e-05,3.740812518081882e-06,8.52406823942829e-06,
2022-02-05,9.333276992803868e-07,4.323261543695721e-05,3.1954509684108886e-06,1.3054805038574532e-05,
2022-02-06,1.0356333662421724e-06,5.125110513257769e-05,3.4866805461733986e-06,8.581130502649934e-06,
2022-02-07,8.781772565352986e-07,5.18776132692664e-05,2.877026201314896e-06,7.30498208909704e-06,
2022-02-08,9.768211947816796e-07,4.882216789393885e-05,2.912959012894889e-06,1.1251296179728812e-05,
2022-02-09,1.0618755020991204e-06,4.8628319504796334e-05,3.2512563882203792e-06,7.397756075638357e-06,
2022-02-10,9.317799590811328e-07,4.926234473970881e-05,3.218912145035229e-06,7.527855417499566e-06,
2022-02-11,8.842016340037694e-07,5.171563390584846e-05,3.6960918136087168e-06,1.0532623894528484e-05,
2022-02-12,9.494148770815874e-07,5.196247250056408e-05,3.5274803293893647e-06,9.82301269928437e-06,
2022-02-13,9.586035897273417e-07,5.578415723280415e-05,3.0608140016207738e-06,1.0051095750356512e-05,
2022-02-14,9.389917130460104e-07,5.223472727539242e-05,3.121771107438601e-06,1.2811483293825785e-05,
2022-02-15,9.372482763860322e-07,4.924416593100451e-05,2.397657506825888e-06,8.551302470257501e-06,
2022-02-16,1.0226497755782647e-06,6.221479187010884e-05,3.050541839398462e-06,7.37800242428863e-06,
2022-02-17,8.86292342182908e-07,5.225927584451226e-05,3.493612370279894e-06,9.429938230761275e-06,
2022-02-18,9.953835040979813e-07,4.903486876800499e-05,3.3014999447915843e-06,1.19024732978832e-05,
2022-02-19,1.0093535706462626e-06,4.923820512103948e-05,2.4792986034379807e-06,1.0462723456427277e-05,
2022-02-20,8.008399897362784e-07,5.250043371074018e-05,3.078812588191487e-06,8.58911992753906e-06,
2022-02-21,1.0895145510411928e-06,6.102149024926448e-05,4.194853036039975e-06,8.914346349406105e-06,
2022-02-22,1.0754137575475206e-06,5.36959223957678e-05,3.4226305952931613e-06,7.923155951478594e-06,
2022-02-23,1.0327954731815125e-06,4.432472653077415e-05,2.991184209211688e-06,6.677733154444282e-06,
2022-02-24,9.88026557040363e-07,3.0757062340197495e-05,2.021536728169357e-06,4.315575264221096e-06,30096.0
2022-02-25,1.0496384644143076e-06,2.9563959749841973e-05,2.4873964079023127e-06,1.1485166709174984e-05,46347.0
2022-02-26,1.2060936483793717e-06,3.379795319972002e-05,3.0739615853412086e-06,1.7438071527725113e-05,76575.0
2022-02-27,1.065034315481448e-06,3.594123067204932e-05,3.888021771092261e-06,8.810709311439544e-06,98115.0
2022-02-28,1.2199193623977232e-06,3.907779088757511e-05,3.689139295915856e-06,1.3570626761136787e-05,99245.0
2022-03-01,1.2228592902446416e-06,4.00263307233346e-05,3.3788770704583427e-06,1.243662073523229e-05,97499.0
2022-03-02,1.1619985422170031e-06,3.5977951940095e-05,3.4163191710252725e-06,2.2819564300792752e-05,97379.0
