,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,4.598019586045723e-06,8.707213992756741e-05,1.5950814746971127e-05,3.1081738867880964e-05,
2022-01-02,5.056754159428688e-06,0.000104618952259,1.7193292989509268e-05,3.562470764506226e-05,
2022-01-03,5.3888576920907634e-06,0.0001294224837839,1.7041666185904064e-05,4.173684309644621e-05,
2022-01-04,5.0901944787497695e-06,0.000114035461206,1.6547951414842085e-05,4.94783067917559e-05,
2022-01-05,5.440870158706675e-06,0.0001150874894221,1.55452276167309e-05,3.9498736040446704e-05,
2022-01-06,5.976830216571977e-06,0.0001259630586918,1.467848869759625e-05,2.491682711199958e-05,
2022-01-07,5.068224835775554e-06,0.0001463860515331,1.501691410199482e-05,4.182029089148837e-05,
2022-01-08,5.103572509222097e-06,0.0001367376529205,1.3879028640203524e-05,4.517771527052981e-05,
2022-01-09,5.274510558433853e-06,0.0001023972427077,1.6141878643392327e-05,4.590031241825549e-05,
2022-01-10,6.096090749034719e-06,0.0001077520667507,1.6790306404931596e-05,4.583918939491429e-05,
2022-01-11,5.766207325142546e-06,0.0001181280076198,1.6364869657350698e-05,3.693510096879552e-05,
2022-01-12,6.0189570348713895e-06,0.0001153754427122,1.6221102292004605e-05,3.8580246913580246e-05,
2022-01-13,6.118751738052068e-06,0.0001185202272951,1.6278585907675047e-05,3.563282428699767e-05,
2022-01-14,5.717535647944116e-06,0.0001077246717521,1.4216942284259049e-05,2.6401625228466697e-05,
2022-01-15,5.468280221067824e-06,0.0001057721778867,1.5541482624531006e-05,4.532110512204872e-05,
2022-01-16,5.488579929864459e-06,0.0001276101458689,1.5413889340224632e-05,3.752261060759889e-05,
2022-01-17,5.5387538815156e-06,0.0001158323892823,1.621695968433567e-05,2.4052145050469417e-05,
2022-01-18,5.6455140554255615e-06,0.0001196815573824,1.6022993209712825e-05,2.6578396857547545e-05,
2022-01-19,5.386763563198896e-06,0.0001066234761434,1.6378777799221844e-05,2.4125117244414488e-05,
2022-01-20,5.693517491780882e-06,0.0001135553875768,1.6045669926313655e-05,3.341030358576083e-05,
2022-01-21,5.817188777924981e-06,0.000137316180366,1.5251843126580911e-05,3.0384665586798505e-05,
2022-01-22,5.80799121638552e-06,0.0001078813623466,1.4292772400893668e-05,4.216240960178608e-05,
2022-01-23,5.8534448539658426e-06,0.0001109574202342,1.7012732790285736e-05,4.126238838738849e-05,
2022-01-24,6.089292335632839e-06,0.0001215413114726,1.503896232864754e-05,3.257052682290259e-05,
2022-01-25,6.362172956250964e-06,0.0001168770059437,1.689252944715395e-05,3.1082085286383904e-05,
2022-01-26,7.283191547081331e-06,0.0001018975033883,1.9347777102160862e-05,2.987563301194182e-05,
2022-01-27,6.873962836743261e-06,0.000113910423663,1.639060825486075e-05,2.7933261716488835e-05,
2022-01-28,6.31270146356275e-06,0.0001058617350123,1.4440626782220564e-05,2.658482591306534e-05,
2022-01-29,5.516900613857787e-06,9.149951209803342e-05,1.654513108181623e-05,3.7806069592627326e-05,
2022-01-30,5.5443395015725685e-06,0.0001129118936039,1.5083957220183235e-05,4.528278057875548e-05,
2022-01-31,6.3908145663841925e-06,0.0001029296744441,1.8247460713530663e-05,2.2699936887781105e-05,
2022-02-01,1.8993029732559475e-05,0.0001143738960644,1.7210075566904628e-05,2.4926562511983924e-05,
2022-02-02,6.748128278280875e-06,0.0001135242730233,1.565381881775769e-05,2.4573310895930477e-05,
2022-02-03,5.91670716514732e-06,0.0001063935919901,1.5778250637937824e-05,2.8170980321944223e-05,
2022-02-04,5.798675581677544e-06,0.0001029664719513,1.5086913296065772e-05,2.9834238837999016e-05,
2022-02-05,5.104896720411855e-06,0.0001059668997938,1.6194421412723146e-05,4.5450061986148365e-05,
2022-02-06,5.462311725919906e-06,9.858243166992956e-05,1.6096841854833857e-05,3.922802515497113e-05,
2022-02-07,5.46421404066408e-06,0.0001043840460933,1.604609458671504e-05,2.5263063058127264e-05,
2022-02-08,6.009661260076589e-06,0.0001244803618487,1.522546618080112e-05,3.1321175851677506e-05,
2022-02-09,6.080896429989495e-06,0.000122475511683,1.7912582365289636e-05,2.989926413903836e-05,
2022-02-10,5.782027424655243e-06,0.0001262845327045,1.6278498562035303e-05,2.854311845801919e-05,
2022-02-11,5.840831947697977e-06,0.0001177380871688,1.6739324907913857e-05,3.5593004884958326e-05,
2022-02-12,5.574661689766666e-06,0.0001096004577742,1.5766303385270727e-05,5.098611353438078e-05,
2022-02-13,5.797634510670962e-06,0.0001091284507297,1.7577817552165016e-05,3.3771681721197884e-05,
2022-02-14,5.743499311464764e-06,0.0001021427406409,1.5184537134240188e-05,2.989346101892683e-05,
2022-02-15,6.375754722257613e-06,0.0001015080212823,1.535714808169493e-05,2.4737696431816344e-05,
2022-02-16,6.392596167987209e-06,0.0001086082313143,1.5067827873392406e-05,2.7360092323403668e-05,
2022-02-17,6.078627667612963e-06,0.0001097090892446,1.643516775931672e-05,3.2376121258947046e-05,
2022-02-18,6.111486006093114e-06,0.0001057162641013,1.559041640596026e-05,2.4886989622846688e-05,
2022-02-19,5.943040318452475e-06,0.0001000491293245,1.717586381899806e-05,5.136246060427935e-05,
2022-02-20,6.1996734815193845e-06,0.0001111400310408,1.979236663837385e-05,5.543886498684303e-05,
2022-02-21,6.975261636557202e-06,0.0001150385681936,2.0189616410868653e-05,3.412042913048544e-05,
2022-02-22,7.883702341575132e-06,0.0001198712809133,2.038020945379109e-05,3.785507843484217e-05,
2022-02-23,7.339787592017229e-06,0.0001064510278677,1.881053987236216e-05,3.311042689078623e-05,
2022-02-24,9.107879730177633e-06,7.962257262625092e-05,1.2461114458715588e-05,2.2362526369145675e-05,30096.0
2022-02-25,8.503250930817032e-06,7.733556455196757e-05,1.307399819275484e-05,2.5742615037806e-05,46347.0
2022-02-26,8.530516665358733e-06,7.126755034035668e-05,1.543067845314844e-05,3.447060650829383e-05,76575.0
2022-02-27,7.86457724065482e-06,8.017027937578124e-05,1.5237614735236582e-05,2.9251554913979284e-05,98115.0
2022-02-28,8.869668485203827e-06,7.74867687281746e-05,1.661565100207771e-05,3.305665493097422e-05,99245.0
2022-03-01,7.95266158422432e-06,8.820235249600793e-05,1.6424280716401856e-05,3.17824752122603e-05,97499.0
2022-03-02,7.476488841026127e-06,8.82316440435663e-05,1.8545732642708622e-05,4.458591794154892e-05,97379.0
2022-03-03,7.9128201661282e-06,0.0001128544096885,2.1829500699516188e-05,6.434388863926852e-05,98517.0
2022-03-04,8.046607008697373e-06,9.042836923265164e-05,2.417878005580216e-05,7.332368835273682e-05,105317.0
2022-03-05,7.20698382759314e-06,8.296752960756358e-05,2.736502379498537e-05,6.843655911746059e-05,127579.0
2022-03-06,7.944387512132944e-06,0.0001048559841134,3.0357842993807417e-05,8.735802508516501e-05,140843.0
2022-03-07,7.658353498729427e-06,9.446354769773778e-05,3.150904082183051e-05,0.0001031267499794,140558.0
2022-03-08,7.86509030203732e-06,8.987335748488407e-05,3.427217322912135e-05,9.775930268637154e-05,126322.0
2022-03-09,7.710930816244273e-06,0.0001081322347669,3.311535672964063e-05,0.0001226059599193,116399.0
2022-03-10,7.433133955770966e-06,9.718771752628286e-05,3.429340092854842e-05,0.0001119073165457,85825.0
2022-03-11,7.271384170309199e-06,9.694260215743452e-05,3.380684323823187e-05,9.723022978997512e-05,76065.0
