,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,9.506109703182372e-07,4.6504438370405325e-05,2.1978158106473787e-06,7.770434716970241e-06,
2022-01-02,1.0902176398768272e-06,5.256464430576904e-05,2.2655422170292e-06,9.809702105162072e-06,
2022-01-03,1.1253677365967986e-06,0.0001098194039925,2.6891436550233936e-06,9.161746045561363e-06,
2022-01-04,1.343710878025227e-06,7.411243195698336e-05,2.576885492367529e-06,1.0097613630970592e-05,
2022-01-05,1.14634685733757e-06,8.16749924931073e-05,1.8023452309253215e-06,8.499728008703722e-06,
2022-01-06,1.2064500365833592e-06,0.0001074749323354,2.2131645929856877e-06,5.710106213166571e-06,
2022-01-07,1.184125438018812e-06,9.431737797689224e-05,1.9307460988279054e-06,5.750289997579651e-06,
2022-01-08,1.14487724535472e-06,9.1727286670596e-05,1.8364875207210736e-06,7.700746921113036e-06,
2022-01-09,1.1362846617877878e-06,7.70823688160954e-05,2.823294363483069e-06,1.036458667508995e-05,
2022-01-10,1.2468379784433472e-06,6.731703962285432e-05,3.090435903754013e-06,1.3877919725065792e-05,
2022-01-11,1.0431742596767852e-06,8.040835700316698e-05,3.475996750527498e-06,6.494083686821191e-06,
2022-01-12,1.1031936700150511e-06,7.058538263491716e-05,2.6931982813061083e-06,6.430041152263374e-06,
2022-01-13,1.280767922916323e-06,7.532566580826794e-05,2.6245704726385877e-06,1.1737871529834523e-05,
2022-01-14,1.0991918836853048e-06,7.873120717019298e-05,3.118555081708436e-06,1.065328737289007e-05,
2022-01-15,1.0869154830781962e-06,7.856060575008984e-05,3.1387700202484187e-06,8.147614403963814e-06,
2022-01-16,1.063830998609766e-06,9.708835699369488e-05,3.925634738334363e-06,9.48847624559972e-06,
2022-01-17,1.097223904890883e-06,7.434188674252267e-05,4.084495442883051e-06,1.0308062164486891e-05,
2022-01-18,1.0641835082643526e-06,6.461194548407338e-05,2.481572562116136e-06,5.906310412788344e-06,
2022-01-19,1.237557010585427e-06,6.533473730685052e-05,3.5487351898314e-06,4.020852874069081e-06,
2022-01-20,1.0686031328417572e-06,6.134332277346274e-05,2.9622775248579057e-06,7.213588274198362e-06,
2022-01-21,1.1523411372265186e-06,6.749439373926414e-05,3.0123182890336523e-06,6.419295546506727e-06,
2022-01-22,1.2454773286778577e-06,0.0001093813171172,1.9036225250098552e-06,1.1544469295727142e-05,
2022-01-23,1.0544955039435406e-06,6.470913675703959e-05,2.888954624765502e-06,8.166514368337306e-06,
2022-01-24,1.191472907920034e-06,5.382228675014415e-05,2.952994627285043e-06,6.084603911970814e-06,
2022-01-25,1.2935713784802623e-06,7.349765566078607e-05,2.399861194521871e-06,1.03606950954613e-05,
2022-01-26,1.209708185046043e-06,5.680813715738778e-05,2.923940591001803e-06,8.435472850430631e-06,
2022-01-27,1.3756017448456205e-06,5.2548619039918005e-05,3.2108467663439897e-06,4.711634506395707e-06,
2022-01-28,1.071346201387934e-06,5.497980431287538e-05,3.2962300263764326e-06,6.456314864601582e-06,
2022-01-29,1.221542393516992e-06,4.798284802137172e-05,3.3399516950208463e-06,5.891855001448414e-06,
2022-01-30,1.351734479954732e-06,5.420995976824681e-05,2.88537818037596e-06,7.062452016870121e-06,
2022-01-31,1.345030125216156e-06,4.864411708479319e-05,3.31500513780999e-06,7.353500681957259e-06,
2022-02-01,1.3754832470279134e-06,5.382938100760803e-05,2.9651462344400514e-06,4.793569713843063e-06,
2022-02-02,1.3610700888355731e-06,5.660011328663896e-05,3.509140670647436e-06,6.843200502664183e-06,
2022-02-03,1.1631478932166743e-06,5.424636933248351e-05,2.345415635369136e-06,5.947206956854892e-06,
2022-02-04,9.630309269923837e-07,5.7516868231336005e-05,3.06066478752154e-06,6.748220689547397e-06,
2022-02-05,9.698492179478802e-07,6.132452515785779e-05,4.188212434324952e-06,1.1604271145399584e-05,
2022-02-06,1.0580658579297286e-06,6.134453501528419e-05,3.980626956881297e-06,9.398381026711834e-06,
2022-02-07,1.1045518382199533e-06,5.942344792661424e-05,2.9956664570392216e-06,1.0653098879933183e-05,
2022-02-08,1.173793369861113e-06,6.391069660288242e-05,2.762806486457008e-06,3.953158117202016e-06,
2022-02-09,1.1240947698002409e-06,6.774037996133256e-05,2.2390727956612045e-06,4.623597547273973e-06,
2022-02-10,1.451746454104086e-06,0.0001583676302024,3.310881063464808e-06,5.95955220552049e-06,
2022-02-11,1.0499894403794762e-06,7.587305019746929e-05,2.6880667735336123e-06,5.811102838360543e-06,
2022-02-12,1.0754434005879927e-06,6.0412680407209216e-05,2.7606367795221115e-06,8.419725170815175e-06,
2022-02-13,1.1464898933139007e-06,6.144020498404274e-05,3.352320097013229e-06,8.84496426031373e-06,
2022-02-14,1.255901416199039e-06,5.851685483189841e-05,3.061154192731056e-06,4.927493574548379e-06,
2022-02-15,1.1510066552109169e-06,6.399418733014974e-05,2.7618586471032383e-06,4.275651235128751e-06,
2022-02-16,1.275207007603666e-06,5.709961777753775e-05,2.6807791921986493e-06,7.070585656609937e-06,
2022-02-17,1.0953235549618955e-06,5.744981340017488e-05,3.129061514250688e-06,4.400637841021929e-06,
2022-02-18,1.1345684856032074e-06,6.529890939897694e-05,2.628972178259965e-06,5.049534126374691e-06,
2022-02-19,1.0428590833648106e-06,5.298853524082382e-05,2.5390407384605826e-06,2.853470033571075e-06,
2022-02-20,1.160241350983779e-06,5.599340611488217e-05,3.342710810036472e-06,5.856218132412996e-06,
2022-02-21,1.1803074302946256e-06,5.377964023913776e-05,2.776449491479696e-06,1.0451302616545087e-05,
2022-02-22,1.1513723500880518e-06,4.865835185117551e-05,3.2670564773252903e-06,4.401753306376996e-06,
2022-02-23,1.3185491614135512e-06,5.34047244184799e-05,1.7885431354049268e-06,5.564777628703568e-06,
2022-02-24,1.1919050529375809e-06,3.002908453332892e-05,1.8103313983606184e-06,3.923250240200996e-06,30096.0
2022-02-25,1.277649816234644e-06,3.275499032601539e-05,1.3650346140927326e-06,7.524764395666369e-06,46347.0
2022-02-26,1.1461883347181446e-06,3.7281307707769154e-05,2.2217742151476063e-06,7.705194395971562e-06,76575.0
2022-02-27,1.1673685735526192e-06,3.388979056519719e-05,2.058364467048844e-06,7.048567449151635e-06,98115.0
2022-02-28,1.344242354743988e-06,4.051096170252285e-05,2.6143506821450946e-06,8.35115492993033e-06,99245.0
2022-03-01,1.3166118358300642e-06,3.920104555378131e-05,2.409286258935514e-06,3.800078557987644e-06,97499.0
2022-03-02,1.248838290923612e-06,4.208135450136111e-05,2.5550622371533558e-06,9.829966160341491e-06,97379.0
2022-03-03,1.3549349599534588e-06,5.718534387290991e-05,3.1227086020900348e-06,1.6722140550318376e-05,98517.0
2022-03-04,1.244849888107887e-06,4.242318556593534e-05,3.7885222253040326e-06,2.1215483432010145e-05,105317.0
2022-03-05,1.240794456220295e-06,4.210124980086109e-05,6.099044218457824e-06,2.03771777147495e-05,127579.0
2022-03-06,1.367774183145286e-06,4.39340715559105e-05,6.213217070842876e-06,2.682362595976021e-05,140843.0
