,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,4.977447999091199e-07,3.122283805483478e-05,1.5984114986526391e-06,9.43552787060672e-06,
2022-01-02,4.98716579943655e-07,3.7560755542763125e-05,1.9551939681210898e-06,8.26080177276806e-06,
2022-01-03,6.010028414083262e-07,3.973312409329169e-05,2.0324922974014025e-06,5.598844805620833e-06,
2022-01-04,5.692980667022768e-07,3.748092905560906e-05,1.955949229146437e-06,6.058568178582356e-06,
2022-01-05,7.057732517190263e-07,3.8107717085687765e-05,2.027638384790987e-06,7.499760007679754e-06,
2022-01-06,5.883042581219208e-07,3.118601533742456e-05,1.790059597267835e-06,7.786508472499868e-06,
2022-01-07,5.122812178662946e-07,4.087847616916153e-05,2.9420892934520464e-06,1.5682609084308138e-06,
2022-01-08,4.716571750228953e-07,3.829080920319066e-05,2.5891463406887266e-06,5.647214408816226e-06,
2022-01-09,5.105603378978912e-07,3.783009244479959e-05,2.2402227014593915e-06,1.135169016795566e-05,
2022-01-10,5.957991605852703e-07,3.617870848283186e-05,1.911609837373616e-06,3.3643441757735257e-06,
2022-01-11,6.530106586165703e-07,4.336630490058444e-05,2.030228190573583e-06,4.464682534689569e-06,
2022-01-12,8.199983600878158e-07,4.420380274645144e-05,2.2288537500464345e-06,6.430041152263374e-06,
2022-01-13,6.16981225325139e-07,4.119372348889653e-05,2.062162514216033e-06,5.030516369929082e-06,
2022-01-14,1.0470563002694011e-06,4.245904855095152e-05,4.64725855313414e-06,3.612853978632285e-05,
2022-01-15,8.383572912114769e-07,4.224055758446859e-05,9.142048602665297e-06,1.4767551107184411e-05,
2022-01-16,6.816398620721833e-07,4.0792613068209126e-05,6.321426527170776e-06,1.2076242494399644e-05,
2022-01-17,6.518562682193068e-07,3.5352181616092584e-05,4.1752620082804525e-06,9.544502004154533e-06,
2022-01-18,7.231517276236527e-07,3.724959134669e-05,3.798950588918528e-06,7.013743615186157e-06,
2022-01-19,7.544011913842671e-07,4.633253363771266e-05,3.184762349848692e-06,7.676173668677337e-06,
2022-01-20,8.164127934911025e-07,4.015412158644603e-05,2.807992237104889e-06,7.972913355692926e-06,
2022-01-21,6.914046823359112e-07,4.1525588888585376e-05,8.624742890706878e-06,8.559060728675636e-06,
2022-01-22,7.286466004509915e-07,3.934496744405861e-05,4.088107389775263e-06,7.529001714604657e-06,
2022-01-23,7.20240325335022e-07,5.307495317962237e-05,4.406385336763544e-06,1.246467982535694e-05,
2022-01-24,8.410396997082594e-07,4.510925262460852e-05,5.327567626545181e-06,7.158357543495075e-06,
2022-01-25,8.285620594187301e-07,6.978905835680145e-05,4.425718047040334e-06,1.0003429747341946e-05,
2022-01-26,6.77602866537818e-07,3.671881556931352e-05,3.981536123917349e-06,7.0295607086921926e-06,
2022-01-27,1.0276554211493752e-06,4.384559827649343e-05,3.5166416964719888e-06,8.7501783690206e-06,
2022-01-28,7.417012163454928e-07,3.836065021415943e-05,3.107874024869208e-06,8.355231001249107e-06,
2022-01-29,6.546828514274074e-07,3.0118112242531654e-05,3.092547865760043e-06,9.32877041895999e-06,
2022-01-30,6.313045648140233e-07,3.685460541683069e-05,4.256647018574437e-06,1.2463150618006097e-05,
2022-01-31,6.802009490378846e-07,3.7574121074249445e-05,2.986491115144135e-06,5.754913577183942e-06,
2022-02-01,7.6686234126335e-07,3.476706499686555e-05,4.371298056958013e-06,3.83485577107445e-06,
2022-02-02,6.744040980716805e-07,3.640121789617811e-05,2.53268413620641e-06,6.843200502664183e-06,
2022-02-03,8.158190084366954e-07,3.634838189488203e-05,2.771854841799888e-06,1.0642370343845596e-05,
2022-02-04,8.769728441547664e-07,3.857013516689591e-05,2.998833175652418e-06,6.393051179571218e-06,
2022-02-05,6.533293894962708e-07,4.898913216633467e-05,3.4126175390795897e-06,8.703203359049687e-06,
2022-02-06,5.608122921889021e-07,4.09616863201099e-05,2.8765114505930537e-06,7.763879978588036e-06,
2022-02-07,6.361906347344607e-07,3.1755387516338825e-05,2.313484986624349e-06,6.39185932795991e-06,
2022-02-08,6.672934910854272e-07,3.254811192929257e-05,2.3423794124309416e-06,8.210405320342647e-06,
2022-02-09,7.632230171337428e-07,4.761051746864943e-05,2.300417255816306e-06,7.089516239153425e-06,
2022-02-10,6.03161134226626e-07,3.902305830420351e-05,2.943005389746496e-06,7.841516059895382e-06,
2022-02-11,7.779273991475472e-07,4.104415389353052e-05,2.5047894935199567e-06,6.900684620553144e-06,
2022-02-12,6.679511745839487e-07,3.430532165085784e-05,4.171628911277858e-06,9.82301269928437e-06,
2022-02-13,8.78080888190245e-07,3.770698500825727e-05,4.839001183514747e-06,1.0051095750356512e-05,
2022-02-14,1.1228775901841876e-06,3.73437582525634e-05,3.2126964794999203e-06,7.883989719277407e-06,
2022-02-15,9.413590144403568e-07,3.92559624638668e-05,4.947065488767339e-06,6.413476852693126e-06,
2022-02-16,7.700925435528633e-07,3.747162416650915e-05,3.358677378731641e-06,4.611251515180394e-06,
2022-02-17,1.1622135430511718e-06,3.704156346541049e-05,5.134091222411323e-06,1.4144907346141914e-05,
2022-02-18,1.4045029951891006e-06,4.090284845251901e-05,1.8127680252420454e-05,3.426469585754254e-05,
2022-02-19,1.5789472868615808e-06,4.984309707584341e-05,2.0401939110218565e-05,3.329048372499587e-05,
2022-02-20,1.1407086683072843e-06,4.667881303717021e-05,1.545270699025632e-05,4.724015960146484e-05,
2022-02-21,1.985600794107681e-06,3.858362710313416e-05,2.54105486068033e-05,3.996086294561357e-05,
2022-02-22,1.1593679914081078e-06,3.537748405179584e-05,1.1450255082435304e-05,2.1715316311459848e-05,
2022-02-23,1.081781819735576e-06,3.751472811499483e-05,1.3167377910653511e-05,1.5024899597499634e-05,
2022-02-24,1.1056487662118348e-06,2.238531756120883e-05,8.327524432458845e-06,6.277200384321593e-06,30096.0
2022-02-25,8.648706448357591e-07,2.51528292474846e-05,5.065795123410808e-06,5.1485230075612e-06,46347.0
2022-02-26,7.947438279056124e-07,3.05028881245384e-05,5.447912116594815e-06,6.08304820734597e-06,76575.0
2022-02-27,7.997232760376709e-07,2.519168451214416e-05,3.5735494219597982e-06,5.991282331778889e-06,98115.0
2022-02-28,8.858013204671365e-07,2.703915604201407e-05,4.095816068693981e-06,9.74301408491872e-06,99245.0
2022-03-01,8.437729102688027e-07,2.8162856411006045e-05,3.2025878319996463e-06,1.174569736105272e-05,97499.0
2022-03-02,8.229099996483404e-07,2.5805614337984805e-05,3.6459876867244503e-06,1.2287457700426866e-05,97379.0
2022-03-03,7.879467920960115e-07,3.0217255569208075e-05,5.18487466007402e-06,1.817623972860693e-05,98517.0
2022-03-04,8.470112640734077e-07,3.0142789744217217e-05,5.513377872596926e-06,1.7865670258534857e-05,105317.0
2022-03-05,7.436120086058909e-07,3.109878985290272e-05,5.453642713859113e-06,1.8454802458641057e-05,127579.0
2022-03-06,6.536266007950924e-07,3.2120687870876786e-05,6.213217070842876e-06,2.863603311920347e-05,140843.0
2022-03-07,8.504738535695252e-07,3.654839643067236e-05,5.075072780591278e-06,1.8198838231664385e-05,140558.0
2022-03-08,6.689161307799887e-07,3.710367969559434e-05,5.561027196703373e-06,1.893361988787433e-05,126322.0
2022-03-09,8.27847580714659e-07,3.620286274137128e-05,6.616916075160534e-06,2.380698250861317e-05,116399.0
2022-03-10,6.714895168735349e-07,3.459638246533088e-05,5.351615929656884e-06,2.495230706762756e-05,85825.0
2022-03-11,9.378209937711324e-07,3.821282465994112e-05,7.268941270870987e-06,2.962483563913304e-05,76065.0
2022-03-12,8.368044994397295e-07,4.368944776283279e-05,7.0762030274979344e-06,2.990740817857827e-05,78108.0
2022-03-13,8.08947304678438e-07,3.871581065864703e-05,6.648865957688964e-06,2.926549797482754e-05,80123.0
2022-03-14,9.57232607434373e-07,3.890286795975213e-05,6.739801063140992e-06,2.7694501949000576e-05,70935.0
2022-03-15,1.129539685037885e-06,3.695447196694317e-05,5.656520352027652e-06,2.042312242098246e-05,65787.0
2022-03-16,7.646139646869398e-07,4.040087431886079e-05,5.085895662616647e-06,1.889027319172122e-05,59218.0
2022-03-17,7.356270029485541e-07,3.9126113367179865e-05,4.626338959498761e-06,1.7401179616807706e-05,51462.0
2022-03-18,7.054510969757861e-07,4.7372855779461794e-05,5.097142320934012e-06,2.079765526613704e-05,41825.0
2022-03-19,7.51996219606334e-07,3.914806688625173e-05,5.374293604701803e-06,1.6299669775626377e-05,38992.0
2022-03-20,5.998579860536585e-07,3.919034880909525e-05,4.575254245140964e-06,1.7073063543096997e-05,32915.0
2022-03-21,7.900785816272279e-07,3.595412994341487e-05,4.640188970049287e-06,1.7669768821490148e-05,29501.0
2022-03-22,8.78966083014594e-07,4.129817650815304e-05,4.209488828135227e-06,1.5705860641898524e-05,30328.0
