,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,6.731794425000393e-07,4.529510309363355e-05,1.1322081448789526e-06,8.880496819394562e-06,
2022-01-02,6.804195199231262e-07,5.164603887129929e-05,1.893124318339468e-06,1.0326002215960075e-05,
2022-01-03,5.566335041231478e-07,5.65959884299672e-05,1.9386849605982605e-06,4.580873022780682e-06,
2022-01-04,5.525540059169157e-07,4.608136886723608e-05,1.924902415985383e-06,6.058568178582356e-06,
2022-01-05,6.458894606640785e-07,4.1820216744465376e-05,2.188562066123605e-06,7.999744008191738e-06,
2022-01-06,6.181457784614385e-07,4.632189900281954e-05,1.8226061353999777e-06,7.267407907666545e-06,
2022-01-07,6.340529827689383e-07,5.161193080575701e-05,1.6855719910402349e-06,8.364058178297674e-06,
2022-01-08,6.570950387071104e-07,5.023668839750084e-05,1.204254111948245e-06,5.133831280742024e-06,
2022-01-09,5.988527271584288e-07,4.788019219203958e-05,1.8105909504945769e-06,1.2832345407254224e-05,
2022-01-10,5.523965727280652e-07,5.230791597982191e-05,1.56114803385512e-06,5.88760230760367e-06,
2022-01-11,5.092661740154385e-07,8.052129008884559e-05,2.430121622050198e-06,5.276442995542217e-06,
2022-01-12,4.691743194316884e-07,6.777134744681414e-05,1.6097277083668694e-06,6.028163580246913e-06,
2022-01-13,7.82927899722935e-07,6.791079558026656e-05,1.8434483081628168e-06,2.9344678824586317e-06,
2022-01-14,7.168642719686771e-07,5.798692916387094e-05,1.7427219574253026e-06,6.947796112754394e-06,
2022-01-15,6.572047106984442e-07,5.146288956382696e-05,2.1026711786130186e-06,5.601484902725122e-06,
2022-01-16,7.368014694075046e-07,5.096654269329691e-05,2.1937370596574383e-06,9.057181870799731e-06,
2022-01-17,7.085394219775074e-07,5.001594826714064e-05,2.420441743930697e-06,4.199580881827993e-06,
2022-01-18,6.368665783049215e-07,5.506961189834724e-05,2.144568880841105e-06,1.03360432223796e-05,
2022-01-19,5.721582069487419e-07,5.055524556418775e-05,2.244499179893364e-06,6.214045350834035e-06,
2022-01-20,5.043806787013094e-07,5.150966034412902e-05,2.1599940285422222e-06,3.0373003259782573e-06,
2022-01-21,6.828688220601593e-07,5.536745185144717e-05,1.7122651327138654e-06,9.84291983797698e-06,
2022-01-22,6.947560608951315e-07,4.9383126293422536e-05,1.9036225250098552e-06,9.536735505165898e-06,
2022-01-23,6.446349873164286e-07,4.711363597466479e-05,2.159420628612598e-06,4.298165457019635e-06,
2022-01-24,6.266570311551736e-07,5.2388496324423096e-05,1.522162179012909e-06,5.368768157621306e-06,
2022-01-25,6.636951190241869e-07,7.248622003242663e-05,2.5245293085230074e-06,8.21710300674517e-06,
