,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,6.274848379182185e-06,0.0001228025003776,1.6616819538076394e-05,5.994335353091329e-05,
2022-01-02,6.2010960792994e-06,0.0001638179691471,1.598293481876764e-05,5.834191252017443e-05,
2022-01-03,6.506158276453893e-06,0.0001872831870392,1.5009173888502664e-05,5.191656092484773e-05,
2022-01-04,6.9069250739614464e-06,0.0001744508964259,1.570968745949361e-05,4.140021588697943e-05,
2022-01-05,6.869526316731855e-06,0.0001723036606338,1.60923681332618e-05,4.649851204761448e-05,
2022-01-06,6.565134474693898e-06,0.0001434353539297,1.5394512536503384e-05,3.997074349216599e-05,
2022-01-07,6.894801309315211e-06,0.0001708217886845,1.59976105331455e-05,5.541188543122209e-05,
2022-01-08,6.329074912700389e-06,0.0001547631313477,1.4089773109794469e-05,5.133831280742024e-05,
2022-01-09,6.775481175862992e-06,0.0001463901321673,1.6571510394357144e-05,4.343255368609122e-05,
2022-01-10,7.062784751308834e-06,0.0001727169302802,1.529287869898893e-05,5.256787774646134e-05,
2022-01-11,7.027051804358188e-06,0.0001904051824541,1.4180836300824573e-05,3.65292207383692e-05,
2022-01-12,7.058748769828104e-06,0.0001978032234304,1.5168588021149343e-05,3.69727366255144e-05,
2022-01-13,7.497385648433758e-06,0.0001737198167703,1.5309994423725092e-05,3.353677579952722e-05,
2022-01-14,8.05929226970846e-06,0.0001721411139822,1.3605460895688764e-05,3.798128541639069e-05,
2022-01-15,6.862733805947216e-06,0.0001505175663791,1.5571956119873223e-05,4.9904138224278366e-05,
2022-01-16,6.749416668957515e-06,0.0001621046120263,1.4634535384820017e-05,3.450354998399898e-05,
2022-01-17,7.619835383780965e-06,0.0001728960393507,1.540006059575906e-05,4.428648929927702e-05,
2022-01-18,8.340897767477358e-06,0.0001713021330449,1.5134528959078654e-05,4.503561689751112e-05,
2022-01-19,7.74744594298e-06,0.0001636300871509,1.6105798169234813e-05,3.655320794608256e-05,
2022-01-20,7.946132895811306e-06,0.0001720890925133,1.5459385832852195e-05,2.961367817828801e-05,
