,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,1.191323619454615e-06,6.299537396274764e-05,5.860842161726343e-06,1.998111784363776e-05,
2022-01-02,1.2680545598567353e-06,7.522357835602289e-05,6.144895328380569e-06,2.5298705429102184e-05,
2022-01-03,1.3068786618543468e-06,7.52505321024145e-05,5.503363759117644e-06,1.934146387396288e-05,
2022-01-04,1.3855710299886295e-06,7.453714503410074e-05,4.346553842547639e-06,1.565130112800442e-05,
2022-01-05,1.3687723669702329e-06,7.94911691644146e-05,4.312754659714163e-06,1.7499440017919426e-05,
2022-01-06,1.3172899692729964e-06,7.517150276773347e-05,3.6452122707999554e-06,2.232132428783296e-05,
2022-01-07,1.3856787040645672e-06,7.776045327150559e-05,4.167959832390399e-06,1.6205362720451742e-05,
2022-01-08,1.3383776248512924e-06,7.775487439867964e-05,5.3288244453709845e-06,1.745502635452288e-05,
2022-01-09,1.3550962351725984e-06,7.480687453370144e-05,4.234941545224603e-06,1.8261414618015627e-05,
2022-01-10,1.373100052209762e-06,8.221415488049097e-05,5.065766069040084e-06,1.682172087886763e-05,
2022-01-11,1.494942639851771e-06,8.390928265920374e-05,5.50622494110108e-06,1.745284990833195e-05,
2022-01-12,1.4032961626245094e-06,7.996549992859385e-05,4.364838593840934e-06,1.3663837448559673e-05,
2022-01-13,1.4254393826477348e-06,9.015540626427069e-05,4.030590368694973e-06,8.803403647375893e-06,
2022-01-14,1.6553047734549451e-06,8.188530791969223e-05,4.372091928277514e-06,1.2969219410474868e-05,
2022-01-15,1.360750779202548e-06,8.89214972330727e-05,4.7233917780437365e-06,1.7822906508670845e-05,
2022-01-16,1.3869204130023616e-06,8.013180761854857e-05,4.733853655050261e-06,2.242730748959933e-05,
2022-01-17,1.680250629260946e-06,7.218210715825979e-05,4.023984399284783e-06,1.259874264548398e-05,
2022-01-18,1.5449150544687129e-06,7.449918269337999e-05,4.35041115827767e-06,1.8826364440762845e-05,
2022-01-19,1.326559398333009e-06,7.97623363889737e-05,4.42833621978961e-06,1.0600430304363942e-05,
