,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,4.202271671363882e-07,4.672431751163655e-05,8.991064679921094e-07,2.2201242048486405e-06,
2022-01-02,4.329942399510803e-07,4.623647353497744e-05,1.1793233458508162e-06,7.228201551172053e-06,
2022-01-03,4.557941012022877e-07,5.343420136684055e-05,1.063149817102272e-06,4.580873022780682e-06,
2022-01-04,4.730197171864506e-07,4.8842003868499065e-05,1.0245448343148007e-06,7.068329541679415e-06,
2022-01-05,5.517863604348751e-07,5.066470122567084e-05,7.724336703965665e-07,4.999840005119836e-06,
2022-01-06,3.7941361574529684e-07,4.520448477248837e-05,9.438496058321312e-07,2.595502824166623e-06,
2022-01-07,3.989075057155573e-07,6.348724231858607e-05,1.0419899580975995e-06,5.227536361436046e-06,
2022-01-08,4.2731333805493074e-07,4.3090492808047424e-05,1.2945731703443633e-06,5.647214408816226e-06,
2022-01-09,3.646859556413509e-07,4.162258291545619e-05,1.4116471817415345e-06,3.454862225029983e-06,
2022-01-10,4.261344989616503e-07,5.76843184788186e-05,1.6248683617675738e-06,5.467059285631979e-06,
2022-01-11,4.846242623695302e-07,6.0645067009411054e-05,1.0458751284773003e-06,8.117604608526488e-06,
2022-01-12,5.114422761372459e-07,6.097076240889854e-05,1.3930335937790215e-06,6.028163580246913e-06,
2022-01-13,5.191152378597722e-07,5.637655300337553e-05,1.3747750094773552e-06,2.515258184964541e-06,
2022-01-14,5.039773063537366e-07,5.386233587606422e-05,1.3452590548546196e-06,2.7791184451017576e-06,
2022-01-15,4.254979216701466e-07,5.499242402506288e-05,1.1275193276620534e-06,4.073807201981907e-06,
2022-01-16,4.964544660178907e-07,5.552058738262192e-05,1.2411933363851294e-06,6.900709996799796e-06,
2022-01-17,4.899044003387337e-07,6.070117357875705e-05,1.2102208719653485e-06,3.436020721495631e-06,
2022-01-18,5.546902456204155e-07,5.0240961168220766e-05,1.439924819993313e-06,4.429732809591258e-06,
2022-01-19,5.340143264854925e-07,4.86784847079766e-05,1.304236009938036e-06,4.386384953529906e-06,
2022-01-20,5.599480416090807e-07,4.6944031359081215e-05,1.4811387624289528e-06,3.796625407472822e-06,
2022-01-21,5.121516165451195e-07,5.512246312644076e-05,8.87841179925708e-07,1.2838591093013452e-06,
2022-01-22,5.295396805603137e-07,4.776779038662834e-05,1.0298285791036922e-06,4.015467581122484e-06,
2022-01-23,6.963649554344136e-07,5.4421057064612793e-05,1.079710314306299e-06,9.455964005443197e-06,
2022-01-24,5.936750821470067e-07,5.6358992887958325e-05,9.437405509880036e-07,6.084603911970814e-06,
2022-01-25,6.171941871180337e-07,6.742904189062941e-05,1.1220130260102254e-06,3.215388133074197e-06,
2022-01-26,7.02545303342891e-07,5.000008928587373e-05,1.8663450580862568e-06,9.84138499216907e-06,
2022-01-27,7.970398345134917e-07,5.342993759823948e-05,1.3760771855759955e-06,6.730906437708153e-06,
2022-01-28,6.551694077718519e-07,5.441065519990566e-05,9.417800075361236e-07,6.076531637272078e-06,
2022-01-29,6.067792281522313e-07,5.233451442903789e-05,1.1133172316736154e-06,4.909879167873679e-06,
