,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,2.4887239995456e-07,2.78147113657507e-05,9.65706947102636e-07,1.6650931536364802e-06,
2022-01-02,2.860854799676781e-07,3.398840107538076e-05,6.20696497816219e-07,4.13040088638403e-06,
2022-01-03,2.984846326457459e-07,3.351494286914259e-05,5.003057962834222e-07,1.526957674260227e-06,
2022-01-04,2.972070789401593e-07,3.3127620015155885e-05,6.209362632210914e-07,2.524403407742648e-06,
2022-01-05,3.2936085080221224e-07,3.0245953102394014e-05,8.046184066630901e-07,1.9999360020479345e-06,
2022-01-06,2.856259803925268e-07,3.118601533742456e-05,6.834773007749917e-07,1.5573016944999738e-06,
2022-01-07,3.443201628281652e-07,3.368477784889009e-05,1.0726367215710586e-06,3.136521816861628e-06,
2022-01-08,2.297817006521797e-07,3.402442377665131e-05,7.827651727663592e-07,2.566915640371012e-06,
2022-01-09,3.032651631122812e-07,3.128804638291695e-05,9.206394663531746e-07,5.922620957194257e-06,
2022-01-10,4.024603601304475e-07,3.225841499398011e-05,9.239447547305812e-07,2.5232581318301443e-06,
2022-01-11,4.065915421574872e-07,3.625152050283231e-05,8.613089293342473e-07,2.029401152131622e-06,
2022-01-12,3.719580190089061e-07,4.080351022749364e-05,9.286890625193476e-07,1.6075102880658436e-06,
2022-01-13,3.616786493285298e-07,4.001675996064234e-05,1.0310812571080164e-06,1.2576290924822706e-06,
2022-01-14,3.692937158626519e-07,3.7970520561279504e-05,8.254998745698802e-07,2.3159320375847977e-06,
2022-01-15,2.780481468339572e-07,3.700318386779593e-05,4.875759254754825e-07,3.0553554014864306e-06,
2022-01-16,3.34909758821593e-07,3.565720097173624e-05,8.370838780271803e-07,4.744238122799859e-06,
2022-01-17,3.117573456701033e-07,4.285457385616368e-05,1.0286877411705462e-06,4.199580881827993e-06,
2022-01-18,3.8622876361717817e-07,4.575721406167475e-05,1.2254679319092028e-06,1.1074332023978145e-06,
2022-01-19,3.983916403939388e-07,3.894278776638128e-05,1.3345670799365946e-06,4.020852874069081e-06,
2022-01-20,4.060691904798677e-07,4.073945863581113e-05,8.022834963156827e-07,3.0373003259782573e-06,
2022-01-21,4.1825715351184754e-07,4.054563398855976e-05,1.0146756342008092e-06,2.9956712550364724e-06,
2022-01-22,5.041217758934186e-07,3.761425040106483e-05,9.362077991851748e-07,2.509667238201553e-06,
2022-01-23,4.735281696954013e-07,4.528678070217778e-05,8.462594355373693e-07,4.298165457019635e-06,
2022-01-24,3.9166064447198365e-07,4.687391776395751e-05,9.437405509880036e-07,2.5054251402232765e-06,
2022-01-25,4.015989573713233e-07,6.697951494469189e-05,1.3713492540124978e-06,5.358980221790328e-06,
2022-01-26,4.57278008093006e-07,3.9174177096744816e-05,9.64278280011233e-07,5.623648566953754e-06,
2022-01-27,1.015517758694855e-06,3.62442257109707e-05,1.4066566785887957e-06,5.048179828281115e-06,
2022-01-28,1.046622827509751e-06,3.369362748780769e-05,1.19292134287909e-06,4.557398727954058e-06,
2022-01-29,9.70048371322317e-07,3.3782673427934744e-05,8.040624450976112e-07,1.9639516671494715e-06,
2022-01-30,8.28123046785454e-07,3.726296669568754e-05,1.0570197294446587e-06,1.661753415734146e-06,
2022-01-31,7.532168701210473e-07,4.960209750878255e-05,1.10500171260333e-06,5.435196156229278e-06,
