,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,2.549922130681967e-06,7.157066047076564e-05,8.791263242589515e-06,2.941664571424448e-05,
2022-01-02,2.7874004196850795e-06,8.379722907774055e-05,1.0055283264622747e-05,2.581500553990019e-05,
2022-01-03,2.8033354011999107e-06,7.546131790662294e-05,8.286314750944178e-06,3.7155970073665526e-05,
2022-01-04,2.4362608442700376e-06,8.504879369275597e-05,9.282997135155316e-06,2.5244034077426483e-05,
2022-01-05,3.032686275568422e-06,7.872683099937216e-05,9.30138878102532e-06,2.9999040030719017e-05,
2022-01-06,2.843470580922617e-06,7.293667430707113e-05,8.917751448207034e-06,1.972582146366633e-05,
2022-01-07,2.628590511346725e-06,7.79888246467523e-05,8.611740536041926e-06,3.45017399854779e-05,
2022-01-08,2.725130344576728e-06,7.178193480152455e-05,1.041679806835232e-05,4.36375658863072e-05,
2022-01-09,2.756258064741999e-06,6.835964073358522e-05,8.991578788049339e-06,3.158731177170271e-05,
2022-01-10,2.643612169484312e-06,7.560566014214088e-05,1.0322693121817528e-05,2.817638247210328e-05,
2022-01-11,2.7147172663242325e-06,8.616794437277585e-05,8.551567226961454e-06,2.3541053364726816e-05,
2022-01-12,3.5209207935729407e-06,7.797222500368756e-05,9.22497802102552e-06,1.9692001028806584e-05,
2022-01-13,2.7402476490302725e-06,8.615373026820645e-05,8.99852733476087e-06,2.473337215215132e-05,
2022-01-14,2.845733928118082e-06,8.673777061122954e-05,8.071554329127718e-06,1.852745630067838e-05,
2022-01-15,2.7889071697587824e-06,9.290645549575842e-05,9.355363070060822e-06,1.8332132408918584e-05,
2022-01-16,2.5413740522344408e-06,8.206969897570814e-05,9.063597851742572e-06,2.1996013114799347e-05,
2022-01-17,2.902987231759273e-06,9.628070041424572e-05,8.168990885766102e-06,1.9470784088475244e-05,
2022-01-18,2.8350834776154565e-06,9.197429962145678e-05,9.926290248464545e-06,1.6611498035967214e-05,
2022-01-19,2.894696706266598e-06,8.375045320842239e-05,7.64342963963686e-06,1.5717879416815498e-05,
2022-01-20,2.799740208045404e-06,9.341979307867036e-05,8.269691423561653e-06,2.088143974110052e-05,
2022-01-21,2.816833890998157e-06,8.856342408981483e-05,8.180822300744023e-06,2.225355789455665e-05,
