,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,9.791700981818754e-07,6.398483009828818e-05,2.430917487534222e-06,7.21540366575808e-06,
2022-01-02,1.0592894798803216e-06,6.613959128182202e-05,3.2586566135351498e-06,7.228201551172053e-06,
2022-01-03,1.2221735634008243e-06,6.892695797616118e-05,3.877369921196521e-06,1.3233633176921967e-05,
2022-01-04,1.0883639510484704e-06,6.625524003031177e-05,3.166774942427566e-06,6.058568178582356e-06,
2022-01-05,1.013747034287329e-06,6.180220020200366e-05,3.3793973079849785e-06,7.999744008191738e-06,
2022-01-06,1.2789223002650452e-06,5.841028931276587e-05,3.3197468894785307e-06,9.862910731833169e-06,
2022-01-07,1.0539556203642618e-06,6.303049956809263e-05,3.003382820398964e-06,8.364058178297674e-06,
2022-01-08,1.1085959241991128e-06,7.028869990223578e-05,2.5289336350913146e-06,6.67398066496463e-06,
2022-01-09,1.3051918412427291e-06,6.779076716298673e-05,2.455038576941799e-06,7.403276196492821e-06,
2022-01-10,1.10084745565093e-06,6.48528551441475e-05,2.8036944281479708e-06,4.625973241688598e-06,
2022-01-11,1.0637091860483757e-06,7.385823803380787e-05,2.953059186288848e-06,9.335245299805462e-06,
2022-01-12,1.1285544440383856e-06,7.468918395090071e-05,2.847979791726e-06,4.42065329218107e-06,
2022-01-13,1.187156978384233e-06,6.661613569918695e-05,3.749386389483696e-06,8.803403647375893e-06,
2022-01-14,9.992653488048223e-07,5.85934870003131e-05,2.5376477625666687e-06,7.410982520271353e-06,
2022-01-15,1.1290439901742504e-06,7.08184011254433e-05,3.473978469012813e-06,8.147614403963814e-06,
2022-01-16,1.0480705393711029e-06,5.406716886475224e-05,3.1174158216184646e-06,7.332004371599783e-06,
2022-01-17,1.2713221628624989e-06,0.0001164007523308,3.2373408325073077e-06,6.490261362825081e-06,
2022-01-18,1.1997744571937875e-06,6.472691335860021e-05,3.1862166229639278e-06,5.537166011989072e-06,
2022-01-19,1.0595522350902628e-06,5.993904984524348e-05,3.366748769840046e-06,5.848513271373209e-06,
2022-01-20,1.2695005218160074e-06,5.513875005019265e-05,3.1165628126109214e-06,1.06305511409239e-05,
2022-01-21,1.0157673728144869e-06,6.051221507658164e-05,3.1391527433087534e-06,3.851577327904036e-06,
2022-01-22,1.3852758043457804e-06,6.195967013917734e-05,2.527761057799972e-06,4.015467581122484e-06,
2022-01-23,1.0942877871112217e-06,5.192114984963058e-05,2.801410545227153e-06,4.727982002721598e-06,
2022-01-24,1.0554223682613452e-06,5.933686531060974e-05,2.465902730000912e-06,6.8004396663203214e-06,
2022-01-25,1.32316288060236e-06,8.810728140375578e-05,3.7400434200340848e-06,8.21710300674517e-06,
2022-01-26,1.218022330647734e-06,6.58483318720212e-05,3.3283153535871587e-06,4.217736425215316e-06,
2022-01-27,1.2987298826336591e-06,6.775136417096347e-05,2.813313357177591e-06,7.740542403364377e-06,
