,Wikipedia views in English,Wikipedia views in Polish,Wikipedia views in Russian,Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR)
2022-01-01,9.448991447455098e-06,0.0003082705560061,1.8714734630057986e-05,5.439304301879169e-05,
2022-01-02,9.653451938909352e-06,0.0004311321505778,1.8434685985141704e-05,5.834191252017443e-05,
2022-01-03,1.1681236434352432e-05,0.0004223093587316,2.0887766994832872e-05,4.580873022780682e-05,
2022-01-04,1.2177118206153848e-05,0.0003745969340175,2.0863458444228668e-05,4.6953903384013255e-05,
2022-01-05,1.1347978404912586e-05,0.0003845712881827,1.721883390259013e-05,5.699817605836613e-05,
2022-01-06,1.211992033217841e-05,0.0003348179366519,1.894208519290691e-05,4.7238151399832535e-05,
2022-01-07,1.1219798476547042e-05,0.0003454117050606,1.9491341569119807e-05,4.338855179991919e-05,
2022-01-08,1.1904304596945382e-05,0.0003193389491764,1.764232274004179e-05,5.236507906356864e-05,
2022-01-09,1.046072872760717e-05,0.0003360146557001,1.841278932706349e-05,3.849703622176267e-05,
2022-01-10,1.0775678858002472e-05,0.0004008780113314,2.000818296451052e-05,4.920353357068781e-05,
2022-01-11,1.1622768326320087e-05,0.0004620092535111,2.002543260702125e-05,4.9111507881585256e-05,
2022-01-12,1.1530698589276087e-05,0.0004078005993425,2.1390804740028972e-05,3.978587962962963e-05,
2022-01-13,1.1854549612109222e-05,0.0003868679117371,2.0590380255581296e-05,4.569385702685583e-05,
2022-01-14,1.1591478046135942e-05,0.0003365182876581,1.9903719197962668e-05,4.400270871411116e-05,
2022-01-15,1.0873367681491569e-05,0.0003036538196166,2.0021086439837e-05,4.583033102229645e-05,
2022-01-16,1.0717112282290976e-05,0.0003132601378848,2.127347648641489e-05,4.614849810359864e-05,
2022-01-17,1.1279947597881918e-05,0.0003697769993477,2.2026019869769345e-05,4.123224865794757e-05,
2022-01-18,1.219496777038069e-05,0.0003635284192538,2.1231231920326938e-05,4.2451606091916216e-05,
2022-01-19,1.1909367122414551e-05,0.0003846186779697,2.1535059698976868e-05,4.203618913799494e-05,
2022-01-20,1.2036745688329552e-05,0.0003618553639175,2.005708740789207e-05,3.948490423771735e-05,
2022-01-21,1.1792290970951375e-05,0.0003431067093714,1.842270448345844e-05,5.221027044492138e-05,
2022-01-22,1.1149987513877965e-05,0.00031452897728,1.972277763616768e-05,5.370687889751322e-05,
2022-01-23,1.0501183527950958e-05,0.0003557560267474,2.1856838524741025e-05,5.630596748695722e-05,
2022-01-24,1.2817609933298916e-05,0.0003316467546264,2.1614702941983305e-05,5.332976369903831e-05,
2022-01-25,1.2419976176388923e-05,0.0003214117663453,2.0071566354182923e-05,4.1442780381845205e-05,
2022-01-26,1.4113262158870504e-05,0.0003524559865285,2.578666755255845e-05,3.65537156851994e-05,
2022-01-27,1.3290740387699596e-05,0.0003561628623816,2.479996883338072e-05,3.7693076051165656e-05,
2022-01-28,1.3527806073679182e-05,0.0003241873347475,2.115865750264491e-05,3.873788918760949e-05,
2022-01-29,1.1852154791999832e-05,0.0003086247623331,2.1802462453608304e-05,6.186447751520835e-05,
2022-01-30,1.0813875839637857e-05,0.0003069855913806,2.271164013266226e-05,6.605469827543231e-05,
2022-01-31,1.2593324915238125e-05,0.0003186881543804,2.12339518286748e-05,3.357032920023966e-05,
2022-02-01,1.1928969752985443e-05,0.0003168026950648,2.1887058802670892e-05,4.026598559628172e-05,
2022-02-02,1.3013955444001398e-05,0.0003317155494337,2.05666157566641e-05,4.29255304258026e-05,
