,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.8040831461137602e-06,0.00013030333512871806,1.4091890018246071e-05,1.4946420817972773e-05,6.889628156926045e-05,6.5133746211175075e-06,2.3236689017607523e-07,9.755790270578236e-07,9.63584667110405e-07,2.0241638901885306e-06,3.07689751500526e-07,1.0170587190714985e-06,1.4520461337264449e-06,1.573144782492283e-07,7.379499234561442e-07,1.5784970813588965e-07,4.264122436869667e-06
2020-08-25,1.6812263986169112e-06,0.00011497510926622537,1.3510043468102186e-05,1.1467898127793957e-05,3.387189648748433e-05,4.952141443912859e-06,1.3577550009850514e-07,7.412531306963244e-07,1.537884025369494e-06,2.4097883675659836e-06,3.159075316541321e-07,0.0,1.115487253412962e-06,4.682131643437571e-07,1.092250772039254e-06,1.5626899644988095e-07,3.2510696599729463e-06
2020-08-26,1.5147717195437226e-06,0.00010625473814507867,1.3323508775696187e-05,1.519545534321595e-05,3.9890102766877255e-05,4.989028913120945e-06,1.8551585001043528e-07,7.061952006105003e-07,1.3826408487889138e-06,5.333500735777883e-06,7.898754398026448e-08,6.377689312140697e-07,1.9239411830191903e-06,4.863009823766145e-07,0.0,0.0,3.133618850776623e-06
2020-08-27,1.610760417913683e-06,0.00011598691587201992,1.9571578154204463e-05,1.5942800269357405e-05,3.927999764320014e-05,4.990351192662745e-06,1.3743532328045252e-07,1.2009291807422162e-06,1.105770081361601e-06,4.404251109006159e-06,1.0976508625066065e-06,2.0971962373782865e-07,1.4058980586832393e-06,1.6533858448677662e-07,7.191161199945923e-07,1.5759117476814005e-07,2.392502471455053e-06
2020-08-28,1.5090571298721059e-06,0.00011107531846341393,1.5520272695515793e-05,1.8362522092409393e-05,5.4993098366155045e-05,4.359904730676794e-06,1.047777117270725e-07,7.019861941217586e-07,1.0189843084665417e-06,2.1369085563711287e-06,3.1721686610355385e-07,0.0,4.5311858412404794e-07,0.0,7.236994939169439e-07,0.0,1.3897452550622628e-06
2020-08-29,1.5152648132426252e-06,0.00011518541710733815,1.3500166874421875e-05,1.5562452988423266e-05,3.933832930115458e-05,4.268845154428393e-06,1.9749237512797814e-07,7.761621359236865e-07,1.2470055701429548e-06,2.337263603601005e-06,4.705618100191393e-07,1.7362826293083465e-07,1.3303616854314183e-06,1.5426340074592525e-07,0.0,0.0,1.7791489085366233e-06
2020-08-30,1.5795184220208326e-06,0.00010977518436643614,1.449812586000778e-05,1.1131226828164865e-05,4.382782482505393e-05,4.799933104090213e-06,1.1954235361680173e-07,1.1643290157255808e-06,1.575004469075181e-06,2.1401813282349456e-06,4.6085483656397695e-07,1.6662795343881772e-07,1.1874855103931472e-06,0.0,3.111070183254478e-07,4.916569502961865e-07,2.6362708691257803e-06
2020-08-31,1.3865993969116426e-06,0.00014068330272128547,1.2306974626241576e-05,1.6981800361954946e-05,4.370677127153924e-05,5.389707582438477e-06,1.7821067923931127e-07,1.0139606208935793e-06,1.5613925396469281e-06,1.9462765839915086e-06,5.643205282556094e-07,0.0,6.855060289826808e-07,1.5563647614738713e-07,3.634858144208635e-07,1.612315510797677e-07,5.678132235182559e-06
2020-09-01,1.2565717140689483e-06,9.710473013225306e-05,1.2033233287427351e-05,1.267566357098794e-05,5.992868486501064e-06,5.0590687837134986e-06,1.6231513759900582e-07,7.834148611728711e-07,1.091119776218608e-06,1.9717179245549247e-06,5.819472803982448e-07,0.0,1.382856417845278e-06,4.570860914035057e-07,0.0,0.0,2.449994389512848e-06
2020-09-02,1.2623616550382263e-06,9.236985705364594e-05,9.443746920001718e-06,4.393398040764144e-06,4.190100189951209e-05,4.7805332016971546e-06,1.9252793050819864e-07,8.408091893392447e-07,1.170196896312211e-06,1.439286574430786e-06,4.949861205891787e-07,0.0,6.222755996403247e-07,0.0,1.0872381794559098e-06,0.0,3.0644932023647516e-06
