,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.2608311425648977e-06,0.00011304274133316583,6.032949720271481e-06,1.7935704981567325e-05,9.842325938465779e-06,7.3614702749088495e-06,1.2909271676448623e-07,5.853474162346942e-07,1.3306645402953214e-06,1.8506641281723708e-06,4.61534627250789e-07,0.0,3.41657913817987e-07,3.146289564984566e-07,3.689749617280721e-07,1.5784970813588965e-07,3.1419849534829126e-06
2020-08-25,1.1042128939064157e-06,0.0001557166044790997,6.153547196087639e-06,1.576835992571669e-05,4.838842355354905e-06,7.958798749145668e-06,1.9008570013790718e-07,6.863454913854856e-07,7.92243285796406e-07,9.639153470263934e-07,3.9488441456766515e-07,2.0333179478941944e-07,2.574201354029912e-07,1.5607105478125237e-07,1.4563343627190055e-06,0.0,2.5544118756930293e-06
2020-08-26,1.2989802175975499e-06,0.00018730619608323842,7.391487200651242e-06,1.519545534321595e-05,9.972525691719314e-06,7.359702226447918e-06,1.5901358572323024e-07,7.061952006105003e-07,1.144254495549446e-06,1.4713105478007954e-06,3.9493771990132246e-07,0.0,3.4980748782167095e-07,0.0,0.0,0.0,4.028938522427086e-06
2020-08-27,1.1229060876839514e-06,0.00010723047791633525,6.778449019261058e-06,1.5942800269357405e-05,4.909999705400018e-06,7.5589143065332765e-06,2.7487064656090506e-08,5.731707453542396e-07,1.153847041420801e-06,1.6987825706166612e-06,3.920181651809309e-07,0.0,0.0,0.0,1.4382322399891846e-06,0.0,1.6747517300185372e-06
2020-08-28,1.3988450922971768e-06,0.00011985658497161725,7.351708118928534e-06,2.0657837353960566e-05,1.6497929509846515e-05,6.377711878758616e-06,1.5716656759060874e-07,5.896684030622771e-07,1.5042149315458473e-06,1.0379270130945482e-06,0.0,1.9294005333248953e-07,1.8124743364961918e-07,6.238958019143307e-07,1.8092487347923597e-06,0.0,3.2427389284786135e-06
2020-08-29,1.0299065527508468e-06,0.0001223658067451982,6.227189649821358e-06,2.2479098761055828e-05,9.834582325288644e-06,6.421510659652966e-06,2.2217892201897542e-07,5.588367378650543e-07,7.389662637884177e-07,6.840771522734649e-07,2.3528090500956965e-07,0.0,5.701550080420364e-07,0.0,0.0,0.0,3.1135105899390907e-06
2020-08-30,1.110039394820686e-06,0.00012016110001308099,5.331568864648022e-06,2.067227839516332e-05,0.0,6.442015481805285e-06,7.172541217008104e-08,6.128047451187267e-07,9.625027311014995e-07,1.1524053305880478e-06,1.53618278854659e-07,1.6662795343881772e-07,2.7403511778303395e-07,1.5224201486825966e-07,0.0,2.4582847514809323e-07,3.6502212034049264e-06
2020-08-31,9.583848772771647e-07,0.00017160749619871973,6.4465105185074924e-06,2.0216429002327316e-05,5.463346408942405e-06,5.799052462117349e-06,1.0183467385103502e-07,4.1106511657847814e-07,1.1222508878712296e-06,8.586514341139009e-07,7.255549649000693e-07,1.9317187641558767e-07,2.570647608685053e-07,1.5563647614738713e-07,1.453943257683454e-06,1.612315510797677e-07,2.602477274458673e-06
2020-09-01,1.4631314478885014e-06,0.00018363517216728225,6.979275306707863e-06,1.267566357098794e-05,0.0,7.624739381168202e-06,3.2463027519801164e-07,5.595820436949079e-07,1.091119776218608e-06,1.7252531839855592e-06,8.313532577117784e-07,1.9848850999637758e-07,4.321426305766494e-07,0.0,3.5644079607487396e-07,0.0,3.674991584269272e-06
2020-09-02,1.3611178389357746e-06,0.00011404404398434397,6.425197676165552e-06,1.3729368877387949e-05,2.3278334388617825e-05,8.429795187725518e-06,1.6502394043559885e-07,4.339660332073521e-07,1.7298562815050075e-06,1.7391379441038666e-06,4.1248843382431557e-07,0.0,5.333790854059926e-07,7.614196578149601e-07,1.0872381794559098e-06,3.180143185946947e-07,2.8287629560290014e-06
2020-09-03,1.1610006769281345e-06,0.00010037199088868132,6.166661372911698e-06,1.2881856883600572e-05,4.209764126915969e-06,1.0403364732878279e-05,2.802331023782879e-07,8.226168071307716e-07,1.5544276316660375e-06,5.123640861665524e-06,4.097672448291267e-07,4.105605198024629e-07,9.135420179997011e-07,3.14850457052666e-07,1.4316110455950224e-06,1.597099156859413e-07,2.4282121162486683e-06
2020-09-04,1.1916066399989826e-06,0.00015382956198809508,6.091542894411497e-06,1.4660522845237784e-05,0.0,7.816693824618358e-06,5.6500416732948717e-08,9.243480883456084e-07,1.1278662477771422e-06,1.0557225540013633e-06,3.377037546156716e-07,0.0,3.894874987171256e-07,6.370200710691442e-07,1.0583052088724074e-06,3.4615137649691e-07,5.008458603609869e-06
2020-09-05,1.130042887010967e-06,0.00019082814889424623,4.545605503410966e-06,1.7503632003640755e-05,5.1586810284346495e-06,8.518158527905411e-06,1.0374015415164466e-07,6.634749540527008e-07,1.5789074802320784e-06,1.162612100027528e-06,1.6313631523678503e-07,0.0,1.0698372649139595e-07,0.0,0.0,2.26341896224504e-07,2.25899770079214e-06
2020-09-06,1.1690591777222508e-06,9.19327965341454e-05,4.786255117142732e-06,2.0216005284573056e-05,0.0,8.353145176856886e-06,1.6853672610282848e-07,5.302031304876999e-07,1.0449266200281085e-06,9.642884835763804e-07,1.5826502285228232e-07,3.9527894637606285e-07,3.997763651013623e-07,4.645247841779142e-07,5.985214127020609e-07,2.43015905147976e-07,2.7032455998439605e-06
