,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.2243440676996754e-06,0.0001012998783411098,4.097003168244065e-06,8.220531449885024e-06,9.842325938465779e-06,6.784765230330737e-06,2.8400397688186974e-07,8.640842811083581e-07,1.2847795561472068e-06,1.0409985720969586e-06,6.15379503001052e-07,4.0682348762859944e-07,3.41657913817987e-07,1.1012013477445981e-06,1.8448748086403605e-06,3.156994162717793e-07,4.264122436869667e-06
2020-08-25,1.141573480542347e-06,0.00010120129415867,4.1640544935931395e-06,8.600923595845468e-06,1.4516527066064715e-05,6.084059488235799e-06,5.431020003940206e-07,5.490763931083884e-07,1.258268748029586e-06,9.639153470263934e-07,1.0266994778759294e-06,2.0333179478941944e-07,2.574201354029912e-07,6.242842191250095e-07,1.092250772039254e-06,1.5626899644988095e-07,4.6443852285327805e-06
2020-08-26,1.235512128789852e-06,8.921388391426417e-05,4.284237804199127e-06,1.0636818740251165e-05,0.0,5.272094383368941e-06,2.915249071592554e-07,6.518724928712311e-07,1.2872863074931266e-06,1.4713105478007954e-06,1.1058256157237028e-06,0.0,5.247112317325064e-07,1.1347022922121004e-06,7.249675939485505e-07,1.5843614650970714e-07,3.3574487686892385e-06
2020-08-27,1.1229060876839514e-06,9.574662485969961e-05,3.5324311790515373e-06,1.4424438338942415e-05,1.963999882160007e-05,6.1645514732892735e-06,5.497412931218101e-07,5.731707453542396e-07,1.4903857618352015e-06,1.3212753327018475e-06,8.62439963398048e-07,4.194392474756573e-07,4.393431433385123e-07,3.3067716897355324e-07,1.0786741799918885e-06,1.5759117476814005e-07,4.545754695764601e-06
2020-08-28,1.2123324133242198e-06,0.00010522114079127839,4.5647860869164105e-06,1.0711471220572146e-05,1.099861967323101e-05,6.1254859852483885e-06,1.3097213965884064e-07,5.615889552974068e-07,1.1160304330824027e-06,9.158179527304837e-07,4.758252991553308e-07,0.0,4.5311858412404794e-07,1.5597395047858266e-07,2.8947979756677755e-06,3.432348581084258e-07,5.558981020249051e-06
2020-08-29,8.839044743915314e-07,9.603771140637804e-05,3.3750417186054687e-06,1.4697872266844193e-05,9.834582325288644e-06,5.728279395258612e-06,3.7029820336495904e-07,4.656972815542119e-07,8.313370467619699e-07,1.596180021971418e-06,7.058427150287089e-07,0.0,2.850775040210182e-07,3.085268014918505e-07,0.0,2.2268426733424442e-07,2.001542522103701e-06
2020-08-30,1.2095052904139373e-06,8.926628764647921e-05,2.993161467872574e-06,1.033613919758166e-05,4.869758313894881e-06,5.968337872849014e-06,2.151762365102431e-07,6.740852196305995e-07,8.75002482819545e-07,1.4267875521566306e-06,1.1521370914099423e-06,1.6662795343881772e-07,7.307603140880906e-07,6.089680594730387e-07,1.555535091627239e-06,0.0,2.8390609359816095e-06
2020-08-31,1.1500618527325976e-06,9.219184440455756e-05,4.151162076311642e-06,1.2129857401396389e-05,5.463346408942405e-06,6.685966368088237e-06,1.5275201077655253e-07,6.851085276307969e-07,8.782833035513971e-07,1.3738422945822415e-06,7.255549649000693e-07,1.9317187641558767e-07,7.711942826055158e-07,3.1127295229477426e-07,1.8174290721043176e-06,1.612315510797677e-07,2.1292995881934597e-06
2020-09-01,1.1662018305228938e-06,8.801977838675086e-05,4.235698117174428e-06,7.042035317215523e-06,5.992868486501064e-06,8.853370371498624e-06,5.139979357301851e-07,6.994775546186349e-07,1.7146167912006698e-06,1.4171722582738522e-06,2.410924447364157e-06,3.9697701999275516e-07,6.91428208922639e-07,7.618101523391762e-07,1.0693223882246219e-06,3.2212727699692337e-07,3.919991023220557e-06
2020-09-02,1.1893679538965601e-06,7.985992365740412e-05,3.1479156400005725e-06,9.885145591719324e-06,9.31133375544713e-06,6.130760136527649e-06,4.125598510889971e-07,7.323176810374066e-07,9.666843926057394e-07,1.5592271223000184e-06,9.074745544134943e-07,2.008762220807161e-07,4.444825711716605e-07,3.0456786312598404e-07,2.1744763589118196e-06,3.180143185946947e-07,1.885841970686001e-06
