,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,6.243343921382451e-07,5.390398554184753e-05,2.116034603378803e-06,1.4199099777074133e-05,0.0,7.1240034918472735e-06,7.745563005869174e-08,2.5086317838629753e-07,4.1296485733303075e-07,9.83165318091572e-07,7.69224378751315e-08,2.0341174381429972e-07,7.687303060904708e-07,3.146289564984566e-07,7.379499234561442e-07,0.0,1.1221374833867545e-06
2020-08-25,6.226764439321893e-07,5.553022301256534e-05,2.868570873364163e-06,9.31766722883259e-06,4.838842355354905e-06,5.624217782729605e-06,1.086204000788041e-07,3.0199201620961363e-07,7.456407395730881e-07,6.626918010806455e-07,4.738612974811982e-07,0.0,0.0,0.0,3.6408359067975137e-07,0.0,1.3933155685598341e-06
2020-08-26,8.335475663410988e-07,5.0692961325280124e-05,2.9660107875224727e-06,9.877045973090368e-06,4.986262845859657e-06,4.670580259091948e-06,1.3251132143602518e-07,3.802589541748848e-07,4.2909543583104224e-07,1.7165289724342611e-06,3.9493771990132246e-07,0.0,3.4980748782167095e-07,1.621003274588715e-07,0.0,0.0,1.7906393433009272e-06
2020-08-27,1.5434701654682028e-06,6.761118487094231e-05,7.351275696945092e-06,1.0628533512904938e-05,0.0,7.632301824072434e-06,1.6492238793654302e-07,5.731707453542396e-07,9.134622411248008e-07,1.38419320568765e-06,3.920181651809309e-07,2.0971962373782865e-07,3.5147451467080983e-07,1.6533858448677662e-07,0.0,0.0,3.3495034600370743e-06
2020-08-28,1.407322941341402e-06,6.131480825026178e-05,3.84403038898224e-06,1.4536996656490769e-05,1.099861967323101e-05,5.621034198227933e-06,5.238885586353625e-08,1.403972388243517e-07,7.278459346189583e-07,1.5874177847328385e-06,1.5860843305177692e-07,0.0,3.6249486729923836e-07,1.5597395047858266e-07,0.0,1.716174290542129e-07,9.264968367081752e-07
2020-08-29,7.457944002678546e-07,5.0412318915809035e-05,3.755328109434254e-06,9.510387937369772e-06,0.0,4.889104706781236e-06,2.4686546890997268e-08,4.346507961172644e-07,3.6948313189420884e-07,8.55096440341831e-07,7.842696833652322e-08,0.0,1.9005166934734545e-07,0.0,3.420029952622325e-07,0.0,1.1119680678353896e-06
2020-08-30,8.116417080409316e-07,6.652244705319364e-05,3.460842947227664e-06,1.3516489719914481e-05,1.4609274941684644e-05,5.21045369851898e-06,3.108101194036845e-07,3.676828470712361e-07,6.125017379736815e-07,1.371911107842914e-06,1.53618278854659e-07,0.0,3.653801570440453e-07,0.0,0.0,0.0,2.4334808022699508e-06
2020-08-31,1.052184248244717e-06,5.7928418767588137e-05,1.2404649028037143e-05,1.0512543081210204e-05,2.185338563576962e-05,1.8045286779176928e-05,2.5458668462758756e-07,1.096173644209275e-06,2.8300239781100575e-06,5.094665175742479e-06,2.418516549666898e-07,0.0,1.8851415797023721e-06,0.0,3.634858144208635e-07,0.0,3.785421490121706e-06
2020-09-01,1.0327986690977656e-06,5.078636959370904e-05,4.8132933149709406e-06,1.1971460039266389e-05,5.9928684865010636e-05,1.2033356464118536e-05,1.8936766053217345e-07,8.113939633576165e-07,1.4028682837096389e-06,2.341415035408973e-06,2.494059773135335e-07,1.9848850999637758e-07,3.457141044613195e-07,0.0,1.0693223882246219e-06,3.2212727699692337e-07,1.4699966337077088e-06
2020-09-02,9.918555861014633e-07,4.1602801759594865e-05,4.096602545206225e-06,7.688446571337252e-06,9.31133375544713e-06,7.44449445149786e-06,3.300478808711977e-07,5.967032956601091e-07,8.140500148258859e-07,1.0794649308230897e-06,8.249768676486312e-08,0.0,3.555860569373284e-07,0.0,3.6241272648530326e-07,0.0,1.4143814780145007e-06
