,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.500024188903576e-06,9.436734476748636e-05,7.113478028379806e-06,2.9145520595046905e-05,1.4763488907698667e-05,8.37918505945846e-06,3.3564106358766426e-07,9.755790270578236e-07,1.6059744451840085e-06,2.949495954274716e-06,1.1538365681269725e-06,1.2204704628857983e-06,1.1103882199084578e-06,3.146289564984566e-07,2.9517996938245767e-06,0.0,5.386259920256422e-06
2020-08-25,1.5940516964664045e-06,9.380693025882448e-05,8.235574442884209e-06,1.7918590824678058e-05,1.4516527066064715e-05,1.0081145082251179e-05,1.9008570013790718e-07,8.510684093180021e-07,2.09711458004931e-06,2.7712566227008813e-06,1.1056763607894623e-06,4.066635895788389e-07,1.115487253412962e-06,4.682131643437571e-07,2.184501544078508e-06,0.0,4.6443852285327805e-06
2020-08-26,1.5909334261129601e-06,9.093228938291774e-05,8.474316535778493e-06,2.2793183014823928e-05,1.4958788537578969e-05,1.0331889664051884e-05,2.915249071592554e-07,1.3309063396120968e-06,1.5733499313804883e-06,4.16871321876892e-06,6.319003518421159e-07,8.503585749520929e-07,8.745187195541773e-07,3.24200654917743e-07,1.8124189848713763e-06,1.5843614650970714e-07,6.938727455291093e-06
2020-08-27,1.6149660586915254e-06,0.00010852241138520676,8.210515713471142e-06,1.5942800269357405e-05,1.963999882160007e-05,1.0127477420403807e-05,3.2984477587308604e-07,8.188153505060565e-07,2.307694082841602e-06,2.327961300474684e-06,1.0976508625066065e-06,0.0,1.142292172680132e-06,9.920315069206597e-07,3.5955805999729613e-06,0.0,6.220506425783138e-06
2020-08-28,1.657419488146049e-06,0.00010445085425547108,8.456866855760928e-06,2.1422942441144293e-05,2.199723934646202e-05,9.11616443686966e-06,2.3574985138591313e-07,1.2074162538894247e-06,1.989445554625153e-06,2.1369085563711287e-06,4.758252991553308e-07,5.788201599974686e-07,9.968608850729054e-07,1.5597395047858266e-07,1.8092487347923597e-06,3.432348581084258e-07,3.0111147193015696e-06
2020-08-29,1.3179647073516583e-06,0.00010486360700291434,7.6057278165757046e-06,3.19894866984256e-05,0.0,9.157949861209627e-06,3.209251095829645e-07,1.2108129320409509e-06,1.6164887020371638e-06,3.249366473298958e-06,6.274157466921858e-07,0.0,9.502583467367274e-07,3.085268014918505e-07,1.36801198104893e-06,0.0,5.782233952744026e-06
2020-08-30,1.4800525264275811e-06,9.76801939931282e-05,6.921685894455328e-06,2.1467366025746526e-05,1.4609274941684644e-05,1.1368262614950502e-05,2.8690164868032416e-07,1.4707313882849443e-06,1.9687555863439764e-06,2.908451548626978e-06,4.6085483656397695e-07,9.997677206329064e-07,1.0047954318711246e-06,3.0448402973651933e-07,2.7999631649290305e-06,2.4582847514809323e-07,5.475331805107389e-06
2020-08-31,1.480398767879195e-06,9.727328464732844e-05,7.667440540952093e-06,2.5877029122978964e-05,1.092669281788481e-05,1.0779415164876954e-05,2.5458668462758756e-07,1.2331953497354343e-06,2.0493277082865933e-06,3.377362307514677e-06,1.5317271481223686e-06,7.726875056623507e-07,1.0282590434740212e-06,1.5563647614738713e-07,2.180914886525181e-06,0.0,6.387898764580379e-06
2020-09-01,1.553501331434556e-06,9.60621946860479e-05,8.182598635450598e-06,1.4788274166152598e-05,0.0,9.43154966106588e-06,3.2463027519801164e-07,1.1751222917593066e-06,1.8185329603643467e-06,2.0949502948396076e-06,1.2470298865676674e-06,1.9848850999637758e-07,1.2099993656146183e-06,4.570860914035057e-07,1.7822039803743698e-06,1.6106363849846169e-07,5.144988217976981e-06
2020-09-02,1.7819050572818499e-06,8.349653220282326e-05,7.330762449316402e-06,9.885145591719324e-06,1.3967000633170696e-05,8.466287807585801e-06,4.125598510889971e-07,1.1120379600938398e-06,2.289515666697804e-06,2.1589298616461794e-06,8.249768676486311e-07,0.0,9.778616565776532e-07,0.0,1.449650905941213e-06,1.5900715929734735e-07,6.3647166510652535e-06
2020-09-03,1.6659712315771743e-06,8.866680244685259e-05,5.659812492946353e-06,9.274936956192411e-06,1.2629292380747907e-05,9.928825288922427e-06,2.522097921404591e-07,9.597196083192335e-07,1.955570246289531e-06,3.024800026766394e-06,9.014879386240787e-07,1.847522339111083e-06,9.135420179997011e-07,4.7227568557899896e-07,2.8632220911900447e-06,4.791297470578239e-07,3.973438008406912e-06
2020-09-04,1.5681366191808172e-06,0.00011026720815075842,7.3098514732937965e-06,1.6572764955486192e-05,0.0,9.562169144678769e-06,2.2600166693179487e-07,1.0110057216280093e-06,2.1019325526755834e-06,2.3093930868779822e-06,7.598334478852611e-07,4.027386226339106e-07,1.1684624961513767e-06,1.1147851243710025e-06,1.4110736118298767e-06,0.0,6.14674464988484e-06
