Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-14.422421772182648,29.12649658999882,-18.623816190751764,-50.26581628964664,-66.74660892770639,-35.33291823960288,-36.054063133251155,-31.43279095548793,-38.52026104711537,-58.56134920025669,-40.9739362835123,-21.550059071466677,-0.6782527881967981,-54.37301048779533,-62.24802425968008,-72.65176045824883,-45.553569460354545
2020-08-31,-14.743483803776481,3.883336888114175,-18.275516825720516,-40.95039677325999,-52.484860749493166,-36.074766920589695,-35.65937838483602,-40.707620835522164,-34.983210508552176,-55.00124567899696,-38.31935249797264,-55.58987332503479,-11.397395756139538,-58.52887737860686,-56.204128668965694,-53.765141824354345,-51.970422943397686
2020-09-07,-20.436726220907453,-0.01598803516766889,-18.301051181063777,-46.40151962257726,-42.573826102019616,-34.627465634262464,-28.783374442548272,-39.497755896469556,-35.77669951947103,-58.894516126176754,-48.54847068540591,-46.173634198921974,-12.167465201242278,-10.584601454545872,-65.65412766544905,-56.3219103895316,-44.32226479817318
2020-09-14,-20.846766578775224,-5.1094406426339,-20.015102263539042,-40.56532518643855,-35.72350867641205,-34.46851858350142,-26.313414007744072,-42.044735051833534,-39.33177324401736,-60.76807799745989,-45.446650199155236,-27.71475900731506,3.2799952591246573,-37.224171629343715,-69.08153199420424,-29.965142110592623,-45.492068522378034
2020-09-21,-4.082274802119789,-3.7527945256450423,-21.244389368400117,-43.98615917087331,-43.670413527000015,-42.14012425998486,-11.950831394224137,-37.410859470728695,-25.179699709022785,-58.99524427985274,-35.516464743200906,-17.814187776915958,0.3647112063155378,-22.26129211607243,-64.13127118265983,-26.39648691386118,-44.549527815094145
2020-09-28,-14.052647137098152,-0.5070702581621234,-25.3166376527319,-48.910989471801614,-58.67451157456634,-35.98435542337343,-29.484414207374165,-39.84186119297177,-33.76974819852813,-55.59938578582173,-36.99734476970109,-43.787177646300144,-13.907897987419638,-38.04580601003863,-56.11714494085851,-30.11795617424735,-59.321040583043505
2020-10-05,-23.931762965609916,-7.00290996452535,-24.193935752226103,-45.79393473260755,-60.22756388529199,-30.487052842346507,3.1768724055581954,-42.22107608746079,-33.042029229911506,-57.06147895906539,-35.862355531048415,-44.314372282804335,241.79273652601557,-41.15318788203351,-60.025124664091024,-63.72737244429505,-54.59984670884855
2020-10-12,-26.86202004701658,3.658094048366456,-28.265374519766663,-49.82409269716689,-41.8991829623297,-30.508776551745665,-18.1105530582797,-23.769331176381357,-36.596425827274146,-64.1866931718922,-48.443777568213854,-28.563261782416905,206.3007012240119,-36.102768544758945,-68.80452500451233,-61.63568973911999,-67.41875391538647
2020-10-19,-31.750093662925128,-9.009652873302498,-26.571105683141383,-46.868973377471036,-56.246494799553204,-44.5625062096347,-18.66580231806687,6.84509737380139,-48.94021427906362,-65.31579332202377,-54.85373880616902,-31.821370402359605,365.98589646042797,-58.23175852257656,-49.10141333196722,-10.885801808250772,-69.18384681283564
2020-10-26,-32.44713110566637,-19.85385884095209,-33.24174269149631,-56.10776219120919,-68.65273951374833,-56.82963441391223,-37.94731551513303,1.0774072839219606,-44.87054941935935,-67.70443318929038,-59.157161239249135,-37.885101714623616,350.991432387154,-46.78225142142459,-65.19659001845794,-24.3945483302629,-74.2178469034378
