,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.9959942583776826e-06,0.0001537890611128301,1.3506603851354062e-05,2.3914273308756437e-05,1.4763488907698667e-05,1.3535606634509819e-05,9.294675607043009e-07,1.7560422487040825e-06,3.670798731849162e-06,1.254981611916889e-05,2.0769058226285507e-06,1.423882206700098e-06,2.6478488320893997e-06,1.7304592607415113e-06,3.320774655552649e-06,1.5784970813588965e-07,1.1445802330544896e-05
2020-08-25,2.7190204718372264e-06,0.0001470173528322226,1.374137982885736e-05,3.153671985143338e-05,2.4194211776774525e-05,1.4007485798496374e-05,7.874979005713297e-07,2.1139441134672954e-06,4.19422916009862e-06,5.1810449902668645e-06,1.9744220728383256e-06,2.0333179478941944e-07,2.660008065830909e-06,6.242842191250095e-07,1.8204179533987568e-06,1.5626899644988095e-07,1.5790909777011454e-05
2020-08-26,2.7206654068899823e-06,0.0001446324602783416,1.365306552986535e-05,2.3552955781984723e-05,1.4958788537578969e-05,1.3021011631407856e-05,1.0600905714882014e-06,2.118585601831501e-06,3.432763486648338e-06,3.616971763343622e-06,1.1848131597039672e-06,4.2517928747604645e-07,1.3992299512866838e-06,8.105016372943575e-07,1.8124189848713763e-06,3.1687229301941427e-07,8.057877044854172e-06
2020-08-27,2.754694709486847e-06,0.0001560368534070367,1.3365955812627439e-05,3.644068632995979e-05,2.9459998232400105e-05,1.482427854290992e-05,7.146636810583531e-07,2.2926829814169584e-06,3.894233764795204e-06,3.020057903318509e-06,1.2544581285789787e-06,8.388784949513146e-07,2.1967157166925616e-06,1.322708675894213e-06,3.955138659970257e-06,1.5759117476814005e-07,8.613008897238192e-06
2020-08-28,2.598460732055059e-06,0.00015729251061185245,1.4703416237857068e-05,3.442972892326761e-05,1.6497929509846515e-05,1.4052585495569832e-05,6.28666270362435e-07,1.9936407913057943e-06,3.5907066107868612e-06,3.6022172807399028e-06,1.2688674644142154e-06,1.1576403199949372e-06,1.087484601897715e-06,6.238958019143307e-07,2.8947979756677755e-06,1.716174290542129e-07,8.570095739550622e-06
2020-08-29,2.4938733384618206e-06,0.0001579685720329209,1.3785381667543464e-05,2.5937421647372107e-05,1.4751873487932968e-05,1.2295733478994601e-05,6.171636722749317e-07,2.576858291266639e-06,3.417718970021432e-06,4.503507919133644e-06,1.0195505883748018e-06,3.472565258616693e-07,1.2353358507577456e-06,3.085268014918505e-07,1.0260089857866976e-06,4.4536853466848883e-07,1.0897287064786819e-05
2020-08-30,2.6219210078381077e-06,0.00014606015548635995,1.2533863646716404e-05,2.9418242331578576e-05,1.9479033255579525e-05,1.398927871784187e-05,8.128880045942517e-07,2.144816607915544e-06,3.2812593105732937e-06,3.1828337701955606e-06,1.0753279519826128e-06,8.331397671940886e-07,1.37017558891517e-06,7.612100743412983e-07,2.7999631649290305e-06,4.916569502961865e-07,8.11160267423317e-06
2020-08-31,2.68755588989639e-06,0.0001501202631721457,1.4016276657664017e-05,3.8815543684468445e-05,1.6390039226827218e-05,1.3371932736176474e-05,7.637600538827626e-07,1.918303877366231e-06,3.5619267310695548e-06,4.293257170569505e-06,1.6123443664445985e-06,7.726875056623507e-07,2.1422063405708775e-06,1.245091809179097e-06,2.5444007009460445e-06,6.449262043190708e-07,1.0173320254702085e-05
2020-09-01,2.818679701079319e-06,0.00013314666984391756,1.1263106357032e-05,2.464712361025433e-05,5.992868486501064e-06,1.5068797734346636e-05,7.574706421286938e-07,1.5108715179762513e-06,2.8057365674192778e-06,2.8343445165477045e-06,1.496435863881201e-06,5.954655299891327e-07,1.555713470075938e-06,6.094481218713409e-07,5.346611941123109e-06,3.2212727699692337e-07,1.0534975874905247e-05
2020-09-02,2.9154542985406653e-06,0.00012306283317698341,1.1211754334248616e-05,1.867194167324761e-05,2.7934001266341392e-05,1.4816003663275151e-05,4.950718213067965e-07,1.925724272357625e-06,1.984246911138097e-06,3.418305614273117e-06,1.402460675002673e-06,2.008762220807161e-07,1.1556546850463173e-06,9.137035893779522e-07,3.2617145383677292e-06,0.0,8.486288868087004e-06
