Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-13.029976314262404,14.151054910036564,14.431748934205935,-26.726684532744805,-45.651237351578224,-13.606431790761498,-28.706526901147956,-17.789078909526555,-15.665168091380488,13.576860126113255,-44.23680940778711,-40.14416375639986,-1.906306195202112,-49.79234815487713,-63.87217768753259,-44.29062315569205,-30.15287746465991
2020-08-31,-10.597500392032732,-0.7505692027533262,9.51598537081695,-0.36548375793363785,-53.143961041744845,-23.341533480574295,-30.498718196558283,-22.07839859038001,-53.26848579668007,-13.36290665209745,-35.62618011116877,-37.73112637619012,-17.11977176296664,-46.344918930780146,-63.55852970379976,0.17552604723225507,-25.687532324983696
2020-09-07,-8.874970450246378,-2.1354197950344544,9.373845757488386,1.0815495186942803,-62.23522441619009,-6.439455088081658,-29.81393926369997,-19.175213756752317,-3.2418173233422887,-26.75099613456986,9.061876083271315,73.71236235802452,-33.313477228808694,-34.20855618388461,-75.04531787866443,-18.815724745759844,-3.746754167119848
2020-09-14,-9.469093432254482,-10.30852350435162,4.3177593743233045,-6.077409826542047,-36.30257616581375,-4.028539154464972,-49.36074238004362,-29.193011715149254,-14.609719265623223,-18.152193890505696,-46.79627734266572,-36.372298693307634,-28.258113284844654,35.33194884253798,-86.44134024190814,39.759139912342874,-4.561024509843659
2020-09-21,-1.5947088816268273,-11.382703997059041,-13.460515203479295,1.1888408803343298,-69.71947827635623,-2.556860216043244,-32.89475377696983,-27.859194545295495,181.65457782373272,-14.599117785858716,-28.27572879275525,-32.180652999505845,-26.226262360462737,-23.622327788140396,-70.01139066091231,61.007684875928646,23.759245123975028
2020-09-28,-11.130856337428307,-0.5188979673999006,4.6267007673439275,-2.376425618597644,-64.79455075195604,-10.466165961343243,6.393853406206462,-25.274582411801294,10.532650968374856,-78.79832736874135,-37.76590166569551,-19.346820101213247,27.859640451247735,-46.873213276869016,-66.17209604404555,-20.722051122045304,19.66181206865343
2020-10-05,-8.98083118511217,-12.807687255724531,-0.5980692278462652,-18.887032306573982,-16.178521736744422,10.063167350507785,-16.23274083374907,-24.33526417511027,-2.7480957112663407,-66.77018284311136,-30.41427059427354,-30.871710569173604,19.357928132539737,-44.49731869672047,-67.03085661696359,-32.580224869287555,44.71809158336495
2020-10-12,-12.59513746359704,-5.608198664874253,-5.481314369478385,-25.281978134772622,-44.08322635640879,12.928318375061387,-15.395553139681773,-28.533065398826995,56.935533575518015,-57.86879594600634,-33.93275626896954,-27.15332615970143,17.11589279845187,-29.92375819458635,-73.46916730951902,-51.71388536130619,-9.555483794006603
2020-10-19,-2.099201568015485,-25.62260156148636,-2.1223984635526882,-2.6221804186761677,-62.84634077294547,-1.461411642395527,-14.410081363648274,12.531929294521627,-2.8745100195628037,-57.04405666355683,-15.634743160911812,-66.80792984406855,324.8442422237223,-7.686132966564152,-63.92334336633343,-28.419427010278508,-32.34062601437916
2020-10-26,-2.1524185989007516,-21.01047753336286,-21.10677393833934,-33.50079805176759,-77.6803210141932,-22.384407490290048,-9.191736954739305,-29.125939980499215,-6.52797017644663,-53.529997668108976,-21.54204374190696,24.782543162836213,31.427408846407936,-22.497863708683465,-67.9619772456735,13.408177504605634,-6.978697511290055
