,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,7.864991693170101e-07,9.606510809163904e-05,2.521232718919425e-06,2.092498914516188e-05,0.0,2.137201047554182e-06,7.745563005869174e-08,1.9511580541156473e-07,8.259297146660615e-07,4.048327780377061e-07,2.307673136253945e-07,0.0,2.5624343536349026e-07,3.146289564984566e-07,7.379499234561442e-07,0.0,8.977099867094037e-07
2020-08-25,7.555140853043897e-07,9.975141888419049e-05,2.5446999683069184e-06,2.9386488952472013e-05,0.0,1.945484138680052e-06,2.7155100019701026e-08,4.941687537975496e-07,5.59230554679816e-07,3.6146825513489756e-07,4.738612974811982e-07,2.0333179478941944e-07,1.7161342360199414e-07,0.0,7.281671813595027e-07,0.0,2.3221926142663902e-06
2020-08-26,8.16622742659046e-07,9.193469257296564e-05,3.6251242958608e-06,1.2916137041733558e-05,0.0,2.1937573944219756e-06,2.120181142976403e-07,1.901294770874424e-07,5.72127247774723e-07,3.6782763695019884e-07,3.1595017592105793e-07,0.0,3.4980748782167095e-07,1.621003274588715e-07,0.0,0.0,4.476598358252318e-07
2020-08-27,8.705676410134005e-07,9.144017996346125e-05,3.914315630840893e-06,1.8979524130187388e-05,0.0,2.4951755963313727e-06,2.7487064656090506e-08,2.183507601349484e-07,8.653852810656008e-07,7.550144758296272e-07,5.488254312533033e-07,0.0,2.6360588600310736e-07,4.960157534603299e-07,1.0786741799918885e-06,0.0,1.1962512357275265e-06
2020-08-28,7.206171687591517e-07,9.967507773346577e-05,2.64277089242529e-06,1.0711471220572146e-05,5.499309836615505e-06,1.7295489840701332e-06,2.6194427931768125e-08,1.965561343540924e-07,8.248920592348195e-07,4.2738171127422577e-07,0.0,1.9294005333248953e-07,1.8124743364961918e-07,6.238958019143307e-07,0.0,0.0,1.158121045885219e-06
2020-08-29,7.418483981500353e-07,9.364424819375803e-05,4.89618728192061e-06,2.5072840925793036e-05,0.0,2.1526655052245737e-06,1.2343273445498635e-07,1.2418594174778985e-07,6.004100893280894e-07,3.4203857613673243e-07,1.5685393667304644e-07,0.0,2.850775040210182e-07,1.5426340074592525e-07,3.420029952622325e-07,0.0,1.1119680678353896e-06
2020-08-30,7.161544482714103e-07,9.229003523980619e-05,3.6479155389696995e-06,2.226245365632973e-05,4.869758313894881e-06,1.989445957616338e-06,7.172541217008104e-08,2.451218980474907e-07,4.812513655507497e-07,6.585173317645988e-07,6.14473115418636e-07,0.0,0.0,0.0,0.0,0.0,2.0279006685582923e-07
2020-08-31,8.115684705453438e-07,8.696522015485036e-05,4.102324875413859e-06,1.7790457522048036e-05,5.463346408942405e-06,1.7738278119417772e-06,2.5458668462758756e-07,1.6442604663139125e-07,2.92761101183799e-07,4.5794743152741385e-07,4.837033099333795e-07,1.9317187641558767e-07,8.56882536228351e-08,0.0,7.26971628841727e-07,0.0,4.258599176386919e-06
2020-09-01,7.83205657399139e-07,8.78708447515787e-05,4.091299317725299e-06,2.0421902419925017e-05,1.1985736973002128e-05,2.0958999246813066e-06,1.0821009173267054e-07,5.595820436949079e-07,7.793712687275771e-07,3.6969711085404837e-07,4.156766288558892e-07,0.0,8.642852611532988e-08,0.0,0.0,0.0,4.899988779025696e-07
2020-09-02,7.428182527946025e-07,7.57869220865347e-05,3.924114016987016e-06,1.9770291183438647e-05,0.0,1.6786605135730467e-06,1.1001596029039924e-07,2.7122877075459504e-07,6.614156370460323e-07,2.3988109573846434e-07,1.6499537352972623e-07,0.0,8.88965142343321e-08,0.0,0.0,0.0,4.7146049267150024e-07
