,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.679772942879091e-06,0.00012167303823094193,1.2426075543245737e-05,3.213480475864146e-05,4.921162969232889e-06,2.642666057213822e-05,1.2134715375861706e-06,1.3379369513935868e-06,3.303718858664246e-06,6.014658416560206e-06,2.615362887754471e-06,1.2204704628857983e-06,2.5624343536349027e-06,1.4158303042430547e-06,1.4758998469122884e-06,0.0,1.3914504793995757e-05
2020-08-25,2.3869263684067256e-06,0.00012236947316607088,1.2954836202289767e-05,3.153671985143338e-05,1.4516527066064715e-05,2.766124720814183e-05,9.504285006895358e-07,1.5648677203589072e-06,3.961216428982031e-06,5.723247372969211e-06,1.5795376582706606e-06,2.0333179478941944e-07,2.4025879304279182e-06,7.803552739062619e-07,1.4563343627190055e-06,1.5626899644988095e-07,1.0449866764198756e-05
2020-08-26,2.356781697725848e-06,0.00010883234634805902,1.181696361378001e-05,4.026795665952227e-05,6.482141699617554e-05,2.5688191425005715e-05,8.215701929033562e-07,1.3309063396120968e-06,3.432763486648338e-06,3.923494794135454e-06,2.3696263194079345e-06,8.503585749520929e-07,1.7490374391083546e-06,6.48401309835486e-07,2.537386578819927e-06,0.0,1.0967665977718179e-05
2020-08-27,2.5654408744839335e-06,0.00013192076198810187,1.3891046933837802e-05,3.112641957350732e-05,1.963999882160007e-05,2.6969912695640574e-05,9.620472629631677e-07,1.5284553209446389e-06,3.7500028846176035e-06,6.165951552608622e-06,2.5089162571579575e-06,4.194392474756573e-07,1.7573725733540492e-06,4.960157534603299e-07,4.67425477996485e-06,0.0,1.4594265075875823e-05
2020-08-28,2.657805675364636e-06,0.00014712472833919597,1.3117753702401895e-05,2.6013572964246638e-05,1.6497929509846515e-05,2.5799105679046153e-05,7.072495541577394e-07,1.4882107315381281e-06,3.3966143615551387e-06,8.12025251421029e-06,1.7446927635695461e-06,7.717602133299581e-07,1.9030980533210012e-06,1.5597395047858266e-07,3.2566477226262474e-06,1.716174290542129e-07,1.2507707295560366e-05
2020-08-29,2.43862930881235e-06,0.00014016718938905954,1.131352012715636e-05,2.5072840925793036e-05,4.917291162644322e-06,2.8349510128127016e-05,9.627753287488934e-07,2.3284864077710593e-06,3.048235838127223e-06,9.007015838267288e-06,2.8233708601148358e-06,3.472565258616693e-07,3.0408267095575272e-06,1.5426340074592524e-06,3.0780269573600926e-06,0.0,1.5789946563262533e-05
2020-08-30,2.6060064645431873e-06,0.00014303640789303297,1.2720936238458439e-05,3.736911863741062e-05,1.4609274941684644e-05,2.6968045203243695e-05,9.324303582110535e-07,1.899694709868053e-06,2.8437580691635214e-06,8.999736867449516e-06,1.7666102068285783e-06,1.166395674071724e-06,3.288421413396408e-06,9.134520892095579e-07,1.2444280733017913e-06,4.916569502961865e-07,1.4195304679908046e-05
2020-08-31,2.479565980359643e-06,0.00030735454268417063,1.2258137425343791e-05,3.3154943563816796e-05,3.2780078453654436e-05,2.350321850822855e-05,9.165120646593152e-07,1.8360908540505356e-06,3.4155461804776554e-06,7.727862907025108e-06,2.3378993313446678e-06,5.79515629246763e-07,1.8851415797023721e-06,6.225459045895485e-07,2.5444007009460445e-06,1.612315510797677e-07,1.4431919431089004e-05
2020-09-01,2.9090495846253736e-06,0.0001489336351721673,1.1455638089630838e-05,3.380176952263451e-05,2.9964342432505318e-05,2.4608756012206375e-05,9.738908255940348e-07,3.3574922621694474e-06,2.0263652986917005e-06,8.010104068504382e-06,1.91211249273709e-06,1.389419569974643e-06,2.3335702051139067e-06,6.094481218713409e-07,1.7822039803743698e-06,1.6106363849846169e-07,8.819979802246252e-06
2020-09-02,2.4431421146828255e-06,0.00010997104241347454,1.1815464183015848e-05,2.3065339714011753e-05,1.862266751089426e-05,2.5179907703595702e-05,8.801276823231939e-07,1.2476523454711373e-06,3.510590688936633e-06,7.796135611500092e-06,2.309935229416167e-06,4.017524441614322e-07,2.1335163416239705e-06,9.137035893779522e-07,1.8120636324265162e-06,1.5900715929734735e-07,9.429209853430005e-06
