,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,9.202851104894912e-06,0.00034337263230987914,2.6833119651356736e-05,5.903836223099245e-05,6.889628156926045e-05,1.7165456032736763e-05,4.569882173462813e-06,1.3797474811246363e-05,1.2756025593175838e-05,1.4805313025378966e-05,8.230700852639071e-06,1.2814939860300883e-05,1.6143336427899886e-05,9.596183173202927e-06,1.3652073583938668e-05,6.629687741707365e-06,1.1670229827222247e-05
2020-08-25,8.991447850380813e-06,0.00036261380614732616,2.8685708733641626e-05,5.662274700598266e-05,8.709916239638829e-05,1.697877066484409e-05,4.290505803112762e-06,1.1310973698032801e-05,1.0345765261576598e-05,1.0663313526479477e-05,1.1135740490808158e-05,1.382656204568052e-05,1.1583906093134606e-05,8.896050122531386e-06,1.4927427217869806e-05,7.969718818943927e-06,1.648756756129137e-05
2020-08-26,8.420099781821251e-06,0.00045408864509170413,2.6929494769251657e-05,6.382091244150699e-05,8.975273122547382e-05,1.6417797274383817e-05,3.975339643080756e-06,1.1597898102333986e-05,1.091809497836763e-05,1.2015702807039829e-05,8.925592469769888e-06,1.2755378624281393e-05,1.0669128378560963e-05,8.915518010237932e-06,1.4136868081996734e-05,1.9012337581164858e-06,1.1639155731456027e-05
2020-08-27,8.66362000235558e-06,0.00040222195330866315,2.744794497235992e-05,5.769775335576966e-05,0.00011292999322420041,1.7209372862932557e-05,4.068085569101395e-06,1.0644599556578735e-05,9.711545931958408e-06,1.0507284788628978e-05,6.97792334022057e-06,8.808224196988803e-06,1.0192760925453486e-05,8.928283562285938e-06,1.8337461059862104e-05,2.9942323205946607e-06,1.3398013840148297e-05
2020-08-28,9.440084910744888e-06,0.00039947059746967033,3.699879249395406e-05,6.350372223624915e-05,9.348826722246358e-05,1.4809263176100516e-05,3.90296976183345e-06,8.367675433931362e-06,9.510520212354388e-06,1.1966687915678321e-05,1.6971102336540132e-05,6.945841919969624e-06,1.6674763895764962e-05,7.01882777153622e-06,1.5559539119214293e-05,2.4026440067589807e-06,1.945643357087168e-05
2020-08-29,8.010384299173253e-06,0.0004077862948501348,2.961480268579165e-05,7.781226494211632e-05,0.0001081804055781751,1.5944319081070148e-05,3.6289223929765985e-06,1.0804176932057716e-05,1.0530269258984952e-05,1.1686318018005025e-05,9.097528327036694e-06,8.16052835774923e-06,9.69263513671462e-06,8.330223640279964e-06,1.6758146767849394e-05,4.008316812016399e-06,1.2009255132622207e-05
2020-08-30,8.35115659400939e-06,0.0005382270716122031,2.5628945068658916e-05,7.553332490540444e-05,4.8697583138948816e-05,1.559978258829319e-05,3.9209891986310965e-06,1.5718441712295342e-05,1.001877842828379e-05,8.121713758430051e-06,8.525814476433573e-06,1.1997212647594876e-05,2.210549950116474e-05,1.0200214996173397e-05,1.3688708806319704e-05,3.933255602369492e-06,1.2167404011349754e-05
2020-08-31,7.870990694233737e-06,0.00046037848599504255,2.8716274127897012e-05,6.954451576800596e-05,0.00013658366022356014,1.681725214014031e-05,4.124304290966918e-06,1.0989140783197982e-05,9.563529305337436e-06,1.225009379335832e-05,7.4974013039673825e-06,7.533703180207918e-06,2.707748814481589e-05,8.404369711958904e-06,1.2722003504730222e-05,3.869557225914425e-06,1.3958741744823792e-05
2020-09-01,8.993955076726376e-06,0.0003964613368283093,2.4499662973202087e-05,4.5069026030179346e-05,4.794294789200851e-05,1.694788042544022e-05,4.625981421571666e-06,1.1079724465159177e-05,1.1638610946331819e-05,1.0413135289055697e-05,9.56056246368545e-06,7.542563379862348e-06,1.0889994290531565e-05,7.618101523391762e-06,1.8534921395893447e-05,3.060209131470772e-06,1.2984970264418094e-05
2020-09-02,8.651900458850429e-06,0.0003923173298798159,2.225102014027802e-05,4.613067942802351e-05,7.914633692130061e-05,1.4779511043414868e-05,3.905566590309173e-06,9.411638345184448e-06,3.2511122467108816e-05,1.0914589856100129e-05,1.1549676147080835e-05,8.637677549470792e-06,8.267375823792885e-06,8.680184099090546e-06,2.1744763589118196e-05,2.226100230162863e-06,1.0607861085108755e-05
2020-09-03,8.959990354285528e-06,0.00035730087718682183,2.415979661168145e-05,4.1737216302865854e-05,3.367811301532775e-05,1.5769310752994444e-05,3.5869837104420852e-06,9.816560565093874e-06,1.24354210533283e-05,1.037074294891335e-05,9.424646631069912e-06,9.032331435654184e-06,8.67864917099716e-06,9.445513711579979e-06,1.9684651876931558e-05,4.152457807834474e-06,1.1478820913175523e-05
2020-09-04,9.143033847427138e-06,0.0003586331282927959,2.5810092856321304e-05,5.354277908695539e-05,6.837045849229465e-05,1.4153528138750716e-05,3.8137781294740386e-06,8.463562183914477e-06,1.0355862820499215e-05,1.1744913413265166e-05,7.007352908275186e-06,1.0068465565847765e-05,9.931931217286701e-06,1.0988596225942738e-05,2.1166104177448152e-05,1.73075688248455e-06,1.957851999592949e-05
2020-09-05,8.177480891664632e-06,0.00037315065779464394,2.8015772694492082e-05,5.3240214011073964e-05,7.22215343980851e-05,1.583020611380652e-05,4.149606166065786e-06,1.0416556778627402e-05,1.167434621747355e-05,1.020515065579719e-05,7.4227023432737185e-06,1.0874527445358065e-05,1.1340275008087969e-05,8.557380627769444e-06,1.245493071545593e-05,3.847812235816568e-06,1.1972687814198343e-05
2020-09-06,8.232637788380902e-06,0.00033389234468385884,2.8545053040977374e-05,6.720455810817529e-05,0.00010508131191916304,1.528722321942148e-05,3.948574725837696e-06,1.1321396256884416e-05,9.360800971085139e-06,1.0266836207489697e-05,8.783708768301669e-06,1.2846565757222043e-05,1.1693458679214847e-05,8.361446115202456e-06,1.8554163793763887e-05,3.888254482367616e-06,9.981214522500776e-06
2020-09-07,8.537975758310688e-06,0.0003386379961153175,2.7883466644549123e-05,4.039554200370246e-05,4.8240264080988514e-05,1.647920164106592e-05,4.437591705852265e-06,1.3469589455331896e-05,9.440294043374157e-06,1.082503484157742e-05,7.485678809806046e-06,8.40403057306284e-06,1.1269235506508556e-05,9.245288600928966e-06,1.3187762973292751e-05,3.979592039775104e-06,2.3166726699674796e-05
2020-09-08,8.878880424523192e-06,0.00030159642054678604,2.4233202235412105e-05,5.0685769570042396e-05,4.366839468742787e-05,1.5835992670382773e-05,3.5447366109718527e-06,1.3087008175868962e-05,1.0344143426146e-05,1.0409391513167665e-05,9.05845453060221e-06,6.427312259669648e-06,9.546166783191853e-06,8.806501237313425e-06,9.368671963981471e-06,3.5250209049065837e-06,1.550126619145461e-05
2020-09-09,8.427477263538884e-06,0.0003308937918727436,2.7845543287794664e-05,4.485799804911687e-05,5.4773511529824174e-05,1.644598490519979e-05,3.957581380921739e-06,1.1565539329551744e-05,1.0674760507300201e-05,1.1198440069880783e-05,1.203359090948161e-05,1.1185983962095495e-05,8.839336990796777e-06,7.392428613010983e-06,1.3645972073994174e-05,2.0179391687580796e-06,1.216600778320348e-05
2020-09-10,8.246566703600818e-06,0.00031918166435932936,2.5065057890207322e-05,4.843158608465479e-05,4.179244585467159e-05,1.4781747498189236e-05,3.5290071187246365e-06,8.994058219984332e-06,9.7263600108252e-06,2.3394143553111645e-05,8.126485826352275e-06,7.685047344947597e-06,9.811279587083748e-06,7.73263138224008e-06,1.707893710454854e-05,1.5186554674937873e-06,1.6583432030898968e-05
2020-09-11,8.187434608923743e-06,0.0003468037246868555,2.639093603740183e-05,4.099090969645662e-05,0.0001005037246680362,1.4951572424697635e-05,3.461149296954049e-06,9.814074933044766e-06,8.952574891306687e-06,1.1219697898284684e-05,7.605312728006049e-06,4.969009026849028e-06,7.083339119613645e-06,8.604845420325984e-06,1.5226316173393039e-05,3.1819628926186333e-06,1.4597136412556782e-05
2020-09-12,7.739210884162148e-06,0.0003470516800956056,2.460696128635075e-05,7.518938325908381e-05,5.560472454809577e-05,1.5398768301768333e-05,3.782242199420575e-06,8.375051692768964e-06,7.59305397157365e-06,9.709237465617163e-06,9.434668228682166e-06,7.79831155920682e-06,9.960511551952285e-06,1.1250388811852776e-05,1.2697903509299543e-05,2.4199720735222716e-06,1.2006899022920934e-05
