Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-10.981460955644929,9.30971033560921,-5.773198914499799,-13.182954757070519,-22.2548688412861,-31.467525239339,-15.325621432111225,-21.450272215823972,-13.192468715394767,-29.14297874926338,-4.7011607763125625,22.418428294581826,28.973165741567342,-24.580574581430337,-36.577862351747356,47.41558180339949,-34.683832672330375
2020-08-31,-10.140630967523013,-6.9585515461473175,-8.216120208039012,-11.700140940160065,-35.23600462956189,-24.346776204947375,-15.553228072023428,-26.121978093398557,20.137058530846286,-26.128089765438055,-18.870798042515812,2.819067437229461,13.934518547913699,-20.917169794724998,-23.80038181151679,14.74651165410239,-36.912542065311406
2020-09-07,-15.051207391512921,-13.751061422272027,-7.427088791842795,-10.778892564506314,-43.8593686365866,-34.670459094957494,-23.949996169575407,-13.353029465282251,-20.913866664772986,-19.209890899055647,-19.133607759475137,-23.01007195979261,-11.099810184603765,-14.598760760739104,-43.044079834577644,-4.123284358839252,-32.99790573051439
2020-09-14,-16.991559189303594,-17.97202053828878,-11.688278906627925,-19.743395169240962,-38.31269978681061,-28.209054685427382,-18.835885137322705,-19.601732435487218,-18.874488079739415,-35.408671309044415,-24.44844501112019,-20.066054689468405,-16.375511808481246,-28.41782632651104,-27.781305316274597,-7.508991960449518,-37.73091218764607
2020-09-21,-9.167850801364995,-17.953589068887954,-14.208426388631445,-29.751881730381236,-48.92147667278815,-18.397436412561397,-26.03027649801477,7.452767417624129,-6.033793278718003,-31.78935174695373,-34.040426734238864,-9.035827028629884,-17.002963657114655,-10.59435660789807,-35.43828138962778,-18.61149995282727,-17.381483225523585
2020-09-28,-10.190178032673568,-11.983750287380246,-13.949548355335617,-31.12447206220079,-67.58938825667806,-22.187271994066847,-13.400035070005833,-13.403238367658176,-12.139999918264744,-34.630479822007764,-25.46071899787349,-20.418623156346627,-5.399977991966098,-28.859817007506905,-51.19923877043748,-18.49471827261705,-42.016977371870254
2020-10-05,2.111008310201279,-8.644528646975136,-19.065086094531726,-18.802560335807726,-61.30716312836224,-22.754673528826885,-11.820485340098585,-22.743339986151454,-17.588794345188596,-21.262656784699598,-14.513617136892732,-27.55598109807841,-16.65916212942412,-12.628918557043745,-46.06275111159688,-25.60576537300695,-42.07520926743417
2020-10-12,3.184033170882583,-2.2532471734617143,-15.70800417596503,-18.39860212392086,-47.59639536380338,-15.558222525616848,1.8548440936942079,-20.361913561273816,-14.013032320494823,-44.47214818940568,-26.4802602552384,-18.491906075873064,-4.92330411411398,-4.8701061430299735,-41.89429906261427,-19.148831302652212,-29.773754274343045
2020-10-19,8.399264213585722,-6.352436965801611,-9.971233340653008,-6.322193580613156,-30.121196777099215,-26.95496769562038,28.5892473877567,-24.470877404784673,-17.560791732270474,-38.894471508517505,-9.363284500142377,-18.7733558420909,14.899334910862706,-12.38528745883819,-21.668027482305053,-1.4779530704385202,-42.25448822665962
2020-10-26,23.191810142611047,-6.42968436701119,-9.717744999104616,-27.867754282979284,-50.96511904037695,-21.39875389636857,-23.51036794044179,-13.198216658399852,-8.293577042418965,-32.10719448358714,-20.359333041078077,-20.039006427929706,27.564928862350335,-2.430755652974781,-33.2502777722809,20.56984498890928,-32.16653852130488
