,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.246030541733047e-06,0.0002143426196742756,2.390668881689669e-05,5.679639910829653e-05,2.4605814846164446e-05,2.727475622592956e-05,1.3942013410564514e-06,4.153179286617592e-06,5.185003208736942e-06,8.212322068764895e-06,2.9999750771301286e-06,4.0682348762859944e-07,4.868625271906315e-06,6.292579129969132e-07,4.7966745024649374e-06,6.313988325435586e-07,2.266717716441244e-05
2020-08-25,4.885934496721245e-06,0.00022125096688557368,2.1282945189476045e-05,7.310785056468648e-05,1.4516527066064715e-05,3.059715963560445e-05,1.3034448009456492e-06,3.7337194731370416e-06,8.668073597537148e-06,8.434259286480943e-06,2.290329604492458e-06,6.099953843682582e-07,4.719369149054839e-06,2.0289237121562808e-06,6.189421041555773e-06,4.688069893496428e-07,1.9506417959837678e-05
2020-08-26,5.301701018403029e-06,0.00021823749451900255,2.1750745775164802e-05,6.686000351015019e-05,4.986262845859657e-06,2.8978827516638678e-05,1.4841268000834822e-06,5.079173173621675e-06,6.007336101634592e-06,1.0176564622288835e-05,2.5276014073684634e-06,6.377689312140697e-07,4.2851417258154694e-06,1.296802619670972e-06,6.524708345536954e-06,1.5843614650970714e-07,1.7682563515096657e-05
2020-08-27,5.223405846080403e-06,0.00023010770562233656,2.501343159220278e-05,6.90854678338821e-05,1.963999882160007e-05,3.3207851686469006e-05,9.620472629631677e-07,4.503484427783311e-06,6.009620007400006e-06,7.675980504267876e-06,2.5089162571579575e-06,1.258317742426972e-06,2.8996647460341813e-06,2.1494015983280963e-06,8.988951499932404e-06,3.151823495362801e-07,1.8661519277349415e-05
2020-08-28,5.235071784809132e-06,0.0002284669865204478,2.2103174736647882e-05,5.432246119004445e-05,3.299585901969303e-05,2.958249408169957e-05,1.0739715452024932e-06,5.110459493206402e-06,5.580152165412014e-06,7.570761742571999e-06,3.6479939601908693e-06,1.0225822826621945e-05,4.1686909739412406e-06,9.35843702871496e-07,6.513295445252495e-06,5.148522871626388e-07,2.2004299871819163e-05
2020-08-29,4.585254460906069e-06,0.00023291388887808505,2.267457605316632e-05,7.003103844790468e-05,4.917291162644322e-06,2.816708084802324e-05,6.86286003569724e-06,4.6259263301051715e-06,5.080393063545372e-06,6.7267586640224045e-06,2.901797828451359e-06,6.945130517233386e-07,3.4209300482522183e-06,1.6968974082051778e-06,7.524065895769115e-06,4.4536853466848883e-07,2.1572180516006558e-05
2020-08-30,4.7743629884760685e-06,0.00021718395757287724,2.2963160636334902e-05,5.645122177140754e-05,4.8697583138948816e-05,3.0157474436882585e-05,1.3388743605081793e-06,6.005486502163522e-06,5.162514648635315e-06,7.682702203920318e-06,2.073846764537896e-06,8.331397671940886e-07,3.927836688223487e-06,1.0656941040778176e-06,6.533247384834404e-06,0.0,2.2915277554708705e-05
2020-08-31,5.207904205459317e-06,0.00021646935434203987,2.5395344466847695e-05,5.9031972686795764e-05,2.185338563576962e-05,3.0700865975915373e-05,9.419707331220739e-07,4.603929305678955e-06,5.952809057403914e-06,7.3271589044386215e-06,2.7409854229558173e-06,1.159031258493526e-06,4.284412681141755e-06,1.08945533303171e-06,5.815773030733816e-06,1.612315510797677e-07,2.2712528940730237e-05
2020-09-01,5.250059901246975e-06,0.00019957107113070417,2.1371022318470974e-05,5.351946841083798e-05,1.1985736973002128e-05,3.111327301983802e-05,8.115756879950291e-07,4.448677247374518e-06,5.299724627347525e-06,7.147477476511602e-06,2.992871727762402e-06,7.939540399855103e-07,3.543569570728525e-06,1.0665342132748467e-06,7.128815921497479e-06,9.663818309907701e-07,1.8619957360297645e-05
2020-09-02,7.4496512635759264e-06,0.00018604889318364276,1.9103104500277446e-05,4.503232991783247e-05,2.7934001266341392e-05,3.14201456997042e-05,1.43020748377519e-06,3.82432566763979e-06,7.1738157556531195e-06,6.896581502480851e-06,3.2174097838296615e-06,6.026286662421483e-07,3.911446626310613e-06,1.2182714525039362e-06,8.335492709161975e-06,3.180143185946947e-07,2.097999192388176e-05
