,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Białystok,English,1.4417323847760108e-06,1.7115393120986348e-06,2.69806927322624e-07,118.9105275480634,2022-02-28
Białystok,Polish,7.045481275794761e-05,8.053791518089551e-05,1.0083102422947895e-05,-1.4716320304468566,2022-03-21
Białystok,Russian,7.904937370837237e-06,1.2121380936459014e-05,4.216443565621777e-06,95.19170348611301,2022-03-21
Białystok,Ukrainian,7.300879025834711e-06,1.2214196647185472e-05,4.913317621350762e-06,408.9380449910727,2022-03-07
Białystok,Lithuanian,3.687038941622489e-05,0.0001137164298752189,7.6846040458994e-05,332.9854662400579,2022-03-07
Białystok,German,4.020170812258379e-06,4.490358911273064e-06,4.7018809901468447e-07,102.8057332866442,2022-02-28
Białystok,Japanese,2.387753372137863e-07,3.1844377150392336e-07,7.966843429013706e-08,137.97644972212905,2022-03-07
Białystok,Spanish; Castilian,9.116168208029556e-07,9.765184176375089e-07,6.490159683455326e-08,167.7868208462217,2022-03-21
Białystok,French,1.2924584792011533e-06,1.3592669822664231e-06,6.680850306526979e-08,139.30796815145584,2022-02-28
Białystok,Italian,1.7643776572918521e-06,1.8640953908902495e-06,9.971773359839736e-08,76.52641212136501,2022-03-07
Białystok,Chinese,4.244277082079095e-07,6.726204371084874e-07,2.4819272890057787e-07,307.15116561768053,2022-03-07
Białystok,Persian,1.7781810692442823e-07,3.181967368392177e-07,1.4037862991478946e-07,337.0137220132987,2022-03-14
Białystok,Portuguese,9.339356927994119e-07,1.0656708803029986e-06,1.317351875035867e-07,124.03781248021693,2022-02-28
Białystok,Arabic,2.8258531084010774e-07,3.7245375859780214e-07,8.98684477576944e-08,217.49883677673353,2022-03-21
Białystok,Turkish,7.589730538001844e-07,1.0169480528877005e-06,2.5797499908751603e-07,53.54932100660821,2022-03-07
Białystok,Indonesian,2.2860950054447926e-07,2.5669036651839614e-07,2.808086597391688e-08,256.4160697428308,2022-03-21
Białystok,Dutch; Flemish,2.720528609590958e-06,3.427487270376255e-06,7.069586607852971e-07,130.71145351352516,2022-02-28
Bydgoszcz,English,1.2080998400048215e-06,1.3729268765783197e-06,1.6482703657349818e-07,54.572223907946736,2022-03-21
Bydgoszcz,Polish,8.307470864825207e-05,0.00010453371067396092,2.145900202570885e-05,13.420206282676062,2022-03-21
Bydgoszcz,Russian,4.446842392796099e-06,6.54115814925559e-06,2.0943157564594912e-06,206.39397174357143,2022-03-07
Bydgoszcz,Ukrainian,1.1558806580091632e-05,2.1986849328342247e-05,1.0428042748250615e-05,520.3779190680912,2022-03-07
Bydgoszcz,Lithuanian,5.74983140672911e-06,1.4218186555885887e-05,8.468355149156778e-06,106.34745789621789,2022-03-21
Bydgoszcz,German,6.320123076695928e-06,7.223949512488367e-06,9.038264357924383e-07,25.13058833336894,2022-03-14
Bydgoszcz,Japanese,1.9160236824114595e-07,2.2117627792892287e-07,2.957390968777692e-08,210.41766440073602,2022-02-28
Bydgoszcz,Spanish; Castilian,6.244877069690664e-07,7.176206982465866e-07,9.313299127752022e-08,107.24908510705275,2022-03-21
Bydgoszcz,French,9.740986989899033e-07,1.064040866008005e-06,8.994216701810167e-08,75.02091227924925,2022-03-07
Bydgoszcz,Italian,1.2830841278460836e-06,1.5268096911356422e-06,2.437255632895586e-07,97.39025230025304,2022-03-14
Bydgoszcz,Chinese,3.547926810495158e-07,5.626386221525028e-07,2.0784594110298702e-07,207.36227963501057,2022-03-14
Bydgoszcz,Persian,2.3834342737610224e-07,3.637028311561702e-07,1.25359403780068e-07,186.92820132186276,2022-03-14
Bydgoszcz,Portuguese,3.9088314574416857e-07,5.484340197589802e-07,1.5755087401481167e-07,136.25684453507554,2022-03-07
Bydgoszcz,Arabic,1.8210410844532751e-07,2.8779718908993964e-07,1.0569308064461213e-07,301.3599614469819,2022-03-14
Bydgoszcz,Turkish,1.0386147261443007e-06,1.4982566125000915e-06,4.596418863557908e-07,77.15416379747113,2022-03-21
Bydgoszcz,Indonesian,1.3945178991253165e-07,2.44704200739326e-07,1.0525241082679434e-07,312.35851303108245,2022-03-14
Bydgoszcz,Dutch; Flemish,2.388406981993127e-06,3.150891696163543e-06,7.62484714170416e-07,57.40672003337652,2022-03-14
Częstochowa,English,7.733441229408735e-07,1.0035816586190993e-06,2.3023753567822577e-07,93.50422078329143,2022-03-14
Częstochowa,Polish,5.455098014235921e-05,7.006980983709843e-05,1.551882969473922e-05,2.772087616387431,2022-03-14
Częstochowa,Russian,3.2794459455897217e-06,4.914088463430481e-06,1.6346425178407593e-06,155.57191245082177,2022-03-21
Częstochowa,Ukrainian,9.657670488427958e-06,1.8460903440509357e-05,8.803232952081399e-06,405.99025168093925,2022-03-07
Częstochowa,Lithuanian,6.88046566991654e-06,1.646580668797245e-05,9.58534101805591e-06,323.909451547665,2022-03-21
Częstochowa,German,2.5932427912180724e-06,3.310945934562369e-06,7.177031433442964e-07,43.0469245265499,2022-03-14
Częstochowa,Japanese,1.4371689065992013e-07,1.6113470104210973e-07,1.7417810382189607e-08,229.02457118499072,2022-02-28
Częstochowa,Spanish; Castilian,6.019603440564543e-07,7.512611730417602e-07,1.4930082898530592e-07,131.895338238389,2022-02-28
Częstochowa,French,1.5045712159031383e-06,1.8789159538603115e-06,3.743447379571732e-07,84.76043112018807,2022-03-14
Częstochowa,Italian,1.157982266080586e-06,1.6695363487281957e-06,5.115540826476096e-07,108.23720745823925,2022-03-07
Częstochowa,Chinese,2.2190306716802842e-07,3.4911258215881834e-07,1.2720951499078992e-07,67.93928214610376,2022-03-21
Częstochowa,Persian,9.356184566646091e-08,1.7286568662341792e-07,7.930384095695701e-08,312.31246513826034,2022-02-28
Częstochowa,Portuguese,4.688771920961137e-07,8.347156191498029e-07,3.658384270536892e-07,133.67371671425468,2022-03-07
Częstochowa,Arabic,1.5592074836813833e-07,2.524036267932295e-07,9.648287842509117e-08,170.08302607322835,2022-03-07
