,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.0512331680613439e-05,1.5421350194386825e-05,1.5622638454732866e-05,1.8683026022465965e-05,1.9684651876931558e-05,1.170372002232052e-05,1.2521993526155165e-05,1.4438569600455791e-05,1.2939565529768297e-05,1.3301648421238915e-05,7.115325503449664e-05,1.606952776132968e-05,1.4435046858809952e-05,1.0854698999196752e-05,1.734182320121939e-05,9.1552830718816e-06,1.974961970760688e-05
2020-08-25,1.115005952267907e-05,2.1168179007400887e-05,1.725769251233601e-05,9.31766722883259e-06,3.871073884283924e-05,1.4785679453968395e-05,1.2952982709397388e-05,1.4468162958406036e-05,1.0998200908703049e-05,1.2530899511343115e-05,6.823602683729254e-05,2.2163165632046718e-05,1.5016174565174488e-05,1.4826750204218974e-05,1.7111928761948313e-05,1.343913369468976e-05,1.90419794369844e-05
2020-08-26,1.0751494244024021e-05,2.448727792831328e-05,2.156242762992528e-05,1.899431917901994e-05,1.9945051383438628e-05,1.263179660981686e-05,1.3065616293592083e-05,1.648694179886822e-05,1.3540344864001777e-05,1.1402656745456165e-05,7.187866502204068e-05,1.1479840761853255e-05,1.3467588281134332e-05,1.2805925869250849e-05,1.9211641239636588e-05,9.98147723011155e-06,1.1862985649368643e-05
2020-08-27,1.1044012682614442e-05,2.397254325572689e-05,1.9476107041257126e-05,2.4293790886639856e-05,5.4009996759400194e-05,1.1998859117652337e-05,1.2259230836616365e-05,1.5366434744496996e-05,1.2307701775155212e-05,1.4156521421805511e-05,7.0328058833459e-05,1.6567850275288463e-05,1.388324332949699e-05,1.4549795434836344e-05,1.3303648219899957e-05,1.2764885156219343e-05,1.9618520265931435e-05
2020-08-28,1.0652417324069106e-05,2.1722080309766107e-05,1.782669092890514e-05,1.9892732266776843e-05,6.049240820277055e-05,1.3476069167546454e-05,1.0608743312366091e-05,1.2719989837486264e-05,1.1936673327750917e-05,1.2882505868408804e-05,6.677415031479809e-05,1.4856384106601695e-05,1.51341607097432e-05,1.0138306781107874e-05,1.4112140131380407e-05,1.4587481469608099e-05,1.7835064106632374e-05
2020-08-29,9.024506843452823e-06,2.318667487225638e-05,1.5258991432005007e-05,2.3343679482634895e-05,5.409020278908755e-05,1.1784931494704024e-05,9.529007099924945e-06,1.4001964932063304e-05,1.126923552277337e-05,1.2883453034483588e-05,6.2506293764209e-05,1.2327606668089262e-05,1.14981259955144e-05,1.234107205967402e-05,1.1286098843653674e-05,1.514253017872862e-05,1.91258507667687e-05
2020-08-30,1.0734359452423693e-05,2.09032985799561e-05,1.814604139897748e-05,2.4647716548079348e-05,3.408830819726417e-05,1.222088231107179e-05,1.0352367823215029e-05,1.5871642898575025e-05,1.1243781904231153e-05,1.3664234634115424e-05,6.743842441719529e-05,1.4163376042299506e-05,1.388444596767372e-05,1.0809183055646436e-05,1.43109228429706e-05,1.2783080707700847e-05,1.7034365615889655e-05
2020-08-31,1.10724040076915e-05,1.8583552887847824e-05,1.953488035911361e-05,2.102508616242041e-05,6.556015690730887e-05,1.241679468359244e-05,1.1761904829794545e-05,1.534643101892985e-05,1.2051998665399727e-05,1.2479067509122026e-05,7.08625349052401e-05,1.3135687596259961e-05,1.1996355507196913e-05,1.2450918091790969e-05,1.7447319092201447e-05,1.5316997352577933e-05,1.821734092121071e-05
2020-09-01,1.1373695343439145e-05,2.0552841653759087e-05,1.6268931404601778e-05,1.1971460039266389e-05,7.790729032451383e-05,1.3045170220861237e-05,1.1849005044727424e-05,1.8242374624454e-05,1.402868283709639e-05,1.2877782694749352e-05,6.90023203900776e-05,1.9054896959652248e-05,1.2445707760607503e-05,1.2036600406958983e-05,1.3901191046920084e-05,1.1757645610387702e-05,1.61699629707848e-05
2020-09-02,1.0996286389635705e-05,2.1674186930698025e-05,1.5006501955071223e-05,1.5376893142674503e-05,2.7934001266341392e-05,1.6056752738524795e-05,1.2926875334121909e-05,1.979970026508544e-05,1.3075678363140793e-05,1.2054025060857833e-05,7.779531861926591e-05,2.4506899093847362e-05,1.0845374736588516e-05,1.1421294867224402e-05,1.3046858153470917e-05,8.42737944275941e-06,2.3573024633575012e-05
2020-09-03,1.1584110843401907e-05,2.2532487750520295e-05,1.5670077872261916e-05,1.3397131158944595e-05,2.9468348888411782e-05,1.4966244001684541e-05,1.1909906851077235e-05,1.6424915582377737e-05,1.3989848684994337e-05,1.3642465426844347e-05,6.900480402922493e-05,1.82699431312096e-05,1.2606879848395875e-05,1.731677513789663e-05,1.4674013217348979e-05,1.1978243676445598e-05,2.2074655602260623e-05
2020-09-04,1.1707867470324576e-05,2.3445016822177715e-05,1.6018501685304307e-05,1.2748280734989377e-05,1.8232122264611905e-05,1.3508461172641435e-05,1.2740843973279936e-05,1.7187097267676156e-05,1.1073595887266487e-05,1.3064566605766872e-05,7.150877003986847e-05,1.7720499395892068e-05,1.333994683106155e-05,1.1466361279244597e-05,1.8343956953788398e-05,1.073069267140421e-05,2.3448692553264387e-05
2020-09-05,1.1138368456080964e-05,2.0578161275439924e-05,1.6419840287831453e-05,2.042090400424755e-05,5.15868102843465e-05,1.130729008129037e-05,1.2993454307493493e-05,1.4795491475375227e-05,1.1865728942350165e-05,1.3886755639217697e-05,7.063802449752792e-05,2.0723156075116313e-05,1.4656770529321244e-05,1.049490076990592e-05,1.6606574287274575e-05,1.0638069122551687e-05,1.9879179766970834e-05
2020-09-06,1.050102278936478e-05,2.1770443452101357e-05,1.7463363265250507e-05,1.365946303011693e-05,5.8845534674731305e-05,1.5996756786567628e-05,1.112342392278668e-05,1.593728233407145e-05,1.1711885866148383e-05,1.2705918842418189e-05,6.330600914091293e-05,1.7589913113734798e-05,1.2692899591968253e-05,1.2542169172803685e-05,1.8254903087412857e-05,1.409492249858261e-05,1.788300935281389e-05
2020-09-07,1.1429610944380063e-05,2.450231666740795e-05,1.7322812361508813e-05,1.3929497242656021e-05,3.4457331486420363e-05,4.107708752877858e-05,1.1632267015932266e-05,1.401271806240173e-05,1.3343492542076934e-05,1.4012406211597437e-05,7.413236756807923e-05,2.3811419957011382e-05,1.2413767237638332e-05,1.3405668471347001e-05,2.333219602967179e-05,1.4081633371511906e-05,1.826607297474359e-05
