Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-29.91370830831749,-30.76426826835266,-31.75282038222036,-21.621031623116327,-63.767491567718814,-43.76956530501932,-18.431079589585497,-28.69665721713035,-38.33974481316199,-44.87311376749844,-24.005621524389742,-37.43992331445387,-14.793393800886035,-18.87679342488946,-38.721274537949135,-40.22188511289132,-35.94815605032034
2020-08-31,-26.324803661367014,-49.54173916718996,-43.29518188572072,-31.26715132799861,-53.012527552380874,-40.54937539390154,-16.751312393629636,-17.243652398563448,-40.407483466101425,-41.62696068987534,-29.546756823956024,-24.30285798902334,-23.335788880744136,-17.805823209565506,-38.39032000282694,-23.96513350841225,-39.72991051095476
2020-09-07,-25.489479128770398,-38.61733127071415,-35.977493144612374,-11.108795635908608,-37.58645871078195,-11.583746870243228,-6.60201106074465,-42.77471657672195,-35.28101206276399,-38.88855874007405,-18.56445328294717,-33.73182844348568,-26.965921984553255,-3.470964343508709,-26.589060125977902,8.213252587086739,-32.37677187309361
2020-09-14,-21.26308862973415,-41.35342431913669,-18.51643150297655,-31.545837056117286,-10.277628713560516,-49.619240525545806,-20.96867104436706,-24.840529082436234,-36.324281575860304,-39.441103670806065,-22.593185432394204,-17.554868867352923,-22.195443593313946,-8.294192149133906,-32.65635064029374,-3.032406571119317,-32.661441659590395
2020-09-21,-31.781595988853763,-31.573759531344635,-33.9943099627877,-41.285154879124605,-10.620817337167654,-61.877846762866675,-30.862121461770986,-36.74528674284918,-34.431527506371786,-52.59318338552188,-37.53496387316977,-40.77396344376352,-23.30811190136367,-11.519036328825205,-82.69176693439348,-4.561541157747683,-46.723700355913614
2020-09-28,-34.795326152559866,-41.014122748368585,-36.006239267222654,-29.731943448270826,-33.02101732571441,-58.63600364590504,-29.066718262746406,-34.67591867902829,-48.50044213466901,-49.39956959274991,-37.67672500507302,-33.56778381132679,-36.61804328076096,-27.668671034235793,-61.036514282173385,-11.23254024883449,-48.81162771224613
2020-10-05,-35.89036888286794,-29.017137789050594,-25.848707829944285,-25.939966893401778,-49.38053585400799,-47.466688685023826,-21.208476920377972,-21.239369021809495,-43.740756245200885,-44.92819237785884,-29.666140911214146,-29.33750853277335,-15.454800906117683,-14.246028691311995,-61.844029357787875,-17.72049236152775,-41.66666775523134
2020-10-12,-19.328242446036782,-21.140343320834155,-30.61619331641837,-41.67742507282025,-22.614166641034007,-40.693424038846146,-19.099467308306316,-15.672974991361176,-17.12930927888524,-28.87589407240633,-18.706776135399107,-28.285196097026745,42.48898374108274,-1.1985765413075389,-42.75025317289784,18.015076238649684,-28.178157950519346
2020-10-19,-18.174866053129346,-24.021845420450283,-32.24859229384375,-55.717729057881996,-34.98109635265456,-40.580200538009024,-18.272600768775938,-16.91743372718715,-4.2173499034415585,-37.509915955052044,-11.873359991061061,-28.49410360155509,50.75334083053462,-9.24701459093863,-12.52329668519333,27.219590631207623,-34.05537030231023
2020-10-26,-18.99261901143926,-24.34054092251713,-23.346682862863123,-37.52520196225808,-51.799755312030115,-36.28574058427769,-27.88342973430684,-19.921106450167812,-14.057549252157308,-26.501116606643947,-24.284062744250413,-15.12607529289507,75.49617217688012,0.9536655109466885,-47.72909785106928,14.743373119082248,-22.905882812768606
