,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.967663800178551e-06,8.630296897776115e-06,6.393125822974256e-06,6.725889368087747e-06,4.921162969232889e-06,6.886536708785697e-06,3.0982252023476697e-06,3.70720030281973e-06,2.441081156679693e-05,6.245991432581752e-06,4.230734083132232e-06,2.847764413400196e-06,8.028960974722696e-06,5.50600673872299e-06,4.7966745024649374e-06,2.5255953301742345e-06,9.425954860448738e-06
2020-08-25,5.085190958779546e-06,1.1888977250732006e-05,5.690874474577291e-06,2.150230898961367e-06,4.838842355354905e-06,6.579273632627085e-06,2.308183501674587e-06,3.5964503748599442e-06,2.5258580053038358e-05,7.952301612967747e-06,4.2647516773307835e-06,2.6433133322624526e-06,7.550990638487742e-06,7.491410629500114e-06,7.281671813595027e-06,1.2501519715990476e-06,9.985428241345478e-06
2020-08-26,5.5724981973158735e-06,1.0740034179084771e-05,6.167419256594349e-06,6.0781821372863806e-06,0.0,6.793571285951924e-06,2.5177151072844785e-06,2.851942156311636e-06,2.8224944223553e-05,8.092208012904375e-06,4.2653273749342825e-06,3.4014342998083716e-06,5.3345641892804816e-06,4.538809168848402e-06,2.537386578819927e-06,2.3765421976456073e-06,9.177026634417252e-06
2020-08-27,5.698643253976607e-06,1.2201593872675363e-05,6.873920132208397e-06,3.036723860829982e-06,1.4729999116200052e-05,6.9351204074504325e-06,2.116503978518969e-06,3.6027875422266486e-06,2.9663484356526428e-05,1.1262299264458605e-05,4.076988917881681e-06,5.033270969707888e-06,4.744905948055933e-06,5.952189041523958e-06,3.236022539975665e-06,9.455470486088403e-07,8.613008897238192e-06
2020-08-28,5.362239520472511e-06,1.2478641880078403e-05,6.294599761958418e-06,7.651050871837246e-07,1.099861967323101e-05,5.585001927726472e-06,2.3313040859273633e-06,3.846884343787237e-06,2.6833253456285597e-05,8.242361574574353e-06,4.361731908923866e-06,1.736460479992406e-06,7.249897345984767e-06,5.147140365793228e-06,3.980347216543191e-06,2.059409148650555e-06,8.570095739550622e-06
2020-08-29,4.593146465141708e-06,1.0172218653635057e-05,6.037046454406966e-06,2.5937421647372108e-06,1.4751873487932968e-05,6.749883363839766e-06,2.221789220189754e-06,4.129182563114012e-06,2.290795417744095e-05,6.7267586640224045e-06,3.3723596384704984e-06,3.125308732755024e-06,6.0816534191150544e-06,4.165111820139982e-06,4.446038938409023e-06,1.113421336671222e-06,1.2231648746189285e-05
2020-08-30,4.746512537709958e-06,1.130618665330959e-05,6.266931823358202e-06,5.565613414082433e-06,0.0,5.399924742101489e-06,1.8170437749753863e-06,4.473474639366706e-06,2.292506504987208e-05,8.78023109019465e-06,4.301311807930451e-06,3.1659311153375366e-06,6.028772591226747e-06,5.328470520389088e-06,4.666605274881717e-06,1.4749708508885594e-06,1.1153453677070608e-05
2020-08-31,5.803326299427258e-06,1.4082848672822178e-05,5.665115304142948e-06,8.086571600930926e-07,5.463346408942405e-06,5.56026794897134e-06,1.552978776228284e-06,3.288520932627825e-06,2.708040185950141e-05,7.899593193847888e-06,3.7890092611448063e-06,3.863437528311753e-06,5.398359978238611e-06,4.669094284421614e-06,6.906230473996406e-06,9.673893064786062e-07,1.3722152901691185e-05
2020-09-01,5.559899501976305e-06,1.1021089002740379e-05,6.353547175761641e-06,0.0,0.0,7.191104913992759e-06,2.5429371557177575e-06,3.6372832840169015e-06,3.044743756495735e-05,8.37980117935843e-06,3.3254130308471134e-06,2.381862119956531e-06,5.099283040804463e-06,5.332671066374233e-06,5.346611941123109e-06,6.442545539938467e-07,1.0289976435953962e-05
2020-09-02,5.255546482199962e-06,8.146003141738854e-06,5.002167318357075e-06,2.196699020382072e-06,4.655666877723565e-06,6.276730615968784e-06,2.117807235590185e-06,3.905694298866169e-06,2.9509313037438363e-05,6.056997667396225e-06,3.7948935911837033e-06,2.410514664968593e-06,6.044962967934583e-06,2.5888268365708642e-06,3.6241272648530324e-06,1.2720572743787788e-06,1.0372130838773004e-05
2020-09-03,5.442460422328541e-06,1.5509374685423062e-05,5.068488799653451e-06,4.122194202752183e-06,0.0,6.716558283682819e-06,2.269888129264132e-06,3.427570029711548e-06,3.219169482353536e-05,6.358253117488542e-06,2.7864172648380612e-06,2.258082858913546e-06,4.476355888198535e-06,2.676228884947661e-06,4.652735898183822e-06,1.4373892411734717e-06,9.271355352949462e-06
2020-09-04,5.1119481879510254e-06,1.0890588459334164e-05,4.873234315529198e-06,1.9122421102484066e-06,4.558030566152976e-06,5.9573831575974866e-06,2.457768127883269e-06,2.917473653840827e-06,3.096505516624518e-05,5.938439366257669e-06,3.7991672394263056e-06,3.221908981071285e-06,5.8423124807568836e-06,3.3443553731130072e-06,2.8221472236597535e-06,2.942286700223735e-06,8.650973951689774e-06
2020-09-05,4.997592767750051e-06,9.740329670374897e-06,4.638372962664252e-06,4.375908000910189e-06,0.0,6.143627610834434e-06,1.711712543502137e-06,3.2178535271555985e-06,2.966432235587541e-05,7.879926455742135e-06,2.6101810437885605e-06,2.4621571574395616e-06,5.884104957026777e-06,4.682340343496488e-06,3.83228637398644e-06,6.79025688673512e-07,7.228792642534848e-06
2020-09-06,5.615586015093899e-06,1.005699833385117e-05,5.6917628420075724e-06,3.278271127228063e-06,0.0,5.869777691845379e-06,2.3595141654395987e-06,5.520350240960169e-06,2.59925496731992e-05,5.785730901458282e-06,3.7192280370286342e-06,1.778755258692283e-06,5.796757293969754e-06,1.2697010767529655e-05,2.6933463571592736e-06,2.43015905147976e-06,1.1020924368594607e-05
2020-09-07,5.28387933721869e-06,8.788874456787635e-06,4.716813968314448e-06,1.8572662990208027e-06,0.0,6.978613692862298e-06,2.28444070064584e-06,3.829056679842333e-06,2.63238968517164e-05,6.675438152306075e-06,3.863576159899895e-06,3.201535456404892e-06,5.1063723388866895e-06,1.3251580327998185e-05,4.734068759643552e-06,1.989796019887552e-06,1.1806120337334271e-05
2020-09-08,5.284749702607598e-06,1.1716316642803997e-05,5.101726786402548e-06,4.446120137723017e-07,1.5595855245509953e-05,6.478360637883862e-06,2.021812733665427e-06,3.6707461956705623e-06,2.734493470522855e-05,7.144907784186089e-06,4.205711032065312e-06,1.5581363053744602e-06,2.1964631536547625e-06,5.253000738046604e-06,5.6881222638458935e-06,1.2260942277935944e-06,1.2444678491731167e-05
2020-09-09,5.116074581198858e-06,9.603053661315113e-06,5.032824120164369e-06,1.75913717839674e-06,0.0,6.353305426953561e-06,2.2942500758966602e-06,3.056042282979504e-06,2.6312348267994357e-05,6.102520712238404e-06,2.7014183674346472e-06,1.3982479952619368e-06,5.806231160621412e-06,2.6181518004413896e-06,6.029615567578821e-06,1.5522608990446766e-06,7.603754864502174e-06
2020-09-10,5.367214163905586e-06,8.652514997692662e-06,5.709962936462639e-06,3.1684215195568554e-06,2.5718428218259443e-05,6.669812895524412e-06,2.0370691498329203e-06,3.6672201670769447e-06,2.818272120209839e-05,8.145593159161436e-06,3.7381834801220467e-06,3.0335713203740517e-06,5.130669141869482e-06,3.544122716860036e-06,1.0456492104825637e-05,1.2149243739950297e-06,1.0980921209649317e-05
2020-09-11,5.471042752692033e-06,1.0099637378460889e-05,5.742878107806711e-06,5.123863712057077e-06,1.2060446960164343e-05,5.71566439526416e-06,2.4283870067338892e-06,5.110930990062094e-06,2.8366585610657144e-05,7.912156899368389e-06,4.170655366971059e-06,2.7605605704716824e-06,6.244522644922556e-06,4.143073720897695e-06,6.7279071463829706e-06,2.5120759678568156e-06,1.853604623816734e-05
2020-09-12,5.111518178276586e-06,1.0548231715234588e-05,6.945142344371893e-06,3.6148741951482604e-06,9.267454091349295e-06,6.487805934247572e-06,1.9995293156172467e-06,4.187525846384482e-06,2.209773399419511e-05,8.544128969743103e-06,5.080205969290397e-06,1.949577889801705e-06,6.773147855327554e-06,3.8029483307671355e-06,7.35141782117342e-06,1.7599796898343793e-06,1.247775780813352e-05
2020-09-13,5.276577461099375e-06,9.922730108111207e-06,7.313623650005952e-06,2.6727762768654106e-06,1.3531204649321918e-05,7.434974753718985e-06,2.286999187200489e-06,4.103317743686012e-06,2.6491841025709393e-05,8.775223464552369e-06,3.913438497339801e-06,3.29428628006631e-06,5.984737609933318e-06,1.909436063457336e-05,6.496054296620233e-06,2.170315247935608e-06,1.4959149422763822e-05
2020-09-14,5.57771456240906e-06,1.0936620152243087e-05,6.4836870231881365e-06,3.411730638748475e-06,2.7051519619114605e-06,2.0144613053217927e-05,2.484136758927506e-06,3.5037419696774935e-06,2.7701641867079583e-05,9.140865614243824e-06,3.544426790573526e-06,3.3822824769582007e-06,3.236419875740214e-06,6.276983373648918e-06,7.259844348937159e-06,1.145618574601321e-06,9.665017245312747e-06
2020-09-15,5.6500585773186135e-06,1.0259319140285255e-05,5.394505675689214e-06,2.078259781641401e-06,2.852969370520838e-06,5.398100687330379e-06,2.2920618442546085e-06,2.722668341856651e-06,2.965601295291401e-05,6.043748682127023e-06,4.198593132183581e-06,2.924920222800923e-06,7.460906123657397e-06,5.5353762049245475e-06,5.8712402476972654e-06,1.862782475439213e-06,9.995508836143396e-06
2020-09-16,5.4040273014202e-06,9.59750367577632e-06,6.300731675475719e-06,3.2577667194696358e-06,5.811723408459545e-06,5.4396893661760985e-06,2.0632945024976043e-06,3.051961862684564e-06,3.753709699082884e-05,7.191013845208611e-06,3.0219329683673637e-06,4.108698956996987e-06,8.997575721151327e-06,5.229025953962732e-06,6.970897548370187e-06,1.901557536523435e-06,9.882261834120845e-06
2020-09-17,5.351205815410991e-06,7.910928222170509e-06,5.930644507270193e-06,1.3753052031463316e-06,2.866956038096112e-06,7.0004034074574115e-06,2.578989727196186e-06,2.490816098852363e-06,4.286044012772316e-05,7.5096753527470625e-06,4.499211633675795e-06,2.6072988724635745e-06,4.4406412818888e-06,6.462531454352313e-06,4.560309034603625e-06,1.0998234312040018e-06,1.2567271369354575e-05
2020-09-18,5.1720220377519925e-06,8.928962070662021e-06,6.51057236655269e-06,3.168552747689729e-06,3.7371581901690315e-06,6.2344335183340925e-06,2.6317015292554415e-06,3.1136450962438623e-06,4.314619741981857e-05,7.992607244702409e-06,3.6979355329859137e-06,2.332526991710782e-06,3.7927493732712928e-06,4.252892703115702e-06,6.16091364174867e-06,1.306038436058154e-06,1.1099586166653717e-05
2020-09-19,5.088244016821676e-06,1.2057269350019404e-05,5.107425282400296e-06,2.7048025798407006e-06,4.4669379586986914e-06,7.018471676428223e-06,1.864773422514406e-06,4.493315686627051e-06,5.521304973532675e-05,1.3872893785706264e-05,4.5410819714009265e-06,2.37600849185435e-06,4.897112642797356e-06,5.114225425787235e-06,5.506382413440529e-06,2.356501383801881e-06,1.1044163207762798e-05
2020-09-20,5.134656238663282e-06,1.234071530241293e-05,4.951142048429043e-06,2.596355962479541e-06,1.3540640540000744e-05,7.628963818876193e-06,2.584125002880772e-06,3.918792455944889e-06,3.9694393509805304e-05,8.356717820250318e-06,3.681802635638001e-06,2.9787809517681744e-06,5.134956749909817e-06,7.363419463801805e-06,7.33151851686568e-06,2.3205285792819032e-06,6.300564747862262e-06
2020-09-21,5.208740893714317e-06,1.247960155450211e-05,5.6051946278403586e-06,2.432453798580663e-06,2.930171092690102e-06,5.826517703193699e-06,2.2247388790347904e-06,3.4700607365782257e-06,3.298734517587638e-05,6.173830752848771e-06,3.338608599890096e-06,2.4952211716061487e-06,4.948430753639406e-06,2.573481993800633e-06,7.901765254357823e-06,7.721471094672957e-07,1.1321984327203536e-05
