,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,4.8933221513692325e-06,6.7910532966107125e-06,6.1680157587850215e-06,1.046249457258094e-05,2.9526977815397335e-05,4.851107139686477e-06,6.1964504046953395e-06,4.116943494184016e-05,4.3131885099227655e-06,6.245991432581752e-06,4.999958461883547e-06,5.898940570614692e-06,1.05059808499031e-05,5.034063303975305e-06,5.165649464193009e-06,7.418936282386814e-06,6.9572523969978785e-06
2020-08-25,8.833703151251326e-06,9.134214229220932e-06,6.616219917597988e-06,4.300461797922734e-06,4.838842355354905e-06,8.94922703792824e-06,4.822745763498902e-05,4.6753854873179276e-05,5.59230554679816e-06,1.897708339458212e-05,3.238052199454854e-06,6.303285638472002e-06,1.6818115512995427e-05,6.711055355593852e-06,4.7330866788367675e-06,4.062993907696905e-06,5.805481535665976e-06
2020-08-26,5.339781871687648e-06,9.737630989036859e-06,5.2258285303967375e-06,3.7988638358039875e-06,1.9945051383438628e-05,6.015141242769933e-06,2.6343250701481806e-05,4.199145308245513e-05,4.38630889960621e-06,8.460035649854573e-06,2.448613863388199e-06,5.527330737188604e-06,1.4079751384822255e-05,5.673511461060503e-06,6.1622245485626795e-06,4.4362121022718e-06,6.714897537378477e-06
2020-08-27,4.411717175956797e-06,7.177408160397272e-06,5.203175655629967e-06,1.518361930414991e-06,9.819999410800036e-06,5.614145091745588e-06,5.8272577070911874e-06,4.1732289030792016e-05,3.846156804736004e-06,7.046801774409854e-06,3.214548954483633e-06,3.984672851018745e-06,1.388324332949699e-05,3.637448858709086e-06,5.393370899959442e-06,4.727735243044201e-06,4.785004942910106e-06
2020-08-28,4.3067473144664594e-06,1.0013724965495014e-05,4.997239505676912e-06,5.355735610286073e-06,1.099861967323101e-05,5.909292362239622e-06,3.2481090635392477e-06,4.17541388263622e-05,5.822767476951667e-06,7.143380031297773e-06,3.410081310613204e-06,4.051741119982281e-06,9.696737700254626e-06,4.991166415314645e-06,3.6184974695847193e-06,3.775583439192684e-06,5.790605229426095e-06
2020-08-29,3.882866083934227e-06,8.526712694958799e-06,5.609224264724582e-06,5.1874843294744216e-06,3.933832930115458e-05,6.6769116517982544e-06,3.3326838302846313e-06,3.8031944660260635e-05,6.373584025175102e-06,7.752874392432601e-06,3.999775385162684e-06,3.819821784478362e-06,1.0547867648777673e-05,4.782165423123683e-06,3.420029952622325e-06,3.785632544682155e-06,3.5582978170732467e-06
2020-08-30,4.4879012091675045e-06,8.808308206648169e-06,7.76351255729449e-06,7.155788675248843e-06,1.9479033255579525e-05,5.999916380112766e-06,6.192293917350329e-06,4.026127175430035e-05,3.937511172687953e-06,8.066837314116334e-06,4.838975783921758e-06,3.1659311153375366e-06,1.0139299357972256e-05,5.480712535257347e-06,4.355498256556269e-06,2.9499417017771187e-06,5.678121871963219e-06
2020-08-31,4.571699776288093e-06,8.565856409242356e-06,5.9093013086318675e-06,5.660600120651648e-06,0.0,6.481293928248802e-06,3.1568748893820856e-06,4.1106511657847814e-05,5.123319270716483e-06,7.155428617615841e-06,2.2572821130224377e-06,2.124890640571464e-06,8.654513615906345e-06,4.513457808274226e-06,3.998343958629499e-06,6.932956696430011e-06,5.441543392049952e-06
2020-09-01,4.918703661578109e-06,6.55307994757536e-06,6.112882510013094e-06,1.4084070634431046e-06,5.992868486501064e-06,8.02223764274569e-06,5.843344953564209e-06,6.244935607635172e-05,4.468395274038109e-06,7.393942217080968e-06,2.909736401991224e-06,4.96221274990944e-06,1.41742782829141e-05,5.942119188245574e-06,3.2079671646738655e-06,4.348718239458465e-06,7.594982607489829e-06
2020-09-02,4.731709332830358e-06,9.164253534456212e-06,4.18284680931583e-06,4.393398040764144e-06,1.862266751089426e-05,6.970090393314173e-06,2.6953910271147812e-06,5.809720269563426e-05,5.850984481561055e-06,7.376343693957779e-06,4.289879711772882e-06,2.611390887049309e-06,1.2178822450103497e-05,4.720801878452753e-06,4.7113654443089425e-06,6.67830069048859e-06,4.7146049267150025e-06
2020-09-03,4.773482337109728e-06,9.071521042417262e-06,4.603877326351884e-06,3.091645652064137e-06,4.209764126915969e-06,6.461037044629668e-06,2.5781445418802485e-06,5.791222322200631e-05,5.76642508521272e-06,8.95093885471688e-06,2.5405569179405854e-06,4.105605198024629e-06,1.0962504215996413e-05,7.556410969263983e-06,5.726444182380089e-06,4.7912974705782394e-06,5.518663900565156e-06
2020-09-04,4.544938336947792e-06,7.7141668253617e-06,4.5573765358189715e-06,3.1870701837473443e-06,9.116061132305952e-06,5.767657579330051e-06,2.768520419914487e-06,4.8557160515905244e-05,5.6905978865119445e-06,8.24783245313565e-06,3.0393337915410446e-06,4.832863471606927e-06,1.119776558811736e-05,6.05169067515687e-06,4.23322083548963e-06,3.4615137649691e-06,3.870172557334899e-06
2020-09-05,3.994570205248069e-06,7.81970128466717e-06,4.963059070050749e-06,9.481134001972075e-06,1.0317362056869299e-05,6.93513791652476e-06,2.2822833913361824e-06,3.8614242325867184e-05,4.497494034600466e-06,6.781903916827247e-06,3.1811581471173078e-06,5.950213130478941e-06,1.027043774317401e-05,6.458400473788258e-06,4.79035796748305e-06,5.884889301837104e-06,4.7438951716634944e-06
2020-09-06,4.171695381556243e-06,9.702045451479953e-06,4.743135701672977e-06,1.0927570424093545e-06,4.203252476766522e-06,7.64361160971074e-06,1.9502106877613012e-06,4.054494527258881e-05,5.137555881804867e-06,6.863465088984825e-06,2.2157103199319523e-06,4.15042893694866e-06,1.1793402770490188e-05,4.954931031231085e-06,4.788171301616487e-06,3.888254482367616e-06,5.614433168906687e-06
2020-09-07,4.244823796820502e-06,1.3849135507665363e-05,5.217714566719521e-06,4.178849172796806e-06,6.891466297284073e-06,5.803995546538941e-06,2.3369565788216068e-06,4.0082891201753786e-05,4.674760992632395e-06,7.818080718917024e-06,2.9781732899228357e-06,4.402111252556726e-06,1.1445317311297753e-05,4.7767324438132994e-06,7.101103139465328e-06,5.051020665868401e-06,7.5737375748936834e-06
2020-09-08,4.9800208492976816e-06,8.293572455018559e-06,4.525725375034519e-06,3.1122840964061122e-06,1.5595855245509953e-05,7.342142056268377e-06,2.651988131171534e-06,4.173478826816748e-05,6.129862771049482e-06,6.713749555830032e-06,5.014501615154794e-06,4.869175954295188e-06,1.3178778921928576e-05,6.025500846582869e-06,2.6767634182804204e-06,4.751115132700178e-06,7.204813863633833e-06
2020-09-09,4.94582251526878e-06,5.761832196789068e-06,5.4453506873909565e-06,3.51827435679348e-06,1.9331827598761476e-05,7.551357307464804e-06,1.7493656828712034e-06,4.24947948486719e-05,5.431018503714138e-06,6.668733974198668e-06,3.5200299939299948e-06,3.994994272176962e-06,1.0919180988631312e-05,5.8523393186336945e-06,4.442874628742289e-06,3.7254261577072237e-06,8.038255142473728e-06
2020-09-10,4.710519725027726e-06,1.0987320631990683e-05,4.828277483038261e-06,2.2631582282548966e-06,9.64441058184729e-06,7.64324504784419e-06,3.3281693152199824e-06,4.2668240484092335e-05,5.4088050791905995e-06,5.995156565142817e-06,2.8442700392232964e-06,4.449237936548609e-06,1.3501760899656533e-05,6.121666510940063e-06,5.228246052412818e-06,5.92275632322577e-06,6.050711686949624e-06
2020-09-11,4.582582818494182e-06,1.0099637378460889e-05,5.436006758534597e-06,4.554545521828513e-06,1.608059594688579e-05,7.721824745919792e-06,9.18321063466034e-06,4.795575673654007e-05,5.8342622887167175e-06,8.4958406050595e-06,3.5164349172501088e-06,5.153046398213807e-06,1.6030714849651933e-05,4.461771699428288e-06,1.7705018806270975e-06,6.698869247618175e-06,7.87781965122112e-06
2020-09-12,4.4091075676855985e-06,9.953965139728414e-06,6.807159383887683e-06,1.4459496780593042e-06,2.3168635228373238e-05,6.722304943919171e-06,4.16769363375643e-06,4.3729277540870014e-05,5.938157593153752e-06,9.191411467450914e-06,4.5963768293579784e-06,4.608093194076757e-06,1.1454588284745127e-05,3.3275797894212434e-06,2.6732428440630617e-06,4.619946685815246e-06,6.5920229929762e-06
2020-09-13,4.029605127967228e-06,1.1270261357360877e-05,5.9685894155220986e-06,4.276442042984657e-06,1.6914005811652396e-05,5.921065867215119e-06,4.472353966080956e-06,4.495276453530646e-05,4.828351670814776e-06,7.264257834894345e-06,3.052482027925045e-06,4.941429420099466e-06,1.0473290817383305e-05,6.005484393131943e-06,4.872040722465175e-06,5.064068911849753e-06,6.379637253825747e-06
2020-09-14,4.552819719682359e-06,9.069392321372316e-06,5.4300878819200644e-06,5.117595958122712e-06,3.5166975504848986e-05,5.96617459764294e-06,2.4587884246527355e-06,3.907608410457113e-05,4.432262698732733e-06,7.922083532344647e-06,3.4656617507830033e-06,3.945996223117901e-06,1.1753314285582882e-05,8.573440705471693e-06,4.494189358865861e-06,4.7256766202304495e-06,7.866874501998748e-06
2020-09-15,4.426720001425967e-06,1.0664292264243883e-05,6.4896308880471746e-06,2.909563694297962e-06,1.9970785593645868e-05,6.19513568814426e-06,2.8980092283678957e-06,4.1633035324507045e-05,7.236634739706289e-06,7.521109471091407e-06,2.9874604978998556e-06,4.679872356481477e-06,1.3141368740532915e-05,6.457938905745306e-06,4.1444048807274814e-06,7.295898028803584e-06,9.541167525409607e-06
2020-09-16,4.701203766580459e-06,1.1084440864981102e-05,5.7790150399267736e-06,1.6288833597348179e-06,2.905861704229772e-05,7.615565112646538e-06,2.861101710130011e-06,4.541543248875562e-05,7.265244578870098e-06,6.993096032955163e-06,3.7589897899203793e-06,4.108698956996987e-06,1.7645731025947263e-05,7.07456452594958e-06,7.667987303207205e-06,6.143493579537251e-06,8.085486955189782e-06
