Location,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
European Union - 27 countries (from 2020),,,,,,232100,193300,173600,145035,116415,109785,96115,100885,69495,81910,84355,83420,80335,75770,76840,63940,46475,61875,56115,53405,59550,60560,65940,75940,65770,66170,64400,54040,43320,50750,40975,44025,44380,43855,51670,
Belgium,25930,10815,7035,4165,3090,3065,2170,2050,1870,1710,1525,1440,1335,1010,1165,1265,1340,1535,1410,1330,1070,915,1205,990,975,1020,960,885,1400,1435,1300,1135,1005,825,1075,815,530,645,545,700,1015
Bulgaria,30505,61470,19860,6920,6465,4480,4480,7250,2830,2495,2395,1780,1950,1445,2635,3030,2280,1885,1645,1745,1530,1115,1305,1520,1980,1780,2925,3425,2860,2280,1800,1695,1510,1390,1400,870,1550,1770,1850,2270,
Czechia,249465,65185,39875,22375,17105,17570,14980,14250,10015,11255,12405,9775,8860,6580,8450,9355,8875,8330,8060,8140,5625,4035,7675,5590,5655,8355,8195,8685,10495,8790,8995,7990,6800,4605,6750,3785,4035,6715,5300,7935,
Denmark,1220,9170,10225,4440,1110,1475,1820,800,835,1475,760,945,1010,555,810,670,415,950,570,630,605,420,575,585,725,685,570,1060,975,745,1145,990,975,545,1005,1010,610,640,620,655,
Germany,,,,,,62140,51980,37595,36385,25110,28205,25125,29240,20315,21345,21130,20440,21560,19205,20750,20245,13825,16555,15910,14900,13690,11645,12765,14670,14820,12885,14445,13370,10200,12775,11450,11655,9500,9015,9135,
Estonia,13915,8975,3395,2450,2610,2560,2395,2330,1865,1180,1055,770,880,640,725,675,810,845,660,665,595,435,475,390,425,545,480,405,490,465,775,695,520,415,445,305,515,535,420,375,545
Ireland,12765,11965,7885,6855,5700,3960,4835,6035,4105,4565,2630,3065,3190,1890,2720,3090,3380,2215,2955,3320,2220,2180,1450,730,950,650,815,845,970,680,785,915,760,900,705,760,575,495,580,755,
Greece,0,8800,5815,1965,1285,1020,695,630,590,505,445,310,420,605,335,930,630,400,355,340,240,175,240,200,370,955,1145,710,650,345,305,320,270,205,235,200,240,960,1245,825,
Spain,32580,49420,32185,11215,6305,6165,5745,5005,5125,4545,4250,3400,3590,2410,2770,2125,2295,2150,2280,2665,2630,2195,2725,2600,2790,3060,3485,3050,3385,2800,3125,3535,2990,2280,2995,2440,2385,2110,2165,1940,
